,LGA,repDS,year,LGA_old,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,kill_rate,block_initial,round,peak,simday,MapA_mix,llin_type
1,Arochukwu,Ngor-Okpala,2020,Arochukwu,0.8,0.8,0.8,0.8,0.485441926,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
2,Arochukwu,Ngor-Okpala,2023,Arochukwu,0.8,0.8,0.8,0.8,0.485441926,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
3,Bende,Ngor-Okpala,2020,Bende,0.8,0.8,0.8,0.8,0.501154968,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
4,Bende,Ngor-Okpala,2023,Bende,0.8,0.8,0.8,0.8,0.501154968,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
5,Ikwuano,Ngor-Okpala,2020,Ikwuano,0.8,0.8,0.8,0.8,0.51532143,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
6,Ikwuano,Ngor-Okpala,2023,Ikwuano,0.8,0.8,0.8,0.8,0.51532143,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
7,Isiala-Ngwa North,Ngor-Okpala,2020,Isiala-Ngwa North,0.8,0.8,0.8,0.8,0.416760484,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
8,Isiala-Ngwa North,Ngor-Okpala,2023,Isiala-Ngwa North,0.8,0.8,0.8,0.8,0.416760484,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
9,Isiala-Ngwa South,Ngor-Okpala,2020,Isiala-Ngwa South,0.8,0.8,0.8,0.8,0.444481729,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
10,Isiala-Ngwa South,Ngor-Okpala,2023,Isiala-Ngwa South,0.8,0.8,0.8,0.8,0.444481729,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
11,Isuikwato,Ngor-Okpala,2020,Isuikwato,0.8,0.8,0.8,0.8,0.471442169,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
12,Isuikwato,Ngor-Okpala,2023,Isuikwato,0.8,0.8,0.8,0.8,0.471442169,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
13,Ohafia,Ngor-Okpala,2020,Ohafia,0.8,0.8,0.8,0.8,0.486514324,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
14,Ohafia,Ngor-Okpala,2023,Ohafia,0.8,0.8,0.8,0.8,0.486514324,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
15,Ukwa East,Nsit Ubium,2020,Ukwa East,0.8,0.8,0.8,0.8,0.380519132,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
16,Ukwa East,Nsit Ubium,2023,Ukwa East,0.8,0.8,0.8,0.8,0.380519132,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
17,Ukwa West,Nsit Ubium,2020,Ukwa West,0.8,0.8,0.8,0.8,0.373187786,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
18,Ukwa West,Nsit Ubium,2023,Ukwa West,0.8,0.8,0.8,0.8,0.373187786,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
19,Umu-Neochi,Oru West,2020,Umu-Neochi,0.8,0.8,0.8,0.8,0.489251418,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
20,Umu-Neochi,Oru West,2023,Umu-Neochi,0.8,0.8,0.8,0.8,0.489251418,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
21,Umuahia North,Ngor-Okpala,2020,Umuahia North,0.8,0.8,0.8,0.8,0.501112024,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
22,Umuahia North,Ngor-Okpala,2023,Umuahia North,0.8,0.8,0.8,0.8,0.501112024,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
23,Umuahia South,Ngor-Okpala,2020,Umuahia South,0.8,0.8,0.8,0.8,0.528927156,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
24,Umuahia South,Ngor-Okpala,2023,Umuahia South,0.8,0.8,0.8,0.8,0.528927156,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
25,Demsa,Alkaleri,2020,Demsa,0.8,0.8,0.8,0.8,0.7188,0.863,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
26,Demsa,Alkaleri,2023,Demsa,0.8,0.8,0.8,0.8,0.7188,0.863,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
27,Gireri,Darazo,2020,Gireri,0.8,0.8,0.8,0.8,0.7188,0.863,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
