,LGA,repDS,year,LGA_old,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,mortality_rate,kill_rate,block_initial ,round,peak,simday,MapB_mix,llin_MapB
16,Isuikwato,Ngor-Okpala,2023,Isuikwato,0.45242915,0.153256705,0.105045492,0.230249359,0.414408176,0.471442169,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
17,Obi Nwa,Ngor-Okpala,2020,Obi Nwa,0.3,0.466666667,0.318181818,0.34375,0.339144556,0.409752288,0.53,1,june,162,CM+IPTp+Urban-LLINs+IPTi,itn 
18,Obi Nwa,Ngor-Okpala,2023,Obi Nwa,0.3,0.466666667,0.318181818,0.34375,0.339144556,0.409752288,0.53,2,june,1257,CM+IPTp+Urban-LLINs+IPTi,itn 
19,Ohafia,Ngor-Okpala,2020,Ohafia,0.182997461,0.109757356,0.143886995,0.184305851,0.433165676,0.486514324,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
20,Ohafia,Ngor-Okpala,2023,Ohafia,0.182997461,0.109757356,0.143886995,0.184305851,0.433165676,0.486514324,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
21,Osisioma Ngwa,Ngor-Okpala,2020,Osisioma Ngwa,0.264705882,0.2,0.130434783,0.333333333,0.3223721,0.395923243,0.53,1,june,162,CM+IPTp+Urban-LLINs+IPTi,itn 
22,Osisioma Ngwa,Ngor-Okpala,2023,Osisioma Ngwa,0.264705882,0.2,0.130434783,0.333333333,0.3223721,0.395923243,0.53,2,june,1257,CM+IPTp+Urban-LLINs+IPTi,itn 
23,Ugwunagbo,Ngor-Okpala,2020,Ugwunagbo,0.142857143,0.142857143,0.277777778,0.076923077,0.311296946,0.386810187,0.53,1,june,162,CM+IPTp+Urban-LLINs+IPTi,itn 
24,Ugwunagbo,Ngor-Okpala,2023,Ugwunagbo,0.142857143,0.142857143,0.277777778,0.076923077,0.311296946,0.386810187,0.53,2,june,1257,CM+IPTp+Urban-LLINs+IPTi,itn 
25,Ukwa East,Nsit Ubium,2020,Ukwa East,0.217391304,0.055555556,0.04,0.071428571,0.30363416,0.380519132,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
26,Ukwa East,Nsit Ubium,2023,Ukwa East,0.217391304,0.055555556,0.04,0.071428571,0.30363416,0.380519132,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
27,Ukwa West,Nsit Ubium,2020,Ukwa West,0.33446468,0.294193051,0.202569073,0.227821791,0.294680951,0.373187786,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
28,Ukwa West,Nsit Ubium,2023,Ukwa West,0.33446468,0.294193051,0.202569073,0.227821791,0.294680951,0.373187786,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
29,Umu-Neochi,Oru West,2020,Umu-Neochi,0.414834691,0.505751301,0.336016178,0.369315235,0.436597759,0.489251418,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
30,Umu-Neochi,Oru West,2023,Umu-Neochi,0.414834691,0.505751301,0.336016178,0.369315235,0.436597759,0.489251418,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
31,Umuahia North,Ngor-Okpala,2020,Umuahia North,0.133333333,0.266473717,0.2,0.175438596,0.451576154,0.501112024,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
32,Umuahia North,Ngor-Okpala,2023,Umuahia North,0.133333333,0.266473717,0.2,0.175438596,0.451576154,0.501112024,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
33,Umuahia South,Ngor-Okpala,2020,Umuahia South,0.190246395,0.219712762,0.165294373,0.278242778,0.48752647,0.528927156,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
34,Umuahia South,Ngor-Okpala,2023,Umuahia South,0.190246395,0.219712762,0.165294373,0.278242778,0.48752647,0.528927156,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
35,Itu,Ngor-Okpala,2021,Itu,0.304424538,0.266473717,0.219305704,0.020408163,0.415010863,0.471929182,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn 
36,Itu,Ngor-Okpala,2024,Itu,0.304424538,0.266473717,0.219305704,0.020408163,0.415010863,0.471929182,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn 
37,Abak,Nsit Ubium,2021,Abak,0.117647059,0.066666667,0.173913043,0.163934426,0.358412263,0.425644469,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn 
38,Abak,Nsit Ubium,2024,Abak,0.117647059,0.066666667,0.173913043,0.163934426,0.358412263,0.425644469,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn 
39,Awka North,Uzo-Uwani,2020,Awka North,0.238095238,0.142857143,0.086956522,0.210526316,0.388205397,0.450124783,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
40,Awka North,Uzo-Uwani,2023,Awka North,0.238095238,0.142857143,0.086956522,0.210526316,0.388205397,0.450124783,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
41,Eket,Nsit Ubium,2021,Eket,0.363636364,0.333333333,0.35,0.318181818,0.238612216,0.328021397,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn 
42,Eket,Nsit Ubium,2024,Eket,0.363636364,0.333333333,0.35,0.318181818,0.238612216,0.328021397,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn 
43,Esit Eket,Nsit Ubium,2021,Esit Eket,0.642857143,0.4,0.162162162,0.490566038,0.262279676,0.346897657,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn 
44,Esit Eket,Nsit Ubium,2024,Esit Eket,0.642857143,0.4,0.162162162,0.490566038,0.262279676,0.346897657,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn 
45,Essien Udim,Ngor-Okpala,2021,Essien Udim,0.40416306,0.41932543,0.101814961,0.248747098,0.369824263,0.435041855,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn 
46,Essien Udim,Ngor-Okpala,2024,Essien Udim,0.40416306,0.41932543,0.101814961,0.248747098,0.369824263,0.435041855,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn 
47,Etim Ekpo,Ngor-Okpala,2021,Etim Ekpo,0.304424538,0.266473717,0.219305704,0.266910909,0.326319464,0.399175674,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn 
48,Etim Ekpo,Ngor-Okpala,2024,Etim Ekpo,0.304424538,0.266473717,0.219305704,0.266910909,0.326319464,0.399175674,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn 
49,Etinan,Nsit Ubium,2021,Etinan,0.230769231,0.166666667,0.202569073,0.142857143,0.271254927,0.35413511,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn 
50,Etinan,Nsit Ubium,2024,Etinan,0.230769231,0.166666667,0.202569073,0.142857143,0.271254927,0.35413511,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn 
51,Ibesikpo Asutan,Nsit Ubium,2021,Ibesikpo Asutan,0.316326558,0.365384584,0.264150952,0.295373674,0.364757188,0.430871605,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn 
52,Ibesikpo Asutan,Nsit Ubium,2024,Ibesikpo Asutan,0.316326558,0.365384584,0.264150952,0.295373674,0.364757188,0.430871605,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn 
53,Ibiono Ibom,Ngor-Okpala,2021,Ibiono Ibom,0.680806712,0.564126427,0.347777775,0.518035164,0.383194312,0.446021174,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn 
54,Ibiono Ibom,Ngor-Okpala,2024,Ibiono Ibom,0.680806712,0.564126427,0.347777775,0.518035164,0.383194312,0.446021174,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn 
55,Ika,Ngor-Okpala,2021,Ika,0.304424538,0.266473717,0.219305704,0.266910909,0.281330517,0.36230356,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn 
56,Ika,Ngor-Okpala,2024,Ika,0.304424538,0.266473717,0.219305704,0.266910909,0.281330517,0.36230356,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn 
57,Ikono,Ngor-Okpala,2021,Ikono,0.166666667,0.117647059,0.291666667,0.186440678,0.3504186,0.419053252,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn 
58,Ikono,Ngor-Okpala,2024,Ikono,0.166666667,0.117647059,0.291666667,0.186440678,0.3504186,0.419053252,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn 
59,Ikot Abasi,Nsit Ubium,2021,Ikot Abasi,0.347826087,0.461538462,0.3,0.123076923,0.194063012,0.293529351,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn 
60,Ikot Abasi,Nsit Ubium,2024,Ikot Abasi,0.347826087,0.461538462,0.3,0.123076923,0.194063012,0.293529351,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn 
61,Ikot Ekpene,Ngor-Okpala,2021,Ikot Ekpene,0.05605449,0.266473717,0.200480127,0.116877293,0.356519334,0.424084125,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn 
62,Ikot Ekpene,Ngor-Okpala,2024,Ikot Ekpene,0.05605449,0.266473717,0.200480127,0.116877293,0.356519334,0.424084125,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn 
63,Ini,Ngor-Okpala,2021,Ini,0.692307692,0.357142857,0.533333333,0.510204082,0.395911217,0.45642023,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn 
64,Ini,Ngor-Okpala,2024,Ini,0.692307692,0.357142857,0.533333333,0.510204082,0.395911217,0.45642023,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn 
65,Nsit Atai,Nsit Ubium,2021,Nsit Atai,0.33446468,0.294193051,0.202569073,0.227821791,0.243345201,0.331769618,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn 
66,Nsit Atai,Nsit Ubium,2024,Nsit Atai,0.33446468,0.294193051,0.202569073,0.227821791,0.243345201,0.331769618,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn 
67,Nsit Ibom,Nsit Ubium,2021,Nsit Ibom,0.2,0.076923077,0.202569073,0.169230769,0.357951303,0.425264532,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn 
68,Nsit Ibom,Nsit Ubium,2024,Nsit Ibom,0.2,0.076923077,0.202569073,0.169230769,0.357951303,0.425264532,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn 
69,Nsit Ubium,Nsit Ubium,2021,Nsit Ubium,0.294117647,0.545454545,0.136363636,0.293103448,0.247213687,0.334843575,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn 
70,Nsit Ubium,Nsit Ubium,2024,Nsit Ubium,0.294117647,0.545454545,0.136363636,0.293103448,0.247213687,0.334843575,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn 
71,Awka South,Uzo-Uwani,2020,Awka South,0.115384615,0.224106265,0.160050482,0.055555556,0.431794981,0.485419293,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
72,Awka South,Uzo-Uwani,2023,Awka South,0.115384615,0.224106265,0.160050482,0.055555556,0.431794981,0.485419293,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
73,Obot Akara,Ngor-Okpala,2021,Obot Akara,0.352941176,0.444444444,0.230769231,0.298245614,0.376065149,0.440171735,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn 
74,Obot Akara,Ngor-Okpala,2024,Obot Akara,0.352941176,0.444444444,0.230769231,0.298245614,0.376065149,0.440171735,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn 
75,Okobo,Nsit Ubium,2021,Okobo,0.3,0.222222222,0.454545455,0.290909091,0.269257198,0.352520839,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn 
76,Okobo,Nsit Ubium,2024,Okobo,0.3,0.222222222,0.454545455,0.290909091,0.269257198,0.352520839,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn 
77,Oruk Anam,Nsit Ubium,2021,Oruk Anam,0.345323717,0.431578963,0.239130379,0.284408547,0.312496984,0.387796568,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn 
78,Oruk Anam,Nsit Ubium,2024,Oruk Anam,0.345323717,0.431578963,0.239130379,0.284408547,0.312496984,0.387796568,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn 
79,Uruan,Nsit Ubium,2021,Uruan,0.33564019,0.30263162,0.215921543,0.260106819,0.401030149,0.460591042,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn 
80,Uruan,Nsit Ubium,2024,Uruan,0.33564019,0.30263162,0.215921543,0.260106819,0.401030149,0.460591042,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn 
81,Urue-Offong-Oruko,Nsit Ubium,2021,Urue-Offong/Oruko,0.421052632,0.307692308,0.208333333,0.321428571,0.204236897,0.30126919,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn 
82,Urue-Offong-Oruko,Nsit Ubium,2024,Urue-Offong/Oruko,0.421052632,0.307692308,0.208333333,0.321428571,0.204236897,0.30126919,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn 
83,Ayamelum,Uzo-Uwani,2020,Ayamelum,0.226000001,0.090196079,0.056149735,0.148743718,0.436497382,0.489171465,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
84,Ayamelum,Uzo-Uwani,2023,Ayamelum,0.226000001,0.090196079,0.056149735,0.148743718,0.436497382,0.489171465,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
85,Uyo,Nsit Ubium,2021,Uyo,0.189887959,0.077486364,0.109020534,0.123168765,0.399966547,0.459725229,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn 
86,Uyo,Nsit Ubium,2024,Uyo,0.189887959,0.077486364,0.109020534,0.123168765,0.399966547,0.459725229,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn 
87,Aguata,Oru West,2020,Aguata,0.255850471,0.387034474,0.239642794,0.237666189,0.454034567,0.503044714,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
88,Aguata,Oru West,2023,Aguata,0.255850471,0.387034474,0.239642794,0.237666189,0.454034567,0.503044714,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
89,Anambra East,Uzo-Uwani,2020,Anambra East,0.107142857,0.224106265,0.1,0.035087719,0.375672105,0.439848897,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
90,Anambra East,Uzo-Uwani,2023,Anambra East,0.107142857,0.224106265,0.1,0.035087719,0.375672105,0.439848897,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
91,Anambra West,Uzo-Uwani,2020,Anambra West,0.32464731,0.370188311,0.265600186,0.278397658,0.39176502,0.453035277,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
92,Anambra West,Uzo-Uwani,2023,Anambra West,0.32464731,0.370188311,0.265600186,0.278397658,0.39176502,0.453035277,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
93,Anaocha,Oru West,2020,Anaocha,0.181100292,0.123857833,0.152765099,0.105016002,0.420247823,0.476153753,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
94,Anaocha,Oru West,2023,Anaocha,0.181100292,0.123857833,0.152765099,0.105016002,0.420247823,0.476153753,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
95,Dunukofia,Uzo-Uwani,2020,Dunukofia,0.276486564,0.224106265,0.160050482,0.188842186,0.421451191,0.477122595,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
96,Dunukofia,Uzo-Uwani,2023,Dunukofia,0.276486564,0.224106265,0.160050482,0.188842186,0.421451191,0.477122595,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
97,Ekwusigo,Oru West,2020,Ekwusigo,0.366666667,0.083333333,0.041666667,0.203389831,0.255572543,0.341515837,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
98,Ekwusigo,Oru West,2023,Ekwusigo,0.366666667,0.083333333,0.041666667,0.203389831,0.255572543,0.341515837,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
99,Idemili North,Uzo-Uwani,2020,Idemili North,0.293142139,0.219004233,0.1091815,0.194200106,0.422797782,0.478205882,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
100,Idemili North,Uzo-Uwani,2023,Idemili North,0.293142139,0.219004233,0.1091815,0.194200106,0.422797782,0.478205882,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
101,Idemili South,Oru West,2020,Idemili South,0.184337998,0.117186102,0.091506586,0.163297291,0.377378695,0.441250403,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
102,Idemili South,Oru West,2023,Idemili South,0.184337998,0.117186102,0.091506586,0.163297291,0.377378695,0.441250403,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
103,Ihiala,Oru West,2020,Ihiala,0.200934575,0.230563004,0.187705817,0.306561085,0.199598953,0.297729955,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
104,Ihiala,Oru West,2023,Ihiala,0.200934575,0.230563004,0.187705817,0.306561085,0.199598953,0.297729955,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
105,Njikoka,Uzo-Uwani,2020,Njikoka,0.285714286,0.16700485,0.195035427,0.150182471,0.436915256,0.489504274,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
106,Njikoka,Uzo-Uwani,2023,Njikoka,0.285714286,0.16700485,0.195035427,0.150182471,0.436915256,0.489504274,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
