LGA,repDS,year,LGA_old,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,mortality_rate,kill_rate,block_initial,round,peak,simday
Hong,Darazo,2023,Hong,0.730434782,0.533333333,0.289655172,0.461538462,0.634881453,0.629555395,0.53,2,july,1281
Lamurde,Alkaleri,2020,Lamurde,0.381818182,0.171428572,0.436363637,0.483870967,0.429924862,0.483923569,0.53,1,july,186
Lamurde,Alkaleri,2023,Lamurde,0.381818182,0.171428572,0.436363637,0.483870967,0.429924862,0.483923569,0.53,2,july,1281
Mayo-Belwa,Alkaleri,2020,Mayo-Belwa,0.768,0.225,0.528,0.526315789,0.615915722,0.618014343,0.53,1,july,186
Mayo-Belwa,Alkaleri,2023,Mayo-Belwa,0.768,0.225,0.528,0.526315789,0.615915722,0.618014343,0.53,2,july,1281
Numan,Alkaleri,2020,Numan,1,0.525,0.442105264,0.733333333,0.518273564,0.55184819,0.53,1,july,186
Numan,Alkaleri,2023,Numan,1,0.525,0.442105264,0.733333333,0.518273564,0.55184819,0.53,2,july,1281
Shelleng,Darazo,2020,Shelleng,0.437232842,0.353426546,0.379327608,0.439493987,0.58914423,0.600969346,0.53,1,july,186
Shelleng,Darazo,2023,Shelleng,0.437232842,0.353426546,0.379327608,0.439493987,0.58914423,0.600969346,0.53,2,july,1281
Itu,Ngor-Okpala,2021,Itu,0.365309446,0.31976846,0.263166845,0.024489796,0.415010863,0.471929182,0.53,1,june,527
Itu,Ngor-Okpala,2024,Itu,0.365309446,0.31976846,0.263166845,0.024489796,0.415010863,0.471929182,0.53,2,june,1622
Song,Darazo,2020,Song,0.577559058,0.680454547,0.587080114,0.593199268,0.551949619,0.575879905,0.53,1,july,186
Song,Darazo,2023,Song,0.577559058,0.680454547,0.587080114,0.593199268,0.551949619,0.575879905,0.53,2,july,1281
Yola North,Alkaleri,2020,Yola North,0.586928078,0.545746801,0.497135074,0.491269061,0.581884889,0.596198663,0.53,1,july,186
Yola North,Alkaleri,2023,Yola North,0.586928078,0.545746801,0.497135074,0.491269061,0.581884889,0.596198663,0.53,2,july,1281
Yola South,Alkaleri,2020,Yola South,0.628571429,0.45,0.533333333,0.311111111,0.57254926,0.589972357,0.53,1,july,186
Yola South,Alkaleri,2023,Yola South,0.628571429,0.45,0.533333333,0.311111111,0.57254926,0.589972357,0.53,2,july,1281
Abak,Nsit Ubium,2021,Abak,0.141176471,0.08,0.208695652,0.196721311,0.358412263,0.425644469,0.53,1,june,527
Abak,Nsit Ubium,2024,Abak,0.141176471,0.08,0.208695652,0.196721311,0.358412263,0.425644469,0.53,2,june,1622
Awka North,Uzo-Uwani,2020,Awka North,0.285714286,0.171428572,0.104347826,0.252631579,0.388205397,0.450124783,0.53,1,june,162
Awka North,Uzo-Uwani,2023,Awka North,0.285714286,0.171428572,0.104347826,0.252631579,0.388205397,0.450124783,0.53,2,june,1257
Eket,Nsit Ubium,2021,Eket,0.436363637,0.4,0.42,0.381818182,0.238612216,0.328021397,0.53,1,june,527
Eket,Nsit Ubium,2024,Eket,0.436363637,0.4,0.42,0.381818182,0.238612216,0.328021397,0.53,2,june,1622
Esit Eket,Nsit Ubium,2021,Esit Eket,0.771428572,0.48,0.194594594,0.588679246,0.262279676,0.346897657,0.53,1,june,527
Esit Eket,Nsit Ubium,2024,Esit Eket,0.771428572,0.48,0.194594594,0.588679246,0.262279676,0.346897657,0.53,2,june,1622
Essien Udim,Ngor-Okpala,2021,Essien Udim,0.484995672,0.503190516,0.122177953,0.298496518,0.369824263,0.435041855,0.53,1,june,527
Essien Udim,Ngor-Okpala,2024,Essien Udim,0.484995672,0.503190516,0.122177953,0.298496518,0.369824263,0.435041855,0.53,2,june,1622
Etim Ekpo,Ngor-Okpala,2021,Etim Ekpo,0.365309446,0.31976846,0.263166845,0.320293091,0.326319464,0.399175674,0.53,1,june,527
Etim Ekpo,Ngor-Okpala,2024,Etim Ekpo,0.365309446,0.31976846,0.263166845,0.320293091,0.326319464,0.399175674,0.53,2,june,1622
Etinan,Nsit Ubium,2021,Etinan,0.276923077,0.2,0.243082888,0.171428572,0.271254927,0.35413511,0.53,1,june,527
Etinan,Nsit Ubium,2024,Etinan,0.276923077,0.2,0.243082888,0.171428572,0.271254927,0.35413511,0.53,2,june,1622
Ibesikpo Asutan,Nsit Ubium,2021,Ibesikpo Asutan,0.37959187,0.438461501,0.316981142,0.354448409,0.364757188,0.430871605,0.53,1,june,527
Ibesikpo Asutan,Nsit Ubium,2024,Ibesikpo Asutan,0.37959187,0.438461501,0.316981142,0.354448409,0.364757188,0.430871605,0.53,2,june,1622
