LGA,repDS,year,LGA_old,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,mortality_rate,kill_rate,block_initial,round,peak,simday
Kolokuma-Opokuma,Ahoada West,2020,Kolokuma/Opokuma,0.28412835,0.175558141,0.239278673,0.304565244,0.224180225,0.31668418,0.53,1,may,131
Kolokuma-Opokuma,Ahoada West,2023,Kolokuma/Opokuma,0.28412835,0.175558141,0.239278673,0.304565244,0.224180225,0.31668418,0.53,2,may,1226
Nembe,Ahoada West,2020,Nembe,0.738461538,0.666666667,0.42,0.633962264,0.273335383,0.35581817,0.53,1,may,131
Nembe,Ahoada West,2023,Nembe,0.738461538,0.666666667,0.42,0.633962264,0.273335383,0.35581817,0.53,2,may,1226
Ogbia,Ahoada West,2020,Ogbia,0.334897007,0.234338482,0.118904278,0.201699229,0.381331283,0.44449378,0.53,1,may,131
Ogbia,Ahoada West,2023,Ogbia,0.334897007,0.234338482,0.118904278,0.201699229,0.381331283,0.44449378,0.53,2,may,1226
Sagbama,Ahoada West,2020,Sagbama,0.27834736,0.271576674,0.208415536,0.246436832,0.219154854,0.312771086,0.53,1,may,131
Sagbama,Ahoada West,2023,Sagbama,0.27834736,0.271576674,0.208415536,0.246436832,0.219154854,0.312771086,0.53,2,may,1226
Yenegoa,Isoko South,2020,Yenegoa,0.32012731,0.307566185,0.266524828,0.293492771,0.260617689,0.34556186,0.53,1,june,162
Yenegoa,Isoko South,2023,Yenegoa,0.32012731,0.307566185,0.266524828,0.293492771,0.260617689,0.34556186,0.53,2,june,1257
Ado,Akinyele,2020,Ado,0.473596562,0.270262392,0.241540543,0.33635749,0.357778894,0.425122422,0.53,1,may,131
Ado,Akinyele,2023,Ado,0.473596562,0.270262392,0.241540543,0.33635749,0.357778894,0.425122422,0.53,2,may,1226
Agatu,Keana,2020,Agatu,0.9,1,0.786206897,0.847058824,0.440507142,0.492360644,0.53,1,august,223
Agatu,Keana,2023,Agatu,0.9,1,0.786206897,0.847058824,0.440507142,0.492360644,0.53,2,august,1318
Apa,Keana,2020,Apa,1,0.423529411,0.5,0.561290322,0.437711079,0.490137805,0.53,1,august,223
Apa,Keana,2023,Apa,1,0.423529411,0.5,0.561290322,0.437711079,0.490137805,0.53,2,august,1318
Buruku,Keana,2020,Buruku,0.814285715,0.633333334,0.65625,0.628301887,0.37690999,0.440865552,0.53,1,august,223
Buruku,Keana,2023,Buruku,0.814285715,0.633333334,0.65625,0.628301887,0.37690999,0.440865552,0.53,2,august,1318
Gboko,Keana,2020,Gboko,0.917560094,0.774546053,0.52625707,0.678559793,0.325574075,0.398561371,0.53,1,august,223
Gboko,Keana,2023,Gboko,0.917560094,0.774546053,0.52625707,0.678559793,0.325574075,0.398561371,0.53,2,august,1318
Guma,Keana,2020,Guma,0.905246791,0.902208186,0.88756477,0.804420823,0.365014826,0.431083741,0.53,1,august,223
Guma,Keana,2023,Guma,0.905246791,0.902208186,0.88756477,0.804420823,0.365014826,0.431083741,0.53,2,august,1318
Gwer East,Oke-Ero,2020,Gwer East,1,1,0.886956522,0.792857143,0.369333536,0.43463817,0.53,1,july,186
Gwer East,Oke-Ero,2023,Gwer East,1,1,0.886956522,0.792857143,0.369333536,0.43463817,0.53,2,july,1281
Gwer West,Keana,2020,Gwer West,0.642857143,0.352941176,1,0.58125,0.423749809,0.478971197,0.53,1,august,223
Gwer West,Keana,2023,Gwer West,0.642857143,0.352941176,1,0.58125,0.423749809,0.478971197,0.53,2,august,1318
Katsina-Ala,Keana,2020,Katsina-Ala,0.924205612,0.732163927,0.553943802,0.648898856,0.338062239,0.408859386,0.53,1,august,223
Katsina-Ala,Keana,2023,Katsina-Ala,0.924205612,0.732163927,0.553943802,0.648898856,0.338062239,0.408859386,0.53,2,august,1318
Konshisha,Oke-Ero,2020,Konshisha,0.444444444,0.218181818,0.36923077,0.424615385,0.393916167,0.45479219,0.53,1,july,186
Konshisha,Oke-Ero,2023,Konshisha,0.444444444,0.218181818,0.36923077,0.424615385,0.393916167,0.45479219,0.53,2,july,1281
Logo,Keana,2020,Logo,0.610647703,0.432622464,0.414896969,0.532394123,0.41751013,0.473946946,0.53,1,august,223
Logo,Keana,2023,Logo,0.610647703,0.432622464,0.414896969,0.532394123,0.41751013,0.473946946,0.53,2,august,1318
Makurdi,Keana,2020,Makurdi,0.966589358,0.736076833,0.786511544,0.775515317,0.369068798,0.434420372,0.53,1,august,223
Makurdi,Keana,2023,Makurdi,0.966589358,0.736076833,0.786511544,0.775515317,0.369068798,0.434420372,0.53,2,august,1318
Obi1,Keana,2020,Obi1,0.610647703,0.432622464,0.414896969,0.532394123,0.390472194,0.451978665,0.53,1,august,223
Obi1,Keana,2023,Obi1,0.610647703,0.432622464,0.414896969,0.532394123,0.390472194,0.451978665,0.53,2,august,1318
Ogbadibo,Owan East,2020,Ogbadibo,0.557318098,0.502736003,0.412586323,0.456146924,0.336392711,0.407482111,0.53,1,march,70
Ogbadibo,Owan East,2023,Ogbadibo,0.557318098,0.502736003,0.412586323,0.456146924,0.336392711,0.407482111,0.53,2,march,1165
Ohimini,Akinyele,2020,Ohimini,0.5217819,0.470437196,0.372688174,0.452985571,0.349595567,0.418374369,0.53,1,may,131
Ohimini,Akinyele,2023,Ohimini,0.5217819,0.470437196,0.372688174,0.452985571,0.349595567,0.418374369,0.53,2,may,1226
Oju,Oke-Ero,2020,Oju,0.74857695,0.479230969,0.463480729,0.499139003,0.409720848,0.467648858,0.53,1,july,186
Oju,Oke-Ero,2023,Oju,0.74857695,0.479230969,0.463480729,0.499139003,0.409720848,0.467648858,0.53,2,july,1281
Okpokwu,Akinyele,2020,Okpokwu,0.581818182,0.16,0.171428572,0.4125,0.347201019,0.416399046,0.53,1,may,131
Okpokwu,Akinyele,2023,Okpokwu,0.581818182,0.16,0.171428572,0.4125,0.347201019,0.416399046,0.53,2,may,1226
Oturkpo,Owan East,2020,Oturkpo,0.798605606,0.604978486,0.525328495,0.594166304,0.406479871,0.465020433,0.53,1,march,70
Oturkpo,Owan East,2023,Oturkpo,0.798605606,0.604978486,0.525328495,0.594166304,0.406479871,0.465020433,0.53,2,march,1165
Tarka,Keana,2020,Tarka,1,0.7,0.939130435,0.86,0.339520975,0.410062837,0.53,1,august,223
Tarka,Keana,2023,Tarka,1,0.7,0.939130435,0.86,0.339520975,0.410062837,0.53,2,august,1318
Ushongo,Oke-Ero,2020,Ushongo,0.470146681,0.359315966,0.312455578,0.426145735,0.333533837,0.405123965,0.53,1,july,186
Ushongo,Oke-Ero,2023,Ushongo,0.470146681,0.359315966,0.312455578,0.426145735,0.333533837,0.405123965,0.53,2,july,1281
Vandeikya,Oke-Ero,2020,Vandeikya,0.69743198,0.584781517,0.453661513,0.550367917,0.384252901,0.446888644,0.53,1,july,186
Vandeikya,Oke-Ero,2023,Vandeikya,0.69743198,0.584781517,0.453661513,0.550367917,0.384252901,0.446888644,0.53,2,july,1281
Askira-Uba,Darazo,2020,Askira/Uba,0.419432218,0.343545052,0.136420943,0.415352653,0.666450057,0.647762427,0.53,1,july,186
Askira-Uba,Darazo,2023,Askira/Uba,0.419432218,0.343545052,0.136420943,0.415352653,0.666450057,0.647762427,0.53,2,july,1281
Enugu East,Uzo-Uwani,2020,Enugu East,0.39491259,0.244434204,0.263977483,0.273663484,0.392074002,0.453287726,0.53,1,june,162
Enugu East,Uzo-Uwani,2023,Enugu East,0.39491259,0.244434204,0.263977483,0.273663484,0.392074002,0.453287726,0.53,2,june,1257
Bayo,Alkaleri,2020,Bayo,0.389189189,0.678260869,0.53877551,0.575342466,0.570036309,0.588279066,0.53,1,july,186
Bayo,Alkaleri,2023,Bayo,0.389189189,0.678260869,0.53877551,0.575342466,0.570036309,0.588279066,0.53,2,july,1281
Biu,Darazo,2020,Biu,0.189473684,0.205714285,0.188235294,0.266666666,0.636944927,0.630783932,0.53,1,july,186
Biu,Darazo,2023,Biu,0.189473684,0.205714285,0.188235294,0.266666666,0.636944927,0.630783932,0.53,2,july,1281
Chibok,Darazo,2020,Chibok,0.542720521,0.392999612,0.312245575,0.590417818,0.652598314,0.639928775,0.53,1,july,186
Chibok,Darazo,2023,Chibok,0.542720521,0.392999612,0.312245575,0.590417818,0.652598314,0.639928775,0.53,2,july,1281
Damboa,Darazo,2020,Damboa,0.542720521,0.392999612,0.312245575,0.590417818,0.695319136,0.663306114,0.53,1,july,186
Damboa,Darazo,2023,Damboa,0.542720521,0.392999612,0.312245575,0.590417818,0.695319136,0.663306114,0.53,2,july,1281
Biase,Ngor-Okpala,2021,Biase,0.579205469,0.631521692,0.571387298,0.660992406,0.42094549,0.476715539,0.53,1,june,527
Biase,Ngor-Okpala,2024,Biase,0.579205469,0.631521692,0.571387298,0.660992406,0.42094549,0.476715539,0.53,2,june,1622
Dikwa,Darazo,2020,Dikwa,0.542720521,0.392999612,0.312245575,0.590417818,0.719398758,0.675465,0.53,1,july,186
Dikwa,Darazo,2023,Dikwa,0.542720521,0.392999612,0.312245575,0.590417818,0.719398758,0.675465,0.53,2,july,1281
Gubio,Gawabawa,2020,Gubio,0.342857143,0.423281573,0.285714286,0.255319148,0.814426994,0.716543356,0.53,1,august,223
Gubio,Gawabawa,2023,Gubio,0.342857143,0.423281573,0.285714286,0.255319148,0.814426994,0.716543356,0.53,2,august,1318
Jere,Gawabawa,2020,Jere,0.613247306,0.473438473,0.249841741,0.458858926,0.753750697,0.691561556,0.53,1,august,223
Jere,Gawabawa,2023,Jere,0.613247306,0.473438473,0.249841741,0.458858926,0.753750697,0.691561556,0.53,2,august,1318
Guzamala,Babura,2020,Guzamala,0.861101299,0.781438832,0.76719842,0.85875173,0.777569747,0.701881155,0.53,1,may,131
Guzamala,Babura,2023,Guzamala,0.861101299,0.781438832,0.76719842,0.85875173,0.777569747,0.701881155,0.53,2,may,1226
Hawul,Darazo,2020,Hawul,0.405367554,0.461946898,0.342619151,0.37070539,0.628168105,0.625521494,0.53,1,july,186
Hawul,Darazo,2023,Hawul,0.405367554,0.461946898,0.342619151,0.37070539,0.628168105,0.625521494,0.53,2,july,1281
Kwaya Kusar,Alkaleri,2020,Kwaya Kusar,0.58144166,0.458086331,0.40628614,0.597026536,0.597977668,0.606689636,0.53,1,july,186
Kwaya Kusar,Alkaleri,2023,Kwaya Kusar,0.58144166,0.458086331,0.40628614,0.597026536,0.597977668,0.606689636,0.53,2,july,1281
Enugu North,Uzo-Uwani,2020,Enugu North,0.185660323,0.057970972,0.169744561,0.136450542,0.420714903,0.476529889,0.53,1,june,162
Enugu North,Uzo-Uwani,2023,Enugu North,0.185660323,0.057970972,0.169744561,0.136450542,0.420714903,0.476529889,0.53,2,june,1257
Kaga,Darazo,2020,Kaga,0.466666667,0.381818182,0.28,0.463157894,0.674887541,0.65241475,0.53,1,july,186
Kaga,Darazo,2023,Kaga,0.466666667,0.381818182,0.28,0.463157894,0.674887541,0.65241475,0.53,2,july,1281
Mafa,Darazo,2020,Mafa,0.542720521,0.392999612,0.312245575,0.590417818,0.71541858,0.673505468,0.53,1,july,186
Mafa,Darazo,2023,Mafa,0.542720521,0.392999612,0.312245575,0.590417818,0.71541858,0.673505468,0.53,2,july,1281
Obudu,Obubra,2021,Obudu,0.776649666,0.712909021,0.658329958,0.672978088,0.438167494,0.490500973,0.53,1,june,527
Obudu,Obubra,2024,Obudu,0.776649666,0.712909021,0.658329958,0.672978088,0.438167494,0.490500973,0.53,2,june,1622
Konduga,Darazo,2020,Konduga,0.615384616,0.505263158,0.827586206,0.83773585,0.74032898,0.685445232,0.53,1,july,186
Konduga,Darazo,2023,Konduga,0.615384616,0.505263158,0.827586206,0.83773585,0.74032898,0.685445232,0.53,2,july,1281
Bomadi,Isoko South,2022,Bomadi,0.45,0.947368421,0.36,0.364285715,0.197303754,0.29598519,0.53,1,june,892
Bomadi,Isoko South,2025,Bomadi,0.45,0.947368421,0.36,0.364285715,0.197303754,0.29598519,0.53,2,june,1987
Magumeri,Gawabawa,2020,Magumeri,0.650276225,0.423281573,0.337285464,0.719428619,0.783011005,0.704144224,0.53,1,august,223
Magumeri,Gawabawa,2023,Magumeri,0.650276225,0.423281573,0.337285464,0.719428619,0.783011005,0.704144224,0.53,2,august,1318
Maiduguri,Darazo,2020,Maiduguri,0.5510867,0.555675456,0.338555176,0.532808429,0.77182807,0.699455384,0.53,1,july,186
Maiduguri,Darazo,2023,Maiduguri,0.5510867,0.555675456,0.338555176,0.532808429,0.77182807,0.699455384,0.53,2,july,1281
Shani,Alkaleri,2020,Shani,0.58144166,0.458086331,0.40628614,0.597026536,0.675999756,0.653021266,0.53,1,july,186
Shani,Alkaleri,2023,Shani,0.58144166,0.458086331,0.40628614,0.597026536,0.675999756,0.653021266,0.53,2,july,1281
Abi,Obubra,2021,Abi,0.775324596,0.541071355,0.511409423,0.679858585,0.400313882,0.46000802,0.53,1,june,527
Abi,Obubra,2024,Abi,0.775324596,0.541071355,0.511409423,0.679858585,0.400313882,0.46000802,0.53,2,june,1622
Marte,Babura,2020,Marte,0.861101299,0.781438832,0.76719842,0.85875173,0.719831894,0.675677048,0.53,1,may,131
Marte,Babura,2023,Marte,0.861101299,0.781438832,0.76719842,0.85875173,0.719831894,0.675677048,0.53,2,may,1226
Nganzai,Gawabawa,2020,Nganzai,0.650276225,0.423281573,0.337285464,0.719428619,0.772011267,0.699533384,0.53,1,august,223
Nganzai,Gawabawa,2023,Nganzai,0.650276225,0.423281573,0.337285464,0.719428619,0.772011267,0.699533384,0.53,2,august,1318
Bekwara,Oke-Ero,2021,Bekwara,0.470146681,0.359315966,0.312455578,0.426145735,0.383264622,0.4460788,0.53,1,july,551
Bekwara,Oke-Ero,2024,Bekwara,0.470146681,0.359315966,0.312455578,0.426145735,0.383264622,0.4460788,0.53,2,july,1646
Calabar-Municipal,Nsit Ubium,2021,Calabar-Municipal,0.397753928,0.47084986,0.17988173,0.298266139,0.462134621,0.509382696,0.53,1,june,527
Calabar-Municipal,Nsit Ubium,2024,Calabar-Municipal,0.397753928,0.47084986,0.17988173,0.298266139,0.462134621,0.509382696,0.53,2,june,1622
Ikom,Obubra,2021,Ikom,0.69943944,0.553397994,0.884468604,0.575078004,0.470923114,0.51620494,0.53,1,june,527
Ikom,Obubra,2024,Ikom,0.69943944,0.553397994,0.884468604,0.575078004,0.470923114,0.51620494,0.53,2,june,1622
Obubra,Obubra,2021,Obubra,0.809726437,0.844897962,0.647727268,0.705527632,0.444533155,0.495552804,0.53,1,june,527
Obubra,Obubra,2024,Obubra,0.809726437,0.844897962,0.647727268,0.705527632,0.444533155,0.495552804,0.53,2,june,1622
Enugu South,Uzo-Uwani,2020,Enugu South,0.141078354,0.115953832,0.107393747,0.161841004,0.479661177,0.52292855,0.53,1,june,162
Enugu South,Uzo-Uwani,2023,Enugu South,0.141078354,0.115953832,0.107393747,0.161841004,0.479661177,0.52292855,0.53,2,june,1257
Odukpani,Ngor-Okpala,2021,Odukpani,0.409837914,0.252565433,0.058499998,0.370361743,0.447918712,0.498229176,0.53,1,june,527
Odukpani,Ngor-Okpala,2024,Odukpani,0.409837914,0.252565433,0.058499998,0.370361743,0.447918712,0.498229176,0.53,2,june,1622
Ogoja,Obubra,2021,Ogoja,0.579363056,0.650246304,0.64,0.555292126,0.439863497,0.491849375,0.53,1,june,527
Ogoja,Obubra,2024,Ogoja,0.579363056,0.650246304,0.64,0.555292126,0.439863497,0.491849375,0.53,2,june,1622
Yakurr,Obubra,2021,Yakurr,0.291099468,0.10650885,0.306993413,0.419932026,0.412760432,0.470109825,0.53,1,june,527
Yakurr,Obubra,2024,Yakurr,0.291099468,0.10650885,0.306993413,0.419932026,0.412760432,0.470109825,0.53,2,june,1622
Ogbomosho North,Akinyele,2020,Ogbomosho North,0.453667301,0.533538499,0.490411559,0.466690871,0.277526963,0.359214893,0.53,1,may,131
Ogbomosho North,Akinyele,2023,Ogbomosho North,0.453667301,0.533538499,0.490411559,0.466690871,0.277526963,0.359214893,0.53,2,may,1226
Yala,Oke-Ero,2021,Yala,0.425741423,0.574074018,0.454483634,0.501719244,0.446939058,0.497455497,0.53,1,july,551
Yala,Oke-Ero,2024,Yala,0.425741423,0.574074018,0.454483634,0.501719244,0.446939058,0.497455497,0.53,2,july,1646
Aniocha North,Uzo-Uwani,2022,Aniocha North,0.545454546,0.771428572,0.690909091,0.588235294,0.369401293,0.434693912,0.53,1,june,892
Aniocha North,Uzo-Uwani,2025,Aniocha North,0.545454546,0.771428572,0.690909091,0.588235294,0.369401293,0.434693912,0.53,2,june,1987
Aniocha South,Uzo-Uwani,2022,Aniocha South,0.370889668,0.259967353,0.17990206,0.137489035,0.311595529,0.387055583,0.53,1,june,892
Aniocha South,Uzo-Uwani,2025,Aniocha South,0.370889668,0.259967353,0.17990206,0.137489035,0.311595529,0.387055583,0.53,2,june,1987
Ibadan South West,Owan East,2020,Ibadan South West,0.322829046,0.511372422,0.29758419,0.334322836,0.315354899,0.390146775,0.53,1,march,70
Ibadan South West,Owan East,2023,Ibadan South West,0.322829046,0.511372422,0.29758419,0.334322836,0.315354899,0.390146775,0.53,2,march,1165
Ethiope East,Isoko South,2022,Ethiope East,0.085714285,0.187779185,0.062964102,0.095588808,0.209725367,0.305480359,0.53,1,june,892
Ethiope East,Isoko South,2025,Ethiope East,0.085714285,0.187779185,0.062964102,0.095588808,0.209725367,0.305480359,0.53,2,june,1987
Ethiope West,Isoko South,2022,Ethiope West,0.24,0.307014227,0.133333333,0.306976744,0.342228555,0.412296673,0.53,1,june,892
Ethiope West,Isoko South,2025,Ethiope West,0.24,0.307014227,0.133333333,0.306976744,0.342228555,0.412296673,0.53,2,june,1987
Ika North East,Uzo-Uwani,2022,Ika North East,0.12,0.2,0.192060578,0.046153846,0.388201078,0.450121249,0.53,1,june,892
Ika North East,Uzo-Uwani,2025,Ika North East,0.12,0.2,0.192060578,0.046153846,0.388201078,0.450121249,0.53,2,june,1987
Ika South,Uzo-Uwani,2022,Ika South,0.331783877,0.268927518,0.092307692,0.075,0.37137411,0.436316512,0.53,1,june,892
Ika South,Uzo-Uwani,2025,Ika South,0.331783877,0.268927518,0.092307692,0.075,0.37137411,0.436316512,0.53,2,june,1987
Isoko North,Isoko South,2022,Isoko North,0.2,0.342857143,0.3,0.171428572,0.19337815,0.293011529,0.53,1,june,892
Isoko North,Isoko South,2025,Isoko North,0.2,0.342857143,0.3,0.171428572,0.19337815,0.293011529,0.53,2,june,1987
Ogbomosho South,Akinyele,2020,Ogbomosho South,0.5217819,0.470437196,0.372688174,0.452985571,0.343621306,0.413445748,0.53,1,may,131
Ogbomosho South,Akinyele,2023,Ogbomosho South,0.5217819,0.470437196,0.372688174,0.452985571,0.343621306,0.413445748,0.53,2,may,1226
Isoko South,Isoko South,2022,Isoko South,0.555857897,0.591831504,0.642824333,0.472938172,0.162398226,0.270038761,0.53,1,june,892
Isoko South,Isoko South,2025,Isoko South,0.555857897,0.591831504,0.642824333,0.472938172,0.162398226,0.270038761,0.53,2,june,1987
Ndokwa East,Ahoada West,2022,Ndokwa East,0.5,0.36923077,0.257142857,0.44,0.258105917,0.343545804,0.53,1,may,861
Ndokwa East,Ahoada West,2025,Ndokwa East,0.5,0.36923077,0.257142857,0.44,0.258105917,0.343545804,0.53,2,may,1956
Ndokwa West,Isoko South,2022,Ndokwa West,0.757894736,0.6,0.564705882,0.385714285,0.26790329,0.351427873,0.53,1,june,892
Ndokwa West,Isoko South,2025,Ndokwa West,0.757894736,0.6,0.564705882,0.385714285,0.26790329,0.351427873,0.53,2,june,1987
Okpe,Isoko South,2022,Okpe,0.4,0.2,0.177777778,0.32,0.176806986,0.280610706,0.53,1,june,892
Okpe,Isoko South,2025,Okpe,0.4,0.2,0.177777778,0.32,0.176806986,0.280610706,0.53,2,june,1987
Oshimili North,Uzo-Uwani,2022,Oshimili North,0.331783877,0.268927518,0.192060578,0.226610623,0.34095855,0.41124887,0.53,1,june,892
Oshimili North,Uzo-Uwani,2025,Oshimili North,0.331783877,0.268927518,0.192060578,0.226610623,0.34095855,0.41124887,0.53,2,june,1987
Oshimili South,Uzo-Uwani,2022,Oshimili South,0.45,0.533333333,0.2,0.447058824,0.3079518,0.384062211,0.53,1,june,892
Oshimili South,Uzo-Uwani,2025,Oshimili South,0.45,0.533333333,0.2,0.447058824,0.3079518,0.384062211,0.53,2,june,1987
Patani,Isoko South,2022,Patani,0.587544911,0.683135359,0.634419682,0.428517301,0.156971919,0.266110793,0.53,1,june,892
Patani,Isoko South,2025,Patani,0.587544911,0.683135359,0.634419682,0.428517301,0.156971919,0.266110793,0.53,2,june,1987
Sapele,Isoko South,2022,Sapele,0.402494502,0.261912832,0.32950447,0.419492174,0.293983111,0.37261735,0.53,1,june,892
Sapele,Isoko South,2025,Sapele,0.402494502,0.261912832,0.32950447,0.419492174,0.293983111,0.37261735,0.53,2,june,1987
Udu,Isoko South,2022,Udu,0.694736842,0.342857143,0.471428572,0.392727272,0.132665008,0.24889334,0.53,1,june,892
Udu,Isoko South,2025,Udu,0.694736842,0.342857143,0.471428572,0.392727272,0.132665008,0.24889334,0.53,2,june,1987
Ughelli North,Isoko South,2022,Ughelli North,0.228217681,0.147795888,0.04731705,0.156061744,0.187814216,0.288820013,0.53,1,june,892
Ughelli North,Isoko South,2025,Ughelli North,0.228217681,0.147795888,0.04731705,0.156061744,0.187814216,0.288820013,0.53,2,june,1987
Ughelli South,Isoko South,2022,Ughelli South,0.597899311,0.587480904,0.269949265,0.219048251,0.146146999,0.258365504,0.53,1,june,892
Ughelli South,Isoko South,2025,Ughelli South,0.597899311,0.587480904,0.269949265,0.219048251,0.146146999,0.258365504,0.53,2,june,1987
Ukwuani,Uzo-Uwani,2022,Ukwuani,0.32,0.12,0.070588235,0.260869565,0.33569314,0.406905033,0.53,1,june,892
Ukwuani,Uzo-Uwani,2025,Ukwuani,0.32,0.12,0.070588235,0.260869565,0.33569314,0.406905033,0.53,2,june,1987
Uvwie,Isoko South,2022,Uvwie,0.352941176,0.442732156,0.285703889,0.18432698,0.128201894,0.245801456,0.53,1,june,892
Uvwie,Isoko South,2025,Uvwie,0.352941176,0.442732156,0.285703889,0.18432698,0.128201894,0.245801456,0.53,2,june,1987
Warri South,Isoko South,2022,Warri South,0.421316444,0.540996326,0.461269824,0.414366714,0.150613557,0.261546529,0.53,1,june,892
Warri South,Isoko South,2025,Warri South,0.421316444,0.540996326,0.461269824,0.414366714,0.150613557,0.261546529,0.53,2,june,1987
Ohaozara,Obubra,2020,Ohaozara,0.872900153,0.861129538,0.866499371,0.78659686,0.422916581,0.478301408,0.53,1,june,162
Ohaozara,Obubra,2023,Ohaozara,0.872900153,0.861129538,0.866499371,0.78659686,0.422916581,0.478301408,0.53,2,june,1257
Abakaliki,Owan East,2020,Abakaliki,0.916396292,0.749687875,0.666521327,0.74424961,0.416945424,0.473491294,0.53,1,march,70
Abakaliki,Owan East,2023,Abakaliki,0.916396292,0.749687875,0.666521327,0.74424961,0.416945424,0.473491294,0.53,2,march,1165
Afikpo North,Oru West,2020,Afikpo North,1,0.9400722,0.814615384,0.885735185,0.428193447,0.482537052,0.53,1,june,162
Afikpo North,Oru West,2023,Afikpo North,1,0.9400722,0.814615384,0.885735185,0.428193447,0.482537052,0.53,2,june,1257
Afikpo South,Ngor-Okpala,2020,Afikpo South,0.800509764,0.676747482,0.634637514,0.70038449,0.44733042,0.497764649,0.53,1,june,162
Afikpo South,Ngor-Okpala,2023,Afikpo South,0.800509764,0.676747482,0.634637514,0.70038449,0.44733042,0.497764649,0.53,2,june,1257
Ebonyi,Owan East,2020,Ebonyi,0.557318098,0.502736003,0.412586323,0.456146924,0.429410898,0.483512158,0.53,1,march,70
Ebonyi,Owan East,2023,Ebonyi,0.557318098,0.502736003,0.412586323,0.456146924,0.429410898,0.483512158,0.53,2,march,1165
Ezza North,Owan East,2020,Ezza North,0.823529412,0.72,0.635294118,0.675,0.41226708,0.469710667,0.53,1,march,70
Ezza North,Owan East,2023,Ezza North,0.823529412,0.72,0.635294118,0.675,0.41226708,0.469710667,0.53,2,march,1165
Ezza South,Obubra,2020,Ezza South,0.882593869,0.798559738,0.784515396,0.746411845,0.389807073,0.451434864,0.53,1,june,162
Ezza South,Obubra,2023,Ezza South,0.882593869,0.798559738,0.784515396,0.746411845,0.389807073,0.451434864,0.53,2,june,1257
Ikwo,Obubra,2020,Ikwo,0.914413222,0.811594717,0.723470707,0.853100668,0.39899006,0.45892996,0.53,1,june,162
Ikwo,Obubra,2023,Ikwo,0.914413222,0.811594717,0.723470707,0.853100668,0.39899006,0.45892996,0.53,2,june,1257
Ishielu,Owan East,2020,Ishielu,0.744936169,0.847724864,0.597590458,0.707191218,0.402215764,0.461555673,0.53,1,march,70
Ishielu,Owan East,2023,Ishielu,0.744936169,0.847724864,0.597590458,0.707191218,0.402215764,0.461555673,0.53,2,march,1165
Ivo,Ngor-Okpala,2020,Ivo,0.365309446,0.31976846,0.263166845,0.320293091,0.433913174,0.487111038,0.53,1,june,162
Ivo,Ngor-Okpala,2023,Ivo,0.365309446,0.31976846,0.263166845,0.320293091,0.433913174,0.487111038,0.53,2,june,1257
Izzi,Owan East,2020,Izzi,0.661533358,0.644675309,0.533023102,0.61994569,0.409695434,0.467628265,0.53,1,march,70
Izzi,Owan East,2023,Izzi,0.661533358,0.644675309,0.533023102,0.61994569,0.409695434,0.467628265,0.53,2,march,1165
Ohaukwu,Owan East,2020,Ohaukwu,0.45,0.6,0.580645162,0.535714285,0.40041459,0.460090005,0.53,1,march,70
Ohaukwu,Owan East,2023,Ohaukwu,0.45,0.6,0.580645162,0.535714285,0.40041459,0.460090005,0.53,2,march,1165
Onicha,Obubra,2020,Onicha,0.809235994,0.847614049,0.684986388,0.795428578,0.407479271,0.465831417,0.53,1,june,162
Onicha,Obubra,2023,Onicha,0.809235994,0.847614049,0.684986388,0.795428578,0.407479271,0.465831417,0.53,2,june,1257
Akoko-Edo,Owan East,2020,Akoko-Edo,0.484626023,0.278781127,0.473391106,0.599193404,0.304845225,0.381512482,0.53,1,march,70
Akoko-Edo,Owan East,2023,Akoko-Edo,0.484626023,0.278781127,0.473391106,0.599193404,0.304845225,0.381512482,0.53,2,march,1165
Egor,Uzo-Uwani,2020,Egor,0.239097718,0.2,0.259136244,0.187631274,0.42209808,0.477643111,0.53,1,june,162
Egor,Uzo-Uwani,2023,Egor,0.239097718,0.2,0.259136244,0.187631274,0.42209808,0.477643111,0.53,2,june,1257
Esan North East,Uzo-Uwani,2020,Esan North East,0.32,0.36,0.276923077,0.272727272,0.339061878,0.409684078,0.53,1,june,162
Esan North East,Uzo-Uwani,2023,Esan North East,0.32,0.36,0.276923077,0.272727272,0.339061878,0.409684078,0.53,2,june,1257
Esan Central,Owan East,2020,Esan Central,0.666666667,0.75,0.282352942,0.336842105,0.34342137,0.413280793,0.53,1,march,70
Esan Central,Owan East,2023,Esan Central,0.666666667,0.75,0.282352942,0.336842105,0.34342137,0.413280793,0.53,2,march,1165
Esan South East,Uzo-Uwani,2020,Esan South East,0.503089106,0.357830282,0.382528463,0.495662447,0.404971726,0.463795838,0.53,1,june,162
Esan South East,Uzo-Uwani,2023,Esan South East,0.503089106,0.357830282,0.382528463,0.495662447,0.404971726,0.463795838,0.53,2,june,1257
Esan West,Uzo-Uwani,2020,Esan West,0.4,0.48,0.72,0.291891892,0.366421113,0.432241487,0.53,1,june,162
Esan West,Uzo-Uwani,2023,Esan West,0.4,0.48,0.72,0.291891892,0.366421113,0.432241487,0.53,2,june,1257
Etsako Central,Owan East,2020,Etsako Central,0.3,0.16,0.469565218,0.192857143,0.300181787,0.377689484,0.53,1,march,70
