LGA,Rep_DS,State,U5_coverage,adult_coverage,simday,duration,year
Bindawa,Rimi,,0.1,0.1,0,-1,2018
Binji,Gawabawa,,0.25,0.25,0,-1,2018
Biriniwa,Taura,,0.166666667,0.166666667,0,-1,2018
Birni Kudu,Takali,,0.223983083,0.223983083,0,-1,2018
Birnin Kebbi,Birnin Kebbi,,0.572939706,0.572939706,0,-1,2018
Birnin Magaji,Rimi,,0.209995572,0.209995572,0,-1,2018
Birnin-Gwari,Giwa,,0.130508332,0.130508332,0,-1,2018
Biu,Darazo,,0.5,0.5,0,-1,2018
Bodinga,Gawabawa,,0.106631444,0.106631444,0,-1,2018
Bogoro,Alkaleri,,0.234127553,0.234127553,0,-1,2018
Boki,Obubra,,0.25,0.25,0,-1,2018
Bokkos,Giwa,,0.130508332,0.130508332,0,-1,2018
Boluwaduro,Akinyele,,0.154926235,0.154926235,0,-1,2018
Bomadi,Isoko South,,0.12159624,0.12159624,0,-1,2018
Bonny,Nsit Ubium,,0.596547236,0.596547236,0,-1,2018
Borgu,Oke-Ero,,0.285714286,0.285714286,0,-1,2018
Boripe,Akinyele,,0.333333333,0.333333333,0,-1,2018
Bosso,Keana,,0.216058677,0.216058677,0,-1,2018
Brass,Ahoada West,,0.514466613,0.514466613,0,-1,2018
Buji,Takali,,0.178754999,0.178754999,0,-1,2018
Bukkuyum,Alkaleri,,0.234127553,0.234127553,0,-1,2018
Bungudu,Takali,,0.297222393,0.297222393,0,-1,2018
Bunkure,Gwarzo,,0.172172547,0.172172547,0,-1,2018
Bunza,Birnin Kebbi,,0.42225568,0.42225568,0,-1,2018
Bursari,Taura,,0.125,0.125,0,-1,2018
Buruku,Keana,,0.200000038,0.200000038,0,-1,2018
Burutu,Isoko South,,0.12159624,0.12159624,0,-1,2018
Bwari,Giwa,,0.154268943,0.154268943,0,-1,2018
Calabar South,Nsit Ubium,,0.297727761,0.297727761,0,-1,2018
Calabar-Municipal,Nsit Ubium,,0.299739676,0.299739676,0,-1,2018
Chanchaga,Keana,,0.388965514,0.388965514,0,-1,2018
Charanchi,Rimi,,0.105263158,0.105263158,0,-1,2018
