,LGA,repDS,year,LGA_old,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,mortality_rate,kill_rate,block_initial,round,peak,simday,MapB_mix,llin_MapB
18,Obi Nwa,Ngor-Okpala,2023,Obi Nwa,0.36,0.56,0.381818182,0.4125,0.339144556,0.409752288,0.53,2,june,1257,CM+IPTp+Urban-LLINs+IPTi,itn 
19,Ohafia,Ngor-Okpala,2020,Ohafia,0.219596953,0.131708827,0.172664394,0.221167021,0.433165676,0.486514324,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
20,Ohafia,Ngor-Okpala,2023,Ohafia,0.219596953,0.131708827,0.172664394,0.221167021,0.433165676,0.486514324,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
21,Osisioma Ngwa,Ngor-Okpala,2020,Osisioma Ngwa,0.317647058,0.24,0.15652174,0.4,0.3223721,0.395923243,0.53,1,june,162,CM+IPTp+Urban-LLINs+IPTi,itn 
22,Osisioma Ngwa,Ngor-Okpala,2023,Osisioma Ngwa,0.317647058,0.24,0.15652174,0.4,0.3223721,0.395923243,0.53,2,june,1257,CM+IPTp+Urban-LLINs+IPTi,itn 
23,Ugwunagbo,Ngor-Okpala,2020,Ugwunagbo,0.171428572,0.171428572,0.333333334,0.092307692,0.311296946,0.386810187,0.53,1,june,162,CM+IPTp+Urban-LLINs+IPTi,itn 
24,Ugwunagbo,Ngor-Okpala,2023,Ugwunagbo,0.171428572,0.171428572,0.333333334,0.092307692,0.311296946,0.386810187,0.53,2,june,1257,CM+IPTp+Urban-LLINs+IPTi,itn 
25,Ukwa East,Nsit Ubium,2020,Ukwa East,0.260869565,0.066666667,0.048,0.085714285,0.30363416,0.380519132,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
26,Ukwa East,Nsit Ubium,2023,Ukwa East,0.260869565,0.066666667,0.048,0.085714285,0.30363416,0.380519132,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
27,Ukwa West,Nsit Ubium,2020,Ukwa West,0.401357616,0.353031661,0.243082888,0.273386149,0.294680951,0.373187786,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
28,Ukwa West,Nsit Ubium,2023,Ukwa West,0.401357616,0.353031661,0.243082888,0.273386149,0.294680951,0.373187786,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
29,Umu-Neochi,Oru West,2020,Umu-Neochi,0.497801629,0.606901561,0.403219414,0.443178282,0.436597759,0.489251418,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
30,Umu-Neochi,Oru West,2023,Umu-Neochi,0.497801629,0.606901561,0.403219414,0.443178282,0.436597759,0.489251418,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
31,Umuahia North,Ngor-Okpala,2020,Umuahia North,0.16,0.31976846,0.24,0.210526315,0.451576154,0.501112024,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
32,Umuahia North,Ngor-Okpala,2023,Umuahia North,0.16,0.31976846,0.24,0.210526315,0.451576154,0.501112024,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
33,Umuahia South,Ngor-Okpala,2020,Umuahia South,0.228295674,0.263655314,0.198353248,0.333891334,0.48752647,0.528927156,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
34,Umuahia South,Ngor-Okpala,2023,Umuahia South,0.228295674,0.263655314,0.198353248,0.333891334,0.48752647,0.528927156,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
35,Itu,Ngor-Okpala,2021,Itu,0.365309446,0.31976846,0.263166845,0.024489796,0.415010863,0.471929182,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn 
36,Itu,Ngor-Okpala,2024,Itu,0.365309446,0.31976846,0.263166845,0.024489796,0.415010863,0.471929182,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn 
37,Abak,Nsit Ubium,2021,Abak,0.141176471,0.08,0.208695652,0.196721311,0.358412263,0.425644469,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn 
38,Abak,Nsit Ubium,2024,Abak,0.141176471,0.08,0.208695652,0.196721311,0.358412263,0.425644469,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn 
39,Awka North,Uzo-Uwani,2020,Awka North,0.285714286,0.171428572,0.104347826,0.252631579,0.388205397,0.450124783,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
40,Awka North,Uzo-Uwani,2023,Awka North,0.285714286,0.171428572,0.104347826,0.252631579,0.388205397,0.450124783,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
41,Eket,Nsit Ubium,2021,Eket,0.436363637,0.4,0.42,0.381818182,0.238612216,0.328021397,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn 
42,Eket,Nsit Ubium,2024,Eket,0.436363637,0.4,0.42,0.381818182,0.238612216,0.328021397,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn 
43,Esit Eket,Nsit Ubium,2021,Esit Eket,0.771428572,0.48,0.194594594,0.588679246,0.262279676,0.346897657,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn 
44,Esit Eket,Nsit Ubium,2024,Esit Eket,0.771428572,0.48,0.194594594,0.588679246,0.262279676,0.346897657,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn 
45,Essien Udim,Ngor-Okpala,2021,Essien Udim,0.484995672,0.503190516,0.122177953,0.298496518,0.369824263,0.435041855,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn 
46,Essien Udim,Ngor-Okpala,2024,Essien Udim,0.484995672,0.503190516,0.122177953,0.298496518,0.369824263,0.435041855,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn 
47,Etim Ekpo,Ngor-Okpala,2021,Etim Ekpo,0.365309446,0.31976846,0.263166845,0.320293091,0.326319464,0.399175674,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn 
48,Etim Ekpo,Ngor-Okpala,2024,Etim Ekpo,0.365309446,0.31976846,0.263166845,0.320293091,0.326319464,0.399175674,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn 
49,Etinan,Nsit Ubium,2021,Etinan,0.276923077,0.2,0.243082888,0.171428572,0.271254927,0.35413511,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn 
50,Etinan,Nsit Ubium,2024,Etinan,0.276923077,0.2,0.243082888,0.171428572,0.271254927,0.35413511,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn 
51,Ibesikpo Asutan,Nsit Ubium,2021,Ibesikpo Asutan,0.37959187,0.438461501,0.316981142,0.354448409,0.364757188,0.430871605,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn 
52,Ibesikpo Asutan,Nsit Ubium,2024,Ibesikpo Asutan,0.37959187,0.438461501,0.316981142,0.354448409,0.364757188,0.430871605,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn 
53,Ibiono Ibom,Ngor-Okpala,2021,Ibiono Ibom,0.816968054,0.676951712,0.41733333,0.621642197,0.383194312,0.446021174,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn 
54,Ibiono Ibom,Ngor-Okpala,2024,Ibiono Ibom,0.816968054,0.676951712,0.41733333,0.621642197,0.383194312,0.446021174,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn 
55,Ika,Ngor-Okpala,2021,Ika,0.365309446,0.31976846,0.263166845,0.320293091,0.281330517,0.36230356,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn 
56,Ika,Ngor-Okpala,2024,Ika,0.365309446,0.31976846,0.263166845,0.320293091,0.281330517,0.36230356,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn 
57,Ikono,Ngor-Okpala,2021,Ikono,0.2,0.141176471,0.35,0.223728814,0.3504186,0.419053252,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn 
58,Ikono,Ngor-Okpala,2024,Ikono,0.2,0.141176471,0.35,0.223728814,0.3504186,0.419053252,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn 
59,Ikot Abasi,Nsit Ubium,2021,Ikot Abasi,0.417391304,0.553846154,0.36,0.147692308,0.194063012,0.293529351,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn 
60,Ikot Abasi,Nsit Ubium,2024,Ikot Abasi,0.417391304,0.553846154,0.36,0.147692308,0.194063012,0.293529351,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn 
61,Ikot Ekpene,Ngor-Okpala,2021,Ikot Ekpene,0.067265388,0.31976846,0.240576152,0.140252752,0.356519334,0.424084125,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn 
62,Ikot Ekpene,Ngor-Okpala,2024,Ikot Ekpene,0.067265388,0.31976846,0.240576152,0.140252752,0.356519334,0.424084125,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn 
63,Ini,Ngor-Okpala,2021,Ini,0.83076923,0.428571428,0.64,0.612244898,0.395911217,0.45642023,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn 
64,Ini,Ngor-Okpala,2024,Ini,0.83076923,0.428571428,0.64,0.612244898,0.395911217,0.45642023,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn 
65,Nsit Atai,Nsit Ubium,2021,Nsit Atai,0.401357616,0.353031661,0.243082888,0.273386149,0.243345201,0.331769618,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn 
66,Nsit Atai,Nsit Ubium,2024,Nsit Atai,0.401357616,0.353031661,0.243082888,0.273386149,0.243345201,0.331769618,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn 
67,Nsit Ibom,Nsit Ubium,2021,Nsit Ibom,0.24,0.092307692,0.243082888,0.203076923,0.357951303,0.425264532,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn 
68,Nsit Ibom,Nsit Ubium,2024,Nsit Ibom,0.24,0.092307692,0.243082888,0.203076923,0.357951303,0.425264532,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn 
69,Nsit Ubium,Nsit Ubium,2021,Nsit Ubium,0.352941176,0.654545454,0.163636363,0.351724138,0.247213687,0.334843575,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn 
70,Nsit Ubium,Nsit Ubium,2024,Nsit Ubium,0.352941176,0.654545454,0.163636363,0.351724138,0.247213687,0.334843575,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn 
71,Awka South,Uzo-Uwani,2020,Awka South,0.138461538,0.268927518,0.192060578,0.066666667,0.431794981,0.485419293,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
72,Awka South,Uzo-Uwani,2023,Awka South,0.138461538,0.268927518,0.192060578,0.066666667,0.431794981,0.485419293,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
73,Obot Akara,Ngor-Okpala,2021,Obot Akara,0.423529411,0.533333333,0.276923077,0.357894737,0.376065149,0.440171735,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn 
74,Obot Akara,Ngor-Okpala,2024,Obot Akara,0.423529411,0.533333333,0.276923077,0.357894737,0.376065149,0.440171735,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn 
75,Okobo,Nsit Ubium,2021,Okobo,0.36,0.266666666,0.545454546,0.349090909,0.269257198,0.352520839,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn 
76,Okobo,Nsit Ubium,2024,Okobo,0.36,0.266666666,0.545454546,0.349090909,0.269257198,0.352520839,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn 
77,Oruk Anam,Nsit Ubium,2021,Oruk Anam,0.41438846,0.517894756,0.286956455,0.341290256,0.312496984,0.387796568,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn 
78,Oruk Anam,Nsit Ubium,2024,Oruk Anam,0.41438846,0.517894756,0.286956455,0.341290256,0.312496984,0.387796568,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn 
79,Uruan,Nsit Ubium,2021,Uruan,0.402768228,0.363157944,0.259105852,0.312128183,0.401030149,0.460591042,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn 
80,Uruan,Nsit Ubium,2024,Uruan,0.402768228,0.363157944,0.259105852,0.312128183,0.401030149,0.460591042,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn 
81,Urue-Offong-Oruko,Nsit Ubium,2021,Urue-Offong/Oruko,0.505263158,0.36923077,0.25,0.385714285,0.204236897,0.30126919,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn 
82,Urue-Offong-Oruko,Nsit Ubium,2024,Urue-Offong/Oruko,0.505263158,0.36923077,0.25,0.385714285,0.204236897,0.30126919,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn 
83,Ayamelum,Uzo-Uwani,2020,Ayamelum,0.271200001,0.108235295,0.067379682,0.178492462,0.436497382,0.489171465,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
84,Ayamelum,Uzo-Uwani,2023,Ayamelum,0.271200001,0.108235295,0.067379682,0.178492462,0.436497382,0.489171465,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
85,Uyo,Nsit Ubium,2021,Uyo,0.227865551,0.092983637,0.130824641,0.147802518,0.399966547,0.459725229,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn 
86,Uyo,Nsit Ubium,2024,Uyo,0.227865551,0.092983637,0.130824641,0.147802518,0.399966547,0.459725229,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn 
87,Aguata,Oru West,2020,Aguata,0.307020565,0.464441369,0.287571353,0.285199427,0.454034567,0.503044714,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
88,Aguata,Oru West,2023,Aguata,0.307020565,0.464441369,0.287571353,0.285199427,0.454034567,0.503044714,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
89,Anambra East,Uzo-Uwani,2020,Anambra East,0.128571428,0.268927518,0.12,0.042105263,0.375672105,0.439848897,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
90,Anambra East,Uzo-Uwani,2023,Anambra East,0.128571428,0.268927518,0.12,0.042105263,0.375672105,0.439848897,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
91,Anambra West,Uzo-Uwani,2020,Anambra West,0.389576772,0.444225973,0.318720223,0.33407719,0.39176502,0.453035277,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
92,Anambra West,Uzo-Uwani,2023,Anambra West,0.389576772,0.444225973,0.318720223,0.33407719,0.39176502,0.453035277,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
93,Anaocha,Oru West,2020,Anaocha,0.21732035,0.1486294,0.183318119,0.126019202,0.420247823,0.476153753,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
94,Anaocha,Oru West,2023,Anaocha,0.21732035,0.1486294,0.183318119,0.126019202,0.420247823,0.476153753,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
95,Dunukofia,Uzo-Uwani,2020,Dunukofia,0.331783877,0.268927518,0.192060578,0.226610623,0.421451191,0.477122595,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
96,Dunukofia,Uzo-Uwani,2023,Dunukofia,0.331783877,0.268927518,0.192060578,0.226610623,0.421451191,0.477122595,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
97,Ekwusigo,Oru West,2020,Ekwusigo,0.44,0.1,0.05,0.244067797,0.255572543,0.341515837,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
98,Ekwusigo,Oru West,2023,Ekwusigo,0.44,0.1,0.05,0.244067797,0.255572543,0.341515837,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
99,Idemili North,Uzo-Uwani,2020,Idemili North,0.351770567,0.26280508,0.1310178,0.233040127,0.422797782,0.478205882,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
100,Idemili North,Uzo-Uwani,2023,Idemili North,0.351770567,0.26280508,0.1310178,0.233040127,0.422797782,0.478205882,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
101,Idemili South,Oru West,2020,Idemili South,0.221205598,0.140623322,0.109807903,0.195956749,0.377378695,0.441250403,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
102,Idemili South,Oru West,2023,Idemili South,0.221205598,0.140623322,0.109807903,0.195956749,0.377378695,0.441250403,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
103,Ihiala,Oru West,2020,Ihiala,0.24112149,0.276675605,0.22524698,0.367873302,0.199598953,0.297729955,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
104,Ihiala,Oru West,2023,Ihiala,0.24112149,0.276675605,0.22524698,0.367873302,0.199598953,0.297729955,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
105,Njikoka,Uzo-Uwani,2020,Njikoka,0.342857143,0.20040582,0.234042512,0.180218965,0.436915256,0.489504274,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
106,Njikoka,Uzo-Uwani,2023,Njikoka,0.342857143,0.20040582,0.234042512,0.180218965,0.436915256,0.489504274,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
107,Nnewi South,Oru West,2020,Nnewi South,0.461235607,0.514285715,0.293599625,0.301508783,0.303374646,0.380306319,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
108,Nnewi South,Oru West,2023,Nnewi South,0.461235607,0.514285715,0.293599625,0.301508783,0.303374646,0.380306319,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
109,Ogbaru,Ahoada West,2020,Ogbaru,0.415384615,0.32,0.436363637,0.264705882,0.230996863,0.322021221,0.53,1,may,131,CM+IPTp+LLINs+IPTi,itn 
110,Ogbaru,Ahoada West,2023,Ogbaru,0.415384615,0.32,0.436363637,0.264705882,0.230996863,0.322021221,0.53,2,may,1226,CM+IPTp+LLINs+IPTi,itn 
111,Onitsha North,Uzo-Uwani,2020,Onitsha North,0.036363636,0.268927518,0.192060578,0.035820895,0.382531956,0.445478249,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
112,Onitsha North,Uzo-Uwani,2023,Onitsha North,0.036363636,0.268927518,0.192060578,0.035820895,0.382531956,0.445478249,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
113,Onitsha South,Uzo-Uwani,2020,Onitsha South,0.331783877,0.268927518,0.057142858,0.018181818,0.368656397,0.434081069,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
114,Onitsha South,Uzo-Uwani,2023,Onitsha South,0.331783877,0.268927518,0.057142858,0.018181818,0.368656397,0.434081069,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
115,Orumba North,Oru West,2020,Orumba North,0.305007427,0.191341638,0.12251681,0.132782981,0.403508225,0.462606614,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
116,Orumba North,Oru West,2023,Orumba North,0.305007427,0.191341638,0.12251681,0.132782981,0.403508225,0.462606614,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
117,Orumba South,Oru West,2020,Orumba South,0.303469146,0.271135903,0.183318119,0.261179873,0.438379079,0.490669288,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
118,Orumba South,Oru West,2023,Orumba South,0.303469146,0.271135903,0.183318119,0.261179873,0.438379079,0.490669288,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
119,Oyi,Uzo-Uwani,2020,Oyi,0.271716888,0.072180446,0.040604227,0.121633098,0.387377598,0.449447388,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
120,Oyi,Uzo-Uwani,2023,Oyi,0.271716888,0.072180446,0.040604227,0.121633098,0.387377598,0.449447388,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
121,Ukum,Keana,2020,Ukum,0.483474076,0.410105294,0.490532336,0.333060329,0.383970395,0.446657171,0.53,1,august,223,CM+IPTp+LLINs+SMC,itn 
122,Ukum,Keana,2023,Ukum,0.483474076,0.410105294,0.490532336,0.333060329,0.383970395,0.446657171,0.53,2,august,1318,CM+IPTp+LLINs+SMC,itn 
123,Kolokuma-Opokuma,Ahoada West,2020,Kolokuma/Opokuma,0.28412835,0.175558141,0.239278673,0.304565244,0.224180225,0.31668418,0.53,1,may,131,CM+IPTp+LLINs+IPTi,itn 
124,Kolokuma-Opokuma,Ahoada West,2023,Kolokuma/Opokuma,0.28412835,0.175558141,0.239278673,0.304565244,0.224180225,0.31668418,0.53,2,may,1226,CM+IPTp+LLINs+IPTi,itn 
125,Nembe,Ahoada West,2020,Nembe,0.738461538,0.666666667,0.42,0.633962264,0.273335383,0.35581817,0.53,1,may,131,CM+IPTp+LLINs+IPTi,itn 
126,Nembe,Ahoada West,2023,Nembe,0.738461538,0.666666667,0.42,0.633962264,0.273335383,0.35581817,0.53,2,may,1226,CM+IPTp+LLINs+IPTi,itn 
127,Ogbia,Ahoada West,2020,Ogbia,0.334897007,0.234338482,0.118904278,0.201699229,0.381331283,0.44449378,0.53,1,may,131,CM+IPTp+LLINs+IPTi,itn 
128,Ogbia,Ahoada West,2023,Ogbia,0.334897007,0.234338482,0.118904278,0.201699229,0.381331283,0.44449378,0.53,2,may,1226,CM+IPTp+LLINs+IPTi,itn 
129,Sagbama,Ahoada West,2020,Sagbama,0.27834736,0.271576674,0.208415536,0.246436832,0.219154854,0.312771086,0.53,1,may,131,CM+IPTp+LLINs+IPTi,itn 
130,Sagbama,Ahoada West,2023,Sagbama,0.27834736,0.271576674,0.208415536,0.246436832,0.219154854,0.312771086,0.53,2,may,1226,CM+IPTp+LLINs+IPTi,itn 
131,Yenegoa,Isoko South,2020,Yenegoa,0.32012731,0.307566185,0.266524828,0.293492771,0.260617689,0.34556186,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
132,Yenegoa,Isoko South,2023,Yenegoa,0.32012731,0.307566185,0.266524828,0.293492771,0.260617689,0.34556186,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
133,Ado,Akinyele,2020,Ado,0.473596562,0.270262392,0.241540543,0.33635749,0.357778894,0.425122422,0.53,1,may,131,CM+IPTp+LLINs+IPTi,itn 
134,Ado,Akinyele,2023,Ado,0.473596562,0.270262392,0.241540543,0.33635749,0.357778894,0.425122422,0.53,2,may,1226,CM+IPTp+LLINs+IPTi,itn 
135,Agatu,Keana,2020,Agatu,0.9,1,0.786206897,0.847058824,0.440507142,0.492360644,0.53,1,august,223,CM+IPTp+LLINs+SMC,itn 
136,Agatu,Keana,2023,Agatu,0.9,1,0.786206897,0.847058824,0.440507142,0.492360644,0.53,2,august,1318,CM+IPTp+LLINs+SMC,itn 
137,Apa,Keana,2020,Apa,1,0.423529411,0.5,0.561290322,0.437711079,0.490137805,0.53,1,august,223,CM+IPTp+LLINs+SMC,itn 
138,Apa,Keana,2023,Apa,1,0.423529411,0.5,0.561290322,0.437711079,0.490137805,0.53,2,august,1318,CM+IPTp+LLINs+SMC,itn 
139,Buruku,Keana,2020,Buruku,0.814285715,0.633333334,0.65625,0.628301887,0.37690999,0.440865552,0.53,1,august,223,CM+IPTp+LLINs+SMC,itn 
140,Buruku,Keana,2023,Buruku,0.814285715,0.633333334,0.65625,0.628301887,0.37690999,0.440865552,0.53,2,august,1318,CM+IPTp+LLINs+SMC,itn 
141,Gboko,Keana,2020,Gboko,0.917560094,0.774546053,0.52625707,0.678559793,0.325574075,0.398561371,0.53,1,august,223,CM+IPTp+LLINs+SMC,itn 
142,Gboko,Keana,2023,Gboko,0.917560094,0.774546053,0.52625707,0.678559793,0.325574075,0.398561371,0.53,2,august,1318,CM+IPTp+LLINs+SMC,itn 
143,Guma,Keana,2020,Guma,0.905246791,0.902208186,0.88756477,0.804420823,0.365014826,0.431083741,0.53,1,august,223,CM+IPTp+LLINs+SMC,itn 
144,Guma,Keana,2023,Guma,0.905246791,0.902208186,0.88756477,0.804420823,0.365014826,0.431083741,0.53,2,august,1318,CM+IPTp+LLINs+SMC,itn 
145,Gwer East,Oke-Ero,2020,Gwer East,1,1,0.886956522,0.792857143,0.369333536,0.43463817,0.53,1,july,186,CM+IPTp+LLINs+SMC,itn 
