,LGA,repDS,year,LGA_old,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,kill_rate,round,peak,simday,MapA_mix,llin_type
36,Demsa,Alkaleri,2023,Demsa,0.45367231,0.28476821,0.267025783,0.384980239,0.7188,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
37,Gireri,Darazo,2020,Gireri,0.43370955,0.251051565,0.419360098,0.414123463,0.7188,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
38,Gireri,Darazo,2023,Gireri,0.43370955,0.251051565,0.419360098,0.414123463,0.7188,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
39,Gombi,Alkaleri,2020,Gombi,0.46428318,0.413940794,0.395597499,0.338836572,0.7188,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
40,Gombi,Alkaleri,2023,Gombi,0.46428318,0.413940794,0.395597499,0.338836572,0.7188,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
41,Guyuk,Alkaleri,2020,Guyuk,0.649078623,0.538183465,0.609110853,0.520162675,0.7188,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
42,Guyuk,Alkaleri,2023,Guyuk,0.649078623,0.538183465,0.609110853,0.520162675,0.7188,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
43,Hong,Darazo,2020,Hong,0.608695652,0.444444444,0.24137931,0.384615385,0.7188,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
44,Hong,Darazo,2023,Hong,0.608695652,0.444444444,0.24137931,0.384615385,0.7188,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
45,Lamurde,Alkaleri,2020,Lamurde,0.318181818,0.142857143,0.363636364,0.403225806,0.7188,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
46,Lamurde,Alkaleri,2023,Lamurde,0.318181818,0.142857143,0.363636364,0.403225806,0.7188,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
47,Mayo-Belwa,Alkaleri,2020,Mayo-Belwa,0.64,0.1875,0.44,0.438596491,0.7188,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
48,Mayo-Belwa,Alkaleri,2023,Mayo-Belwa,0.64,0.1875,0.44,0.438596491,0.7188,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
49,Numan,Alkaleri,2020,Numan,0.833333333,0.4375,0.368421053,0.611111111,0.7188,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
50,Numan,Alkaleri,2023,Numan,0.833333333,0.4375,0.368421053,0.611111111,0.7188,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
51,Shelleng,Darazo,2020,Shelleng,0.364360702,0.294522122,0.31610634,0.366244989,0.7188,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
52,Shelleng,Darazo,2023,Shelleng,0.364360702,0.294522122,0.31610634,0.366244989,0.7188,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
53,Itu,Ngor-Okpala,2021,Itu,0.304424538,0.266473717,0.219305704,0.020408163,0.471929182,1,june,527,CM+IPTp+LLINs+IPTi,itn
54,Itu,Ngor-Okpala,2024,Itu,0.304424538,0.266473717,0.219305704,0.020408163,0.471929182,2,june,1622,CM+IPTp+LLINs+IPTi,itn
55,Song,Darazo,2020,Song,0.481299215,0.567045456,0.489233428,0.494332723,0.7188,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
56,Song,Darazo,2023,Song,0.481299215,0.567045456,0.489233428,0.494332723,0.7188,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
