,LGA,repDS,year,LGA_old,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,kill_rate,round,peak,simday,MapA_mix,llin_type
374,Ezza North,Owan East,2023,Ezza North,0.68627451,0.6,0.529411765,0.5625,0.7188,2,march,1165,CM+IPTp+IRS+IPTi,itn_pbo
375,Ezza South,Obubra,2020,Ezza South,0.735494891,0.665466448,0.65376283,0.622009871,0.7188,1,june,162,CM+IPTp+IRS+IPTi,itn_pbo
376,Ezza South,Obubra,2023,Ezza South,0.735494891,0.665466448,0.65376283,0.622009871,0.7188,2,june,1257,CM+IPTp+IRS+IPTi,itn_pbo
377,Ikwo,Obubra,2020,Ikwo,0.762011018,0.676328931,0.602892256,0.710917223,0.7188,1,june,162,CM+IPTp+IRS+IPTi,itn_pbo
378,Ikwo,Obubra,2023,Ikwo,0.762011018,0.676328931,0.602892256,0.710917223,0.7188,2,june,1257,CM+IPTp+IRS+IPTi,itn_pbo
379,Ishielu,Owan East,2020,Ishielu,0.620780141,0.706437387,0.497992048,0.589326015,0.7188,1,march,70,CM+IPTp+IRS+IPTi,itn_pbo
380,Ishielu,Owan East,2023,Ishielu,0.620780141,0.706437387,0.497992048,0.589326015,0.7188,2,march,1165,CM+IPTp+IRS+IPTi,itn_pbo
381,Ivo,Ngor-Okpala,2020,Ivo,0.304424538,0.266473717,0.219305704,0.266910909,0.7188,1,june,162,CM+IPTp+IRS+IPTi,itn_pbo
382,Ivo,Ngor-Okpala,2023,Ivo,0.304424538,0.266473717,0.219305704,0.266910909,0.7188,2,june,1257,CM+IPTp+IRS+IPTi,itn_pbo
383,Izzi,Owan East,2020,Izzi,0.551277798,0.537229424,0.444185918,0.516621408,0.7188,1,march,70,CM+IPTp+IRS+SMC,itn_pbo
384,Izzi,Owan East,2023,Izzi,0.551277798,0.537229424,0.444185918,0.516621408,0.7188,2,march,1165,CM+IPTp+IRS+SMC,itn_pbo
385,Ohaukwu,Owan East,2020,Ohaukwu,0.375,0.5,0.483870968,0.446428571,0.7188,1,march,70,CM+IPTp+IRS+SMC,itn_pbo
386,Ohaukwu,Owan East,2023,Ohaukwu,0.375,0.5,0.483870968,0.446428571,0.7188,2,march,1165,CM+IPTp+IRS+SMC,itn_pbo
387,Onicha,Obubra,2020,Onicha,0.674363328,0.706345041,0.57082199,0.662857148,0.7188,1,june,162,CM+IPTp+IRS+IPTi,itn_pbo
388,Onicha,Obubra,2023,Onicha,0.674363328,0.706345041,0.57082199,0.662857148,0.7188,2,june,1257,CM+IPTp+IRS+IPTi,itn_pbo
389,Akoko-Edo,Owan East,2020,Akoko-Edo,0.403855019,0.232317606,0.394492588,0.499327837,0.381512482,1,march,70,CM+IPTp+LLINs+SMC,itn
390,Akoko-Edo,Owan East,2023,Akoko-Edo,0.403855019,0.232317606,0.394492588,0.499327837,0.381512482,2,march,1165,CM+IPTp+LLINs+SMC,itn
391,Egor,Uzo-Uwani,2020,Egor,0.199248098,0.166666667,0.21594687,0.156359395,0.477643111,1,june,162,CM+IPTp+Urban-LLINs+IPTi,itn
392,Egor,Uzo-Uwani,2023,Egor,0.199248098,0.166666667,0.21594687,0.156359395,0.477643111,2,june,1257,CM+IPTp+Urban-LLINs+IPTi,itn
393,Esan North East,Uzo-Uwani,2020,Esan North East,0.266666667,0.3,0.230769231,0.227272727,0.409684078,1,june,162,CM+IPTp+LLINs+IPTi,itn
394,Esan North East,Uzo-Uwani,2023,Esan North East,0.266666667,0.3,0.230769231,0.227272727,0.409684078,2,june,1257,CM+IPTp+LLINs+IPTi,itn
395,Esan Central,Owan East,2020,Esan Central,0.555555556,0.625,0.235294118,0.280701754,0.413280793,1,march,70,CM+IPTp+LLINs+IPTi,itn
396,Esan Central,Owan East,2023,Esan Central,0.555555556,0.625,0.235294118,0.280701754,0.413280793,2,march,1165,CM+IPTp+LLINs+IPTi,itn
397,Esan South East,Uzo-Uwani,2020,Esan South East,0.419240922,0.298191902,0.318773719,0.413052039,0.463795838,1,june,162,CM+IPTp+LLINs+IPTi,itn
398,Esan South East,Uzo-Uwani,2023,Esan South East,0.419240922,0.298191902,0.318773719,0.413052039,0.463795838,2,june,1257,CM+IPTp+LLINs+IPTi,itn
399,Esan West,Uzo-Uwani,2020,Esan West,0.333333333,0.4,0.6,0.243243243,0.432241487,1,june,162,CM+IPTp+LLINs+IPTi,itn
400,Esan West,Uzo-Uwani,2023,Esan West,0.333333333,0.4,0.6,0.243243243,0.432241487,2,june,1257,CM+IPTp+LLINs+IPTi,itn
401,Etsako Central,Owan East,2020,Etsako Central,0.25,0.133333333,0.391304348,0.160714286,0.377689484,1,march,70,CM+IPTp+LLINs+SMC,itn
402,Etsako Central,Owan East,2023,Etsako Central,0.25,0.133333333,0.391304348,0.160714286,0.377689484,2,march,1165,CM+IPTp+LLINs+SMC,itn
403,Etsako East,Owan East,2020,Etsako East,0.222853343,0.035081229,0.082263184,0.219326988,0.389711717,1,march,70,CM+IPTp+LLINs+SMC,itn
404,Etsako East,Owan East,2023,Etsako East,0.222853343,0.035081229,0.082263184,0.219326988,0.389711717,2,march,1165,CM+IPTp+LLINs+SMC,itn
405,Etsako West,Owan East,2020,Etsako West,0.156801223,0.047429771,0.039901288,0.091796309,0.36946828,1,march,70,CM+IPTp+LLINs+IPTi,itn
406,Etsako West,Owan East,2023,Etsako West,0.156801223,0.047429771,0.039901288,0.091796309,0.36946828,2,march,1165,CM+IPTp+LLINs+IPTi,itn
407,Igueben,Uzo-Uwani,2020,Igueben,0.246225282,0.155754508,0.318977515,0.312708352,0.472108841,1,june,162,CM+IPTp+LLINs+IPTi,itn
408,Igueben,Uzo-Uwani,2023,Igueben,0.246225282,0.155754508,0.318977515,0.312708352,0.472108841,2,june,1257,CM+IPTp+LLINs+IPTi,itn
409,Ikpoba-Okha,Uzo-Uwani,2020,Ikpoba-Okha,0.320654373,0.317064796,0.486610421,0.409053457,0.396692086,1,june,162,CM+IPTp+Urban-LLINs+IPTi,itn
410,Ikpoba-Okha,Uzo-Uwani,2023,Ikpoba-Okha,0.320654373,0.317064796,0.486610421,0.409053457,0.396692086,2,june,1257,CM+IPTp+Urban-LLINs+IPTi,itn
411,Aninri,Oru West,2020,Aninri,0.415856951,0.502677276,0.181500874,0.379519564,0.484335586,1,june,162,CM+IPTp+LLINs+IPTi,itn
412,Aninri,Oru West,2023,Aninri,0.415856951,0.502677276,0.181500874,0.379519564,0.484335586,2,june,1257,CM+IPTp+LLINs+IPTi,itn
413,Oredo,Uzo-Uwani,2020,Oredo,0.408607556,0.324212256,0.228866773,0.318484301,0.445104909,1,june,162,CM+IPTp+Urban-LLINs+IPTi,itn
414,Oredo,Uzo-Uwani,2023,Oredo,0.408607556,0.324212256,0.228866773,0.318484301,0.445104909,2,june,1257,CM+IPTp+Urban-LLINs+IPTi,itn
415,Orhionmwon,Uzo-Uwani,2020,Orhionmwon,0.25178341,0.296366685,0.275456393,0.242035061,0.407105953,1,june,162,CM+IPTp+LLINs+IPTi,itn
416,Orhionmwon,Uzo-Uwani,2023,Orhionmwon,0.25178341,0.296366685,0.275456393,0.242035061,0.407105953,2,june,1257,CM+IPTp+LLINs+IPTi,itn
417,Ovia North East,Owan East,2020,Ovia North East,0.363636364,0.3,0.166666667,0.375,0.408498179,1,march,70,CM+IPTp+LLINs+IPTi,itn
418,Ovia North East,Owan East,2023,Ovia North East,0.363636364,0.3,0.166666667,0.375,0.408498179,2,march,1165,CM+IPTp+LLINs+IPTi,itn
419,Ovia South West,Akinyele,2020,Ovia South West,0.631147615,0.384615397,0.516129069,0.518817183,0.429873962,1,may,131,CM+IPTp+LLINs+IPTi,itn
420,Ovia South West,Akinyele,2023,Ovia South West,0.631147615,0.384615397,0.516129069,0.518817183,0.429873962,2,may,1226,CM+IPTp+LLINs+IPTi,itn
421,Owan East,Owan East,2020,Owan East,0.37037037,0.25,0.25,0.372093023,0.389928709,1,march,70,CM+IPTp+LLINs+IPTi,itn
422,Owan East,Owan East,2023,Owan East,0.37037037,0.25,0.25,0.372093023,0.389928709,2,march,1165,CM+IPTp+LLINs+IPTi,itn
423,Owan West,Owan East,2020,Owan West,0.151941644,0.138882972,0.214010569,0.387601876,0.451058274,1,march,70,CM+IPTp+LLINs+SMC,itn
424,Owan West,Owan East,2023,Owan West,0.151941644,0.138882972,0.214010569,0.387601876,0.451058274,2,march,1165,CM+IPTp+LLINs+SMC,itn
425,Uhunmwonde,Owan East,2020,Uhunmwonde,0.224944264,0.162064783,0.167862242,0.283756511,0.450623986,1,march,70,CM+IPTp+LLINs+IPTi,itn
426,Uhunmwonde,Owan East,2023,Uhunmwonde,0.224944264,0.162064783,0.167862242,0.283756511,0.450623986,2,march,1165,CM+IPTp+LLINs+IPTi,itn
427,Ado Ekiti,Owan East,2020,Ado Ekiti,0.307654798,0.266792702,0.30162414,0.251320966,0.424809523,1,march,70,CM+IPTp+LLINs+IPTi,itn
428,Ado Ekiti,Owan East,2023,Ado Ekiti,0.307654798,0.266792702,0.30162414,0.251320966,0.424809523,2,march,1165,CM+IPTp+LLINs+IPTi,itn
429,Efon-Alayee,Oke-Ero,2020,Efon-Alayee,0.209302326,0.375,0.166666667,0.225490196,0.396790109,1,july,186,CM+IPTp+LLINs+IPTi,itn
430,Efon-Alayee,Oke-Ero,2023,Efon-Alayee,0.209302326,0.375,0.166666667,0.225490196,0.396790109,2,july,1281,CM+IPTp+LLINs+IPTi,itn
431,Ekiti East,Oke-Ero,2020,Ekiti East,0.25,0.299429972,0.125,0.188679245,0.412351259,1,july,186,CM+IPTp+LLINs+IPTi,itn
432,Ekiti East,Oke-Ero,2023,Ekiti East,0.25,0.299429972,0.125,0.188679245,0.412351259,2,july,1281,CM+IPTp+LLINs+IPTi,itn
433,Ekiti South West,Oke-Ero,2020,Ekiti South West,0.27166064,0.266233759,0.271209078,0.255773664,0.487961894,1,july,186,CM+IPTp+LLINs+IPTi,itn
434,Ekiti South West,Oke-Ero,2023,Ekiti South West,0.27166064,0.266233759,0.271209078,0.255773664,0.487961894,2,july,1281,CM+IPTp+LLINs+IPTi,itn
435,Awgu,Oru West,2020,Awgu,0.083333333,0.095238095,0.107142857,0.085365854,0.482762456,1,june,162,CM+IPTp+LLINs+IPTi,itn
436,Awgu,Oru West,2023,Awgu,0.083333333,0.095238095,0.107142857,0.085365854,0.482762456,2,june,1257,CM+IPTp+LLINs+IPTi,itn
437,Ekiti West,Oke-Ero,2020,Ekiti West,0.184223534,0.213830864,0.207872038,0.250242197,0.404541983,1,july,186,CM+IPTp+LLINs+IPTi,itn
438,Ekiti West,Oke-Ero,2023,Ekiti West,0.184223534,0.213830864,0.207872038,0.250242197,0.404541983,2,july,1281,CM+IPTp+LLINs+IPTi,itn
439,Emure,Oke-Ero,2020,Emure,0.357142857,0.153846154,0.090909091,0.216666667,0.436863758,1,july,186,CM+IPTp+LLINs+IPTi,itn
440,Emure,Oke-Ero,2023,Emure,0.357142857,0.153846154,0.090909091,0.216666667,0.436863758,2,july,1281,CM+IPTp+LLINs+IPTi,itn
441,Gboyin,Obubra,2020,Gboyin,0.31983529,0.131551915,0.188804999,0.238079038,0.36654315,1,june,162,CM+IPTp+LLINs+IPTi,itn
442,Gboyin,Obubra,2023,Gboyin,0.31983529,0.131551915,0.188804999,0.238079038,0.36654315,2,june,1257,CM+IPTp+LLINs+IPTi,itn
443,Idosi-Osi,Oke-Ero,2020,Idosi-Osi,0.200434256,0.201353458,0.15356295,0.157016209,0.379754213,1,july,186,CM+IPTp+LLINs+IPTi,itn
444,Idosi-Osi,Oke-Ero,2023,Idosi-Osi,0.200434256,0.201353458,0.15356295,0.157016209,0.379754213,2,july,1281,CM+IPTp+LLINs+IPTi,itn
445,Ijero,Oke-Ero,2020,Ijero,0.351895834,0.399107494,0.215514406,0.210181374,0.348459432,1,july,186,CM+IPTp+LLINs+IPTi,itn
446,Ijero,Oke-Ero,2023,Ijero,0.351895834,0.399107494,0.215514406,0.210181374,0.348459432,2,july,1281,CM+IPTp+LLINs+IPTi,itn
447,Ikere,Owan East,2020,Ikere,0.5,0.166666667,0.3,0.288888889,0.50525877,1,march,70,CM+IPTp+LLINs+IPTi,itn
448,Ikere,Owan East,2023,Ikere,0.5,0.166666667,0.3,0.288888889,0.50525877,2,march,1165,CM+IPTp+LLINs+IPTi,itn
449,Ikole,Oke-Ero,2020,Ikole,0.213149407,0.229371439,0.189242759,0.224233591,0.394638898,1,july,186,CM+IPTp+LLINs+SMC,itn
450,Ikole,Oke-Ero,2023,Ikole,0.213149407,0.229371439,0.189242759,0.224233591,0.394638898,2,july,1281,CM+IPTp+LLINs+SMC,itn
451,Ilemeji,Oke-Ero,2020,Ilemeji,0.666666667,0.571428571,0.4,0.24,0.384421328,1,july,186,CM+IPTp+LLINs+SMC,itn
452,Ilemeji,Oke-Ero,2023,Ilemeji,0.666666667,0.571428571,0.4,0.24,0.384421328,2,july,1281,CM+IPTp+LLINs+SMC,itn
453,Irepodun-Ifelodun,Oke-Ero,2020,Irepodun/Ifelodun,0.181818182,0.299429972,0.260379648,0.157894737,0.38908676,1,july,186,CM+IPTp+LLINs+IPTi,itn
454,Irepodun-Ifelodun,Oke-Ero,2023,Irepodun/Ifelodun,0.181818182,0.299429972,0.260379648,0.157894737,0.38908676,2,july,1281,CM+IPTp+LLINs+IPTi,itn
455,Ise-Orun,Oke-Ero,2020,Ise/Orun,0.171060699,0.158432706,0.218823528,0.266373142,0.467791215,1,july,186,CM+IPTp+LLINs+IPTi,itn
456,Ise-Orun,Oke-Ero,2023,Ise/Orun,0.171060699,0.158432706,0.218823528,0.266373142,0.467791215,2,july,1281,CM+IPTp+LLINs+IPTi,itn
457,Moba,Oke-Ero,2020,Moba,0.383931717,0.196426059,0.159547617,0.17050588,0.362981752,1,july,186,CM+IPTp+LLINs+SMC,itn
458,Moba,Oke-Ero,2023,Moba,0.383931717,0.196426059,0.159547617,0.17050588,0.362981752,2,july,1281,CM+IPTp+LLINs+SMC,itn
459,Oye,Oke-Ero,2020,Oye,0.245703847,0.209197195,0.036515435,0.143266993,0.377433124,1,july,186,CM+IPTp+LLINs+SMC,itn
460,Oye,Oke-Ero,2023,Oye,0.245703847,0.209197195,0.036515435,0.143266993,0.377433124,2,july,1281,CM+IPTp+LLINs+SMC,itn
461,Ezeagu,Uzo-Uwani,2020,Ezeagu,0.406541925,0.310152923,0.183547524,0.347315147,0.472696867,1,june,162,CM+IPTp+LLINs+IPTi,itn
462,Ezeagu,Uzo-Uwani,2023,Ezeagu,0.406541925,0.310152923,0.183547524,0.347315147,0.472696867,2,june,1257,CM+IPTp+LLINs+IPTi,itn
463,Igbo-Etiti,Uzo-Uwani,2020,Igbo-Etiti,0.169787781,0.114435291,0.170949379,0.215102855,0.44612671,1,june,162,CM+IPTp+LLINs+IPTi,itn
464,Igbo-Etiti,Uzo-Uwani,2023,Igbo-Etiti,0.169787781,0.114435291,0.170949379,0.215102855,0.44612671,2,june,1257,CM+IPTp+LLINs+IPTi,itn
465,Igbo-Eze North,Uzo-Uwani,2020,Igbo-Eze North,0.221092798,0.217855838,0.209511436,0.118120562,0.404119407,1,june,162,CM+IPTp+LLINs+IPTi,itn
466,Igbo-Eze North,Uzo-Uwani,2023,Igbo-Eze North,0.221092798,0.217855838,0.209511436,0.118120562,0.404119407,2,june,1257,CM+IPTp+LLINs+IPTi,itn
467,Igbo-Eze South,Uzo-Uwani,2020,Igbo-Eze South,0.233254471,0.136519718,0.166793844,0.240351624,0.428315236,1,june,162,CM+IPTp+LLINs+IPTi,itn
468,Igbo-Eze South,Uzo-Uwani,2023,Igbo-Eze South,0.233254471,0.136519718,0.166793844,0.240351624,0.428315236,2,june,1257,CM+IPTp+LLINs+IPTi,itn
469,Isi-Uzo,Owan East,2020,Isi-Uzo,0.464431748,0.418946669,0.343821936,0.380122437,0.480067127,1,march,70,CM+IPTp+LLINs+IPTi,itn
470,Isi-Uzo,Owan East,2023,Isi-Uzo,0.464431748,0.418946669,0.343821936,0.380122437,0.480067127,2,march,1165,CM+IPTp+LLINs+IPTi,itn
471,Nkanu East,Owan East,2020,Nkanu East,0.559380035,0.306545916,0.262474999,0.394325816,0.471406566,1,march,70,CM+IPTp+LLINs+IPTi,itn
472,Nkanu East,Owan East,2023,Nkanu East,0.559380035,0.306545916,0.262474999,0.394325816,0.471406566,2,march,1165,CM+IPTp+LLINs+IPTi,itn
473,Nkanu West,Uzo-Uwani,2020,Nkanu West,0.210526316,0.1,0.160050482,0.106060606,0.511059551,1,june,162,CM+IPTp+LLINs+IPTi,itn
474,Nkanu West,Uzo-Uwani,2023,Nkanu West,0.210526316,0.1,0.160050482,0.106060606,0.511059551,2,june,1257,CM+IPTp+LLINs+IPTi,itn
475,Nsukka,Uzo-Uwani,2020,Nsukka,0.38611887,0.308084027,0.130108738,0.221830526,0.452803528,1,june,162,CM+IPTp+LLINs+IPTi,itn
476,Nsukka,Uzo-Uwani,2023,Nsukka,0.38611887,0.308084027,0.130108738,0.221830526,0.452803528,2,june,1257,CM+IPTp+LLINs+IPTi,itn
477,Oji-River,Oru West,2020,Oji-River,0.086956522,0.225946586,0.055555556,0.038961039,0.465835335,1,june,162,CM+IPTp+LLINs+IPTi,itn
478,Oji-River,Oru West,2023,Oji-River,0.086956522,0.225946586,0.055555556,0.038961039,0.465835335,2,june,1257,CM+IPTp+LLINs+IPTi,itn
479,Udenu,Uzo-Uwani,2020,Udenu,0.218782976,0.170819671,0.028096039,0.175444736,0.444547985,1,june,162,CM+IPTp+LLINs+IPTi,itn
480,Udenu,Uzo-Uwani,2023,Udenu,0.218782976,0.170819671,0.028096039,0.175444736,0.444547985,2,june,1257,CM+IPTp+LLINs+IPTi,itn
481,Udi,Uzo-Uwani,2020,Udi,0.3040081,0.253926617,0.162436058,0.258933681,0.443030522,1,june,162,CM+IPTp+LLINs+IPTi,itn
482,Udi,Uzo-Uwani,2023,Udi,0.3040081,0.253926617,0.162436058,0.258933681,0.443030522,2,june,1257,CM+IPTp+LLINs+IPTi,itn
483,Uzo-Uwani,Uzo-Uwani,2020,Uzo-Uwani,0.327028337,0.367206931,0.086675444,0.252716862,0.463605313,1,june,162,CM+IPTp+LLINs+IPTi,itn
484,Uzo-Uwani,Uzo-Uwani,2023,Uzo-Uwani,0.327028337,0.367206931,0.086675444,0.252716862,0.463605313,2,june,1257,CM+IPTp+LLINs+IPTi,itn
485,Ahiazu-Mbaise,Ngor-Okpala,2020,Ahiazu-Mbaise,0.090909091,0.428571429,0.076923077,0.214285714,0.500049325,1,june,162,CM+IPTp+LLINs+IPTi,itn
486,Ahiazu-Mbaise,Ngor-Okpala,2023,Ahiazu-Mbaise,0.090909091,0.428571429,0.076923077,0.214285714,0.500049325,2,june,1257,CM+IPTp+LLINs+IPTi,itn
487,Abaji,Keana,2020,Abaji,0.426753569,0.242500786,0.181989309,0.341084875,0.520406247,1,august,223,CM+IPTp+LLINs+SMC,itn
488,Abaji,Keana,2023,Abaji,0.426753569,0.242500786,0.181989309,0.341084875,0.520406247,2,august,1318,CM+IPTp+LLINs+SMC,itn
489,Bwari,Giwa,2020,Bwari,0.244205568,0.13000955,0.04295174,0.179001411,0.7188,1,august,223,CM+IPTp+IRS+SMC,itn_pbo
490,Bwari,Giwa,2023,Bwari,0.244205568,0.13000955,0.04295174,0.179001411,0.7188,2,august,1318,CM+IPTp+IRS+SMC,itn_pbo
491,Gwagwalada,Keana,2020,Gwagwalada,0.335692259,0.228815615,0.178987204,0.224981429,0.7188,1,august,223,CM+IPTp+IRS+SMC,itn_pbo
492,Gwagwalada,Keana,2023,Gwagwalada,0.335692259,0.228815615,0.178987204,0.224981429,0.7188,2,august,1318,CM+IPTp+IRS+SMC,itn_pbo
493,Kuje,Keana,2020,Kuje,0.508873086,0.36051872,0.345747474,0.443661769,0.7188,1,august,223,CM+IPTp+IRS+SMC,itn_pbo
494,Kuje,Keana,2023,Kuje,0.508873086,0.36051872,0.345747474,0.443661769,0.7188,2,august,1318,CM+IPTp+IRS+SMC,itn_pbo
495,Kwali,Keana,2020,Kwali,0.249141339,0.091169507,0.095544523,0.240719521,0.520161192,1,august,223,CM+IPTp+LLINs+SMC,itn
496,Kwali,Keana,2023,Kwali,0.249141339,0.091169507,0.095544523,0.240719521,0.520161192,2,august,1318,CM+IPTp+LLINs+SMC,itn
497,Bunkure,Gwarzo,2022,Bunkure,0.829787234,0.666666667,0.794117647,0.861111111,0.698564959,1,august,953,CM+IPTp+LLINs+SMC,itn
498,Bunkure,Gwarzo,2025,Bunkure,0.829787234,0.666666667,0.794117647,0.861111111,0.698564959,2,august,2048,CM+IPTp+LLINs+SMC,itn
499,Abuja Municipal,Keana,2020,Abuja Municipal,0.418523067,0.320238662,0.155117782,0.264070273,0.7188,1,august,223,CM+IPTp+IRS+SMC,itn_pbo
500,Abuja Municipal,Keana,2023,Abuja Municipal,0.418523067,0.320238662,0.155117782,0.264070273,0.7188,2,august,1318,CM+IPTp+IRS+SMC,itn_pbo
501,Akko,Alkaleri,2021,Akko,0.31899959,0.2148466,0.214430948,0.466775466,0.7188,1,july,551,CM+IPTp+IRS+SMC,itn_pbo
502,Akko,Alkaleri,2024,Akko,0.31899959,0.2148466,0.214430948,0.466775466,0.7188,2,july,1646,CM+IPTp+IRS+SMC,itn_pbo
503,Balanga,Alkaleri,2021,Balanga,0.556849082,0.508376924,0.564286353,0.803248637,0.7188,1,july,551,CM+IPTp+IRS+SMC,itn_pbo
504,Balanga,Alkaleri,2024,Balanga,0.556849082,0.508376924,0.564286353,0.803248637,0.7188,2,july,1646,CM+IPTp+IRS+SMC,itn_pbo
505,Billiri,Alkaleri,2021,Billiri,0.531522209,0.380907069,0.33393797,0.705255164,0.7188,1,july,551,CM+IPTp+IRS+SMC,itn_pbo
506,Billiri,Alkaleri,2024,Billiri,0.531522209,0.380907069,0.33393797,0.705255164,0.7188,2,july,1646,CM+IPTp+IRS+SMC,itn_pbo
507,Dukku,Darazo,2021,Dukku,0.233051961,0.096059125,0.098622582,0.422999526,0.7188,1,july,551,CM+IPTp+IRS+SMC,itn_pbo
508,Dukku,Darazo,2024,Dukku,0.233051961,0.096059125,0.098622582,0.422999526,0.7188,2,july,1646,CM+IPTp+IRS+SMC,itn_pbo
509,Funakaye,Alkaleri,2021,Funakaye,0.35483871,0.215686275,0.205882353,0.555555556,0.7188,1,july,551,CM+IPTp+IRS+SMC,itn_pbo
510,Funakaye,Alkaleri,2024,Funakaye,0.35483871,0.215686275,0.205882353,0.555555556,0.7188,2,july,1646,CM+IPTp+IRS+SMC,itn_pbo
511,Gombe,Alkaleri,2021,Gombe,0.359366859,0.280686294,0.281409971,0.460274947,0.7188,1,july,551,CM+IPTp+IRS+SMC,itn_pbo
512,Gombe,Alkaleri,2024,Gombe,0.359366859,0.280686294,0.281409971,0.460274947,0.7188,2,july,1646,CM+IPTp+IRS+SMC,itn_pbo
513,Kaltungo,Alkaleri,2021,Kaltungo,0.484534717,0.381738609,0.338571783,0.497522113,0.7188,1,july,551,CM+IPTp+IRS+SMC,itn_pbo
514,Kaltungo,Alkaleri,2024,Kaltungo,0.484534717,0.381738609,0.338571783,0.497522113,0.7188,2,july,1646,CM+IPTp+IRS+SMC,itn_pbo
515,Kwami,Alkaleri,2021,Kwami,0.304503189,0.193656634,0.159344999,0.530232685,0.7188,1,july,551,CM+IPTp+IRS+SMC,itn_pbo
516,Kwami,Alkaleri,2024,Kwami,0.304503189,0.193656634,0.159344999,0.530232685,0.7188,2,july,1646,CM+IPTp+IRS+SMC,itn_pbo
517,Dala,Alkaleri,2022,Dala,0.658560253,0.452861936,0.465236703,0.621102597,0.59673093,1,july,916,CM+IPTp+UrbanLLINs+SMC,itn
518,Dala,Alkaleri,2025,Dala,0.658560253,0.452861936,0.465236703,0.621102597,0.59673093,2,july,2011,CM+IPTp+UrbanLLINs+SMC,itn
519,Nafada,Alkaleri,2021,Nafada,0.480470832,0.387279203,0.271401175,0.718152909,0.665494757,1,july,551,CM+IPTp+LLINs+SMC,itn
520,Nafada,Alkaleri,2024,Nafada,0.480470832,0.387279203,0.271401175,0.718152909,0.665494757,2,july,1646,CM+IPTp+LLINs+SMC,itn
521,Shomgom,Alkaleri,2021,Shomgom,0.528795842,0.400231178,0.481615342,0.835300207,0.7188,1,july,551,CM+IPTp+IRS+SMC,itn_pbo
522,Shomgom,Alkaleri,2024,Shomgom,0.528795842,0.400231178,0.481615342,0.835300207,0.7188,2,july,1646,CM+IPTp+IRS+SMC,itn_pbo
523,Yamaltu-Deba,Alkaleri,2021,Yamaltu/Deba,0.352948378,0.312419728,0.151352523,0.634547765,0.7188,1,july,551,CM+IPTp+IRS+SMC,itn_pbo
524,Yamaltu-Deba,Alkaleri,2024,Yamaltu/Deba,0.352948378,0.312419728,0.151352523,0.634547765,0.7188,2,july,1646,CM+IPTp+IRS+SMC,itn_pbo
525,Aboh-Mbaise,Ngor-Okpala,2020,Aboh-Mbaise,0.194444444,0.266473717,0.076923077,0.086021505,0.432717137,1,june,162,CM+IPTp+LLINs+IPTi,itn
526,Aboh-Mbaise,Ngor-Okpala,2023,Aboh-Mbaise,0.194444444,0.266473717,0.076923077,0.086021505,0.432717137,2,june,1257,CM+IPTp+LLINs+IPTi,itn
527,Fagge,Alkaleri,2022,Fagge,0.484534717,0.381738609,0.338571783,0.497522113,0.7188,1,july,916,CM+IPTp+IRS+SMC,itn_pbo
528,Fagge,Alkaleri,2025,Fagge,0.484534717,0.381738609,0.338571783,0.497522113,0.7188,2,july,2011,CM+IPTp+IRS+SMC,itn_pbo
529,Ehime-Mbano,Ngor-Okpala,2020,Ehime-Mbano,0.1769013,0.190706742,0.191736714,0.128451426,0.507563152,1,june,162,CM+IPTp+LLINs+IPTi,itn
530,Ehime-Mbano,Ngor-Okpala,2023,Ehime-Mbano,0.1769013,0.190706742,0.191736714,0.128451426,0.507563152,2,june,1257,CM+IPTp+LLINs+IPTi,itn
531,Ezinihitte,Ngor-Okpala,2020,Ezinihitte,0.039516986,0.062695796,0.109386966,0.189200567,0.505227255,1,june,162,CM+IPTp+LLINs+IPTi,itn
532,Ezinihitte,Ngor-Okpala,2023,Ezinihitte,0.039516986,0.062695796,0.109386966,0.189200567,0.505227255,2,june,1257,CM+IPTp+LLINs+IPTi,itn
533,Ideato North,Oru West,2020,Ideato North,0.096977064,0.134732491,0.062479402,0.126360864,0.499135162,1,june,162,CM+IPTp+LLINs+IPTi,itn
534,Ideato North,Oru West,2023,Ideato North,0.096977064,0.134732491,0.062479402,0.126360864,0.499135162,2,june,1257,CM+IPTp+LLINs+IPTi,itn
535,Ideato South,Ngor-Okpala,2020,Ideato South,0.454545455,0.266473717,0.095238095,0.117647059,0.490817759,1,june,162,CM+IPTp+LLINs+IPTi,itn
536,Ideato South,Ngor-Okpala,2023,Ideato South,0.454545455,0.266473717,0.095238095,0.117647059,0.490817759,2,june,1257,CM+IPTp+LLINs+IPTi,itn
537,Ihitte-Uboma,Ngor-Okpala,2020,Ihitte/Uboma,0.304424538,0.266473717,0.219305704,0.266910909,0.516367403,1,june,162,CM+IPTp+LLINs+IPTi,itn
538,Ihitte-Uboma,Ngor-Okpala,2023,Ihitte/Uboma,0.304424538,0.266473717,0.219305704,0.266910909,0.516367403,2,june,1257,CM+IPTp+LLINs+IPTi,itn
539,Ikeduru,Ngor-Okpala,2020,Ikeduru,0.169572346,0.12167345,0.171591701,0.240899779,0.461899584,1,june,162,CM+IPTp+LLINs+IPTi,itn
540,Ikeduru,Ngor-Okpala,2023,Ikeduru,0.169572346,0.12167345,0.171591701,0.240899779,0.461899584,2,june,1257,CM+IPTp+LLINs+IPTi,itn
