,LGA,repDS,year,LGA_old,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,kill_rate,round,peak,simday,MapA_mix,llin_type
1,Arochukwu,Ngor-Okpala,2020,Arochukwu,0.409807769,0.327133985,0.239735094,0.325629622,0.485441926,1,june,162,CM+IPTp+LLINs+IPTi,itn
2,Arochukwu,Ngor-Okpala,2023,Arochukwu,0.409807769,0.327133985,0.239735094,0.325629622,0.485441926,2,june,1257,CM+IPTp+LLINs+IPTi,itn
3,Bende,Ngor-Okpala,2020,Bende,0.254506108,0.25399127,0.099431805,0.181414612,0.501154968,1,june,162,CM+IPTp+LLINs+IPTi,itn
4,Bende,Ngor-Okpala,2023,Bende,0.254506108,0.25399127,0.099431805,0.181414612,0.501154968,2,june,1257,CM+IPTp+LLINs+IPTi,itn
5,Ikwuano,Ngor-Okpala,2020,Ikwuano,0.393004114,0.324127916,0.425072045,0.42030651,0.51532143,1,june,162,CM+IPTp+LLINs+IPTi,itn
6,Ikwuano,Ngor-Okpala,2023,Ikwuano,0.393004114,0.324127916,0.425072045,0.42030651,0.51532143,2,june,1257,CM+IPTp+LLINs+IPTi,itn
7,Isiala-Ngwa North,Ngor-Okpala,2020,Isiala-Ngwa North,0.042898792,0.129356358,0.071963678,0.059840232,0.416760484,1,june,162,CM+IPTp+LLINs+IPTi,itn
8,Isiala-Ngwa North,Ngor-Okpala,2023,Isiala-Ngwa North,0.042898792,0.129356358,0.071963678,0.059840232,0.416760484,2,june,1257,CM+IPTp+LLINs+IPTi,itn
9,Isiala-Ngwa South,Ngor-Okpala,2020,Isiala-Ngwa South,0.104366275,0.076877973,0.219305704,0.117883509,0.444481729,1,june,162,CM+IPTp+LLINs+IPTi,itn
10,Isiala-Ngwa South,Ngor-Okpala,2023,Isiala-Ngwa South,0.104366275,0.076877973,0.219305704,0.117883509,0.444481729,2,june,1257,CM+IPTp+LLINs+IPTi,itn
11,Isuikwato,Ngor-Okpala,2020,Isuikwato,0.45242915,0.153256705,0.105045492,0.230249359,0.471442169,1,june,162,CM+IPTp+LLINs+IPTi,itn
12,Isuikwato,Ngor-Okpala,2023,Isuikwato,0.45242915,0.153256705,0.105045492,0.230249359,0.471442169,2,june,1257,CM+IPTp+LLINs+IPTi,itn
13,Ohafia,Ngor-Okpala,2020,Ohafia,0.182997461,0.109757356,0.143886995,0.184305851,0.486514324,1,june,162,CM+IPTp+LLINs+IPTi,itn
14,Ohafia,Ngor-Okpala,2023,Ohafia,0.182997461,0.109757356,0.143886995,0.184305851,0.486514324,2,june,1257,CM+IPTp+LLINs+IPTi,itn
15,Ukwa East,Nsit Ubium,2020,Ukwa East,0.217391304,0.055555556,0.04,0.071428571,0.380519132,1,june,162,CM+IPTp+LLINs+IPTi,itn
16,Ukwa East,Nsit Ubium,2023,Ukwa East,0.217391304,0.055555556,0.04,0.071428571,0.380519132,2,june,1257,CM+IPTp+LLINs+IPTi,itn
17,Ukwa West,Nsit Ubium,2020,Ukwa West,0.33446468,0.294193051,0.202569073,0.227821791,0.373187786,1,june,162,CM+IPTp+LLINs+IPTi,itn
18,Ukwa West,Nsit Ubium,2023,Ukwa West,0.33446468,0.294193051,0.202569073,0.227821791,0.373187786,2,june,1257,CM+IPTp+LLINs+IPTi,itn
19,Umu-Neochi,Oru West,2020,Umu-Neochi,0.414834691,0.505751301,0.336016178,0.369315235,0.489251418,1,june,162,CM+IPTp+LLINs+IPTi,itn
20,Umu-Neochi,Oru West,2023,Umu-Neochi,0.414834691,0.505751301,0.336016178,0.369315235,0.489251418,2,june,1257,CM+IPTp+LLINs+IPTi,itn
21,Umuahia North,Ngor-Okpala,2020,Umuahia North,0.133333333,0.266473717,0.2,0.175438596,0.501112024,1,june,162,CM+IPTp+LLINs+IPTi,itn
22,Umuahia North,Ngor-Okpala,2023,Umuahia North,0.133333333,0.266473717,0.2,0.175438596,0.501112024,2,june,1257,CM+IPTp+LLINs+IPTi,itn
23,Umuahia South,Ngor-Okpala,2020,Umuahia South,0.190246395,0.219712762,0.165294373,0.278242778,0.528927156,1,june,162,CM+IPTp+LLINs+IPTi,itn
24,Umuahia South,Ngor-Okpala,2023,Umuahia South,0.190246395,0.219712762,0.165294373,0.278242778,0.528927156,2,june,1257,CM+IPTp+LLINs+IPTi,itn
25,Demsa,Alkaleri,2020,Demsa,0.45367231,0.28476821,0.267025783,0.384980239,0.7188,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
26,Demsa,Alkaleri,2023,Demsa,0.45367231,0.28476821,0.267025783,0.384980239,0.7188,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
27,Gireri,Darazo,2020,Gireri,0.43370955,0.251051565,0.419360098,0.414123463,0.7188,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
28,Gireri,Darazo,2023,Gireri,0.43370955,0.251051565,0.419360098,0.414123463,0.7188,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
29,Gombi,Alkaleri,2020,Gombi,0.46428318,0.413940794,0.395597499,0.338836572,0.7188,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
30,Gombi,Alkaleri,2023,Gombi,0.46428318,0.413940794,0.395597499,0.338836572,0.7188,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
31,Guyuk,Alkaleri,2020,Guyuk,0.649078623,0.538183465,0.609110853,0.520162675,0.7188,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
32,Guyuk,Alkaleri,2023,Guyuk,0.649078623,0.538183465,0.609110853,0.520162675,0.7188,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
33,Hong,Darazo,2020,Hong,0.608695652,0.444444444,0.24137931,0.384615385,0.7188,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
34,Hong,Darazo,2023,Hong,0.608695652,0.444444444,0.24137931,0.384615385,0.7188,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
35,Lamurde,Alkaleri,2020,Lamurde,0.318181818,0.142857143,0.363636364,0.403225806,0.7188,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
36,Lamurde,Alkaleri,2023,Lamurde,0.318181818,0.142857143,0.363636364,0.403225806,0.7188,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
37,Mayo-Belwa,Alkaleri,2020,Mayo-Belwa,0.64,0.1875,0.44,0.438596491,0.7188,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
38,Mayo-Belwa,Alkaleri,2023,Mayo-Belwa,0.64,0.1875,0.44,0.438596491,0.7188,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
39,Numan,Alkaleri,2020,Numan,0.833333333,0.4375,0.368421053,0.611111111,0.7188,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
40,Numan,Alkaleri,2023,Numan,0.833333333,0.4375,0.368421053,0.611111111,0.7188,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
41,Shelleng,Darazo,2020,Shelleng,0.364360702,0.294522122,0.31610634,0.366244989,0.7188,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
42,Shelleng,Darazo,2023,Shelleng,0.364360702,0.294522122,0.31610634,0.366244989,0.7188,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
43,Itu,Ngor-Okpala,2021,Itu,0.304424538,0.266473717,0.219305704,0.020408163,0.471929182,1,june,527,CM+IPTp+LLINs+IPTi,itn
44,Itu,Ngor-Okpala,2024,Itu,0.304424538,0.266473717,0.219305704,0.020408163,0.471929182,2,june,1622,CM+IPTp+LLINs+IPTi,itn
45,Song,Darazo,2020,Song,0.481299215,0.567045456,0.489233428,0.494332723,0.7188,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
46,Song,Darazo,2023,Song,0.481299215,0.567045456,0.489233428,0.494332723,0.7188,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
47,Yola North,Alkaleri,2020,Yola North,0.489106732,0.454789001,0.414279228,0.409390884,0.7188,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
48,Yola North,Alkaleri,2023,Yola North,0.489106732,0.454789001,0.414279228,0.409390884,0.7188,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
49,Yola South,Alkaleri,2020,Yola South,0.523809524,0.375,0.444444444,0.259259259,0.7188,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
50,Yola South,Alkaleri,2023,Yola South,0.523809524,0.375,0.444444444,0.259259259,0.7188,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
51,Abak,Nsit Ubium,2021,Abak,0.117647059,0.066666667,0.173913043,0.163934426,0.425644469,1,june,527,CM+IPTp+LLINs+IPTi,itn
52,Abak,Nsit Ubium,2024,Abak,0.117647059,0.066666667,0.173913043,0.163934426,0.425644469,2,june,1622,CM+IPTp+LLINs+IPTi,itn
53,Awka North,Uzo-Uwani,2020,Awka North,0.238095238,0.142857143,0.086956522,0.210526316,0.450124783,1,june,162,CM+IPTp+LLINs+IPTi,itn
54,Awka North,Uzo-Uwani,2023,Awka North,0.238095238,0.142857143,0.086956522,0.210526316,0.450124783,2,june,1257,CM+IPTp+LLINs+IPTi,itn
55,Eket,Nsit Ubium,2021,Eket,0.363636364,0.333333333,0.35,0.318181818,0.328021397,1,june,527,CM+IPTp+LLINs+IPTi,itn
56,Eket,Nsit Ubium,2024,Eket,0.363636364,0.333333333,0.35,0.318181818,0.328021397,2,june,1622,CM+IPTp+LLINs+IPTi,itn
57,Esit Eket,Nsit Ubium,2021,Esit Eket,0.642857143,0.4,0.162162162,0.490566038,0.346897657,1,june,527,CM+IPTp+LLINs+IPTi,itn
58,Esit Eket,Nsit Ubium,2024,Esit Eket,0.642857143,0.4,0.162162162,0.490566038,0.346897657,2,june,1622,CM+IPTp+LLINs+IPTi,itn
59,Essien Udim,Ngor-Okpala,2021,Essien Udim,0.40416306,0.41932543,0.101814961,0.248747098,0.435041855,1,june,527,CM+IPTp+LLINs+IPTi,itn
60,Essien Udim,Ngor-Okpala,2024,Essien Udim,0.40416306,0.41932543,0.101814961,0.248747098,0.435041855,2,june,1622,CM+IPTp+LLINs+IPTi,itn
61,Etim Ekpo,Ngor-Okpala,2021,Etim Ekpo,0.304424538,0.266473717,0.219305704,0.266910909,0.399175674,1,june,527,CM+IPTp+LLINs+IPTi,itn
62,Etim Ekpo,Ngor-Okpala,2024,Etim Ekpo,0.304424538,0.266473717,0.219305704,0.266910909,0.399175674,2,june,1622,CM+IPTp+LLINs+IPTi,itn
63,Etinan,Nsit Ubium,2021,Etinan,0.230769231,0.166666667,0.202569073,0.142857143,0.35413511,1,june,527,CM+IPTp+LLINs+IPTi,itn
64,Etinan,Nsit Ubium,2024,Etinan,0.230769231,0.166666667,0.202569073,0.142857143,0.35413511,2,june,1622,CM+IPTp+LLINs+IPTi,itn
65,Ibesikpo Asutan,Nsit Ubium,2021,Ibesikpo Asutan,0.316326558,0.365384584,0.264150952,0.295373674,0.430871605,1,june,527,CM+IPTp+LLINs+IPTi,itn
66,Ibesikpo Asutan,Nsit Ubium,2024,Ibesikpo Asutan,0.316326558,0.365384584,0.264150952,0.295373674,0.430871605,2,june,1622,CM+IPTp+LLINs+IPTi,itn
67,Ibiono Ibom,Ngor-Okpala,2021,Ibiono Ibom,0.680806712,0.564126427,0.347777775,0.518035164,0.446021174,1,june,527,CM+IPTp+LLINs+IPTi,itn
68,Ibiono Ibom,Ngor-Okpala,2024,Ibiono Ibom,0.680806712,0.564126427,0.347777775,0.518035164,0.446021174,2,june,1622,CM+IPTp+LLINs+IPTi,itn
69,Ika,Ngor-Okpala,2021,Ika,0.304424538,0.266473717,0.219305704,0.266910909,0.36230356,1,june,527,CM+IPTp+LLINs+IPTi,itn
70,Ika,Ngor-Okpala,2024,Ika,0.304424538,0.266473717,0.219305704,0.266910909,0.36230356,2,june,1622,CM+IPTp+LLINs+IPTi,itn
71,Ikono,Ngor-Okpala,2021,Ikono,0.166666667,0.117647059,0.291666667,0.186440678,0.419053252,1,june,527,CM+IPTp+LLINs+IPTi,itn
72,Ikono,Ngor-Okpala,2024,Ikono,0.166666667,0.117647059,0.291666667,0.186440678,0.419053252,2,june,1622,CM+IPTp+LLINs+IPTi,itn
73,Ikot Abasi,Nsit Ubium,2021,Ikot Abasi,0.347826087,0.461538462,0.3,0.123076923,0.293529351,1,june,527,CM+IPTp+LLINs+IPTi,itn
74,Ikot Abasi,Nsit Ubium,2024,Ikot Abasi,0.347826087,0.461538462,0.3,0.123076923,0.293529351,2,june,1622,CM+IPTp+LLINs+IPTi,itn
75,Ikot Ekpene,Ngor-Okpala,2021,Ikot Ekpene,0.05605449,0.266473717,0.200480127,0.116877293,0.424084125,1,june,527,CM+IPTp+LLINs+IPTi,itn
76,Ikot Ekpene,Ngor-Okpala,2024,Ikot Ekpene,0.05605449,0.266473717,0.200480127,0.116877293,0.424084125,2,june,1622,CM+IPTp+LLINs+IPTi,itn
77,Ini,Ngor-Okpala,2021,Ini,0.692307692,0.357142857,0.533333333,0.510204082,0.45642023,1,june,527,CM+IPTp+LLINs+IPTi,itn
78,Ini,Ngor-Okpala,2024,Ini,0.692307692,0.357142857,0.533333333,0.510204082,0.45642023,2,june,1622,CM+IPTp+LLINs+IPTi,itn
79,Mkpat Enin,Nsit Ubium,2021,Mkpat Enin,0.602843612,0.379341874,0.33631654,0.380262242,0.7188,1,june,527,CM+IPTp+IRS+IPTi,itn_pbo
80,Mkpat Enin,Nsit Ubium,2024,Mkpat Enin,0.602843612,0.379341874,0.33631654,0.380262242,0.7188,2,june,1622,CM+IPTp+IRS+IPTi,itn_pbo
81,Nsit Atai,Nsit Ubium,2021,Nsit Atai,0.33446468,0.294193051,0.202569073,0.227821791,0.331769618,1,june,527,CM+IPTp+LLINs+IPTi,itn
82,Nsit Atai,Nsit Ubium,2024,Nsit Atai,0.33446468,0.294193051,0.202569073,0.227821791,0.331769618,2,june,1622,CM+IPTp+LLINs+IPTi,itn
83,Nsit Ibom,Nsit Ubium,2021,Nsit Ibom,0.2,0.076923077,0.202569073,0.169230769,0.425264532,1,june,527,CM+IPTp+LLINs+IPTi,itn
84,Nsit Ibom,Nsit Ubium,2024,Nsit Ibom,0.2,0.076923077,0.202569073,0.169230769,0.425264532,2,june,1622,CM+IPTp+LLINs+IPTi,itn
85,Nsit Ubium,Nsit Ubium,2021,Nsit Ubium,0.294117647,0.545454545,0.136363636,0.293103448,0.334843575,1,june,527,CM+IPTp+LLINs+IPTi,itn
86,Nsit Ubium,Nsit Ubium,2024,Nsit Ubium,0.294117647,0.545454545,0.136363636,0.293103448,0.334843575,2,june,1622,CM+IPTp+LLINs+IPTi,itn
87,Awka South,Uzo-Uwani,2020,Awka South,0.115384615,0.224106265,0.160050482,0.055555556,0.485419293,1,june,162,CM+IPTp+LLINs+IPTi,itn
88,Awka South,Uzo-Uwani,2023,Awka South,0.115384615,0.224106265,0.160050482,0.055555556,0.485419293,2,june,1257,CM+IPTp+LLINs+IPTi,itn
89,Obot Akara,Ngor-Okpala,2021,Obot Akara,0.352941176,0.444444444,0.230769231,0.298245614,0.440171735,1,june,527,CM+IPTp+LLINs+IPTi,itn
90,Obot Akara,Ngor-Okpala,2024,Obot Akara,0.352941176,0.444444444,0.230769231,0.298245614,0.440171735,2,june,1622,CM+IPTp+LLINs+IPTi,itn
91,Okobo,Nsit Ubium,2021,Okobo,0.3,0.222222222,0.454545455,0.290909091,0.352520839,1,june,527,CM+IPTp+LLINs+IPTi,itn
92,Okobo,Nsit Ubium,2024,Okobo,0.3,0.222222222,0.454545455,0.290909091,0.352520839,2,june,1622,CM+IPTp+LLINs+IPTi,itn
93,Onna,Nsit Ubium,2021,Onna,0.415362737,0.411823643,0.219786096,0.410602704,0.7188,1,june,527,CM+IPTp+IRS+IPTi,itn_pbo
