,DS,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
14,Ukwa West,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
15,Umu-Neochi,0.931498483,0.931498483,0.931498483,0.931498483,0.931498483,0.931498483,0.931498483,0.931498483,0.931498483,0.931498483,0.931498483
16,Umuahia North,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
17,Umuahia South,0.943047864,0.943047864,0.943047864,0.943047864,0.943047864,0.943047864,0.943047864,0.943047864,0.943047864,0.943047864,0.943047864
18,Demsa,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
19,Gireri,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
20,Gombi,0.767683586,0.767683586,0.767683586,0.767683586,0.767683586,0.767683586,0.767683586,0.767683586,0.767683586,0.767683586,0.767683586
21,Guyuk,0.744840522,0.744840522,0.744840522,0.744840522,0.744840522,0.744840522,0.744840522,0.744840522,0.744840522,0.744840522,0.744840522
22,Hong,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
23,Lamurde,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
24,Mayo-Belwa,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
25,Numan,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
26,Shelleng,0.576457287,0.576457287,0.576457287,0.576457287,0.576457287,0.576457287,0.576457287,0.576457287,0.576457287,0.576457287,0.576457287
27,Itu,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
28,Song,0.828521432,0.828521432,0.828521432,0.828521432,0.828521432,0.828521432,0.828521432,0.828521432,0.828521432,0.828521432,0.828521432
29,Yola North,0.789937072,0.789937072,0.789937072,0.789937072,0.789937072,0.789937072,0.789937072,0.789937072,0.789937072,0.789937072,0.789937072
30,Yola South,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
31,Abak,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
32,Awka North,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
33,Eket,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
34,Esit Eket,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
35,Essien Udim,0.90586291,0.90586291,0.90586291,0.90586291,0.90586291,0.90586291,0.90586291,0.90586291,0.90586291,0.90586291,0.90586291
36,Etim Ekpo,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
37,Etinan,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
38,Ibesikpo Asutan,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
39,Ibiono Ibom,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
40,Ika,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
41,Ikono,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
42,Ikot Abasi,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
43,Ikot Ekpene,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
44,Ini,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
45,Mkpat Enin,0.575310558,0.575310558,0.575310558,0.575310558,0.575310558,0.575310558,0.575310558,0.575310558,0.575310558,0.575310558,0.575310558
46,Nsit Atai,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
47,Nsit Ibom,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
48,Nsit Ubium,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
49,Awka South,0.923076923,0.923076923,0.923076923,0.923076923,0.923076923,0.923076923,0.923076923,0.923076923,0.923076923,0.923076923,0.923076923
50,Obot Akara,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
51,Okobo,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
52,Onna,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
53,Oruk Anam,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
54,Ukanafun,0.897316075,0.897316075,0.897316075,0.897316075,0.897316075,0.897316075,0.897316075,0.897316075,0.897316075,0.897316075,0.897316075
55,Uruan,0.781925353,0.781925353,0.781925353,0.781925353,0.781925353,0.781925353,0.781925353,0.781925353,0.781925353,0.781925353,0.781925353
56,Urue-Offong-Oruko,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
57,Ayamelum,0.736641222,0.736641222,0.736641222,0.736641222,0.736641222,0.736641222,0.736641222,0.736641222,0.736641222,0.736641222,0.736641222
58,Uyo,0.871721383,0.871721383,0.871721383,0.871721383,0.871721383,0.871721383,0.871721383,0.871721383,0.871721383,0.871721383,0.871721383
59,Aguata,0.953452204,0.953452204,0.953452204,0.953452204,0.953452204,0.953452204,0.953452204,0.953452204,0.953452204,0.953452204,0.953452204
60,Anambra East,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
61,Anambra West,0.744289278,0.744289278,0.744289278,0.744289278,0.744289278,0.744289278,0.744289278,0.744289278,0.744289278,0.744289278,0.744289278
62,Anaocha,1,1,1,1,1,1,1,1,1,1,1
63,Dunukofia,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
64,Ekwusigo,0.933333333,0.933333333,0.933333333,0.933333333,0.933333333,0.933333333,0.933333333,0.933333333,0.933333333,0.933333333,0.933333333
65,Idemili North,0.752618989,0.752618989,0.752618989,0.752618989,0.752618989,0.752618989,0.752618989,0.752618989,0.752618989,0.752618989,0.752618989
66,Idemili South,0.803251016,0.803251016,0.803251016,0.803251016,0.803251016,0.803251016,0.803251016,0.803251016,0.803251016,0.803251016,0.803251016
67,Ihiala,0.808791231,0.808791231,0.808791231,0.808791231,0.808791231,0.808791231,0.808791231,0.808791231,0.808791231,0.808791231,0.808791231
68,Njikoka,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
