,DS,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
185,Afikpo South,0.811166597,0.811166597,0.811166597,0.811166597,0.811166597,0.811166597,0.811166597,0.811166597,0.811166597,0.811166597,0.811166597
186,Ebonyi,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
187,Ezza North,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
188,Ezza South,0.682438797,0.682438797,0.682438797,0.682438797,0.682438797,0.682438797,0.682438797,0.682438797,0.682438797,0.682438797,0.682438797
189,Ikwo,0.71250138,0.71250138,0.71250138,0.71250138,0.71250138,0.71250138,0.71250138,0.71250138,0.71250138,0.71250138,0.71250138
190,Ishielu,0.491103554,0.491103554,0.491103554,0.491103554,0.491103554,0.491103554,0.491103554,0.491103554,0.491103554,0.491103554,0.491103554
191,Ivo,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
192,Izzi,0.540493512,0.540493512,0.540493512,0.540493512,0.540493512,0.540493512,0.540493512,0.540493512,0.540493512,0.540493512,0.540493512
193,Ohaukwu,0.529411765,0.529411765,0.529411765,0.529411765,0.529411765,0.529411765,0.529411765,0.529411765,0.529411765,0.529411765,0.529411765
194,Onicha,0.591643812,0.591643812,0.591643812,0.591643812,0.591643812,0.591643812,0.591643812,0.591643812,0.591643812,0.591643812,0.591643812
195,Akoko-Edo,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
196,Egor,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
197,Esan North East,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
198,Esan Central,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
199,Esan South East,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
200,Esan West,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
201,Etsako Central,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
202,Etsako East,0.696839555,0.696839555,0.696839555,0.696839555,0.696839555,0.696839555,0.696839555,0.696839555,0.696839555,0.696839555,0.696839555
203,Etsako West,0.884361878,0.884361878,0.884361878,0.884361878,0.884361878,0.884361878,0.884361878,0.884361878,0.884361878,0.884361878,0.884361878
204,Igueben,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
205,Ikpoba-Okha,0.81780466,0.81780466,0.81780466,0.81780466,0.81780466,0.81780466,0.81780466,0.81780466,0.81780466,0.81780466,0.81780466
206,Aninri,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
207,Oredo,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
208,Orhionmwon,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
209,Ovia North East,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
210,Ovia South West,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
211,Owan East,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
212,Owan West,0.645475247,0.645475247,0.645475247,0.645475247,0.645475247,0.645475247,0.645475247,0.645475247,0.645475247,0.645475247,0.645475247
213,Uhunmwonde,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
214,Ado Ekiti,0.494620604,0.494620604,0.494620604,0.494620604,0.494620604,0.494620604,0.494620604,0.494620604,0.494620604,0.494620604,0.494620604
215,Efon-Alayee,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
216,Ekiti East,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
217,Ekiti South West,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
218,Awgu,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
219,Ekiti West,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
220,Emure,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
221,Gboyin,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
222,Idosi-Osi,0.633662224,0.633662224,0.633662224,0.633662224,0.633662224,0.633662224,0.633662224,0.633662224,0.633662224,0.633662224,0.633662224
223,Ijero,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
224,Ikere,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
225,Ikole,0.80395163,0.80395163,0.80395163,0.80395163,0.80395163,0.80395163,0.80395163,0.80395163,0.80395163,0.80395163,0.80395163
226,Ilemeji,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
227,Irepodun-Ifelodun,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
228,Ise-Orun,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
229,Moba,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
230,Oye,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
231,Ezeagu,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
232,Igbo-Etiti,0.7353005,0.7353005,0.7353005,0.7353005,0.7353005,0.7353005,0.7353005,0.7353005,0.7353005,0.7353005,0.7353005
233,Igbo-Eze North,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
234,Igbo-Eze South,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
235,Isi-Uzo,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
236,Nkanu East,0.595697096,0.595697096,0.595697096,0.595697096,0.595697096,0.595697096,0.595697096,0.595697096,0.595697096,0.595697096,0.595697096
237,Nkanu West,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
238,Nsukka,0.743337202,0.743337202,0.743337202,0.743337202,0.743337202,0.743337202,0.743337202,0.743337202,0.743337202,0.743337202,0.743337202
239,Oji-River,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
240,Udenu,0.656312774,0.656312774,0.656312774,0.656312774,0.656312774,0.656312774,0.656312774,0.656312774,0.656312774,0.656312774,0.656312774
241,Udi,0.83681795,0.83681795,0.83681795,0.83681795,0.83681795,0.83681795,0.83681795,0.83681795,0.83681795,0.83681795,0.83681795
242,Uzo-Uwani,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
243,Ahiazu-Mbaise,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
244,Abaji,0.873300987,0.873300987,0.873300987,0.873300987,0.873300987,0.873300987,0.873300987,0.873300987,0.873300987,0.873300987,0.873300987
245,Bwari,0.808706388,0.808706388,0.808706388,0.808706388,0.808706388,0.808706388,0.808706388,0.808706388,0.808706388,0.808706388,0.808706388
246,Gwagwalada,0.780910331,0.780910331,0.780910331,0.780910331,0.780910331,0.780910331,0.780910331,0.780910331,0.780910331,0.780910331,0.780910331
247,Kuje,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
248,Kwali,0.456418208,0.456418208,0.456418208,0.456418208,0.456418208,0.456418208,0.456418208,0.456418208,0.456418208,0.456418208,0.456418208
249,Bunkure,0.580645161,0.580645161,0.580645161,0.580645161,0.580645161,0.580645161,0.580645161,0.580645161,0.580645161,0.580645161,0.580645161
250,Abuja Municipal,0.8995022,0.8995022,0.8995022,0.8995022,0.8995022,0.8995022,0.8995022,0.8995022,0.8995022,0.8995022,0.8995022
251,Akko,0.771394961,0.771394961,0.771394961,0.771394961,0.771394961,0.771394961,0.771394961,0.771394961,0.771394961,0.771394961,0.771394961
252,Balanga,0.627127603,0.627127603,0.627127603,0.627127603,0.627127603,0.627127603,0.627127603,0.627127603,0.627127603,0.627127603,0.627127603
253,Billiri,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
254,Dukku,0.351370375,0.351370375,0.351370375,0.351370375,0.351370375,0.351370375,0.351370375,0.351370375,0.351370375,0.351370375,0.351370375
255,Funakaye,0.944444444,0.944444444,0.944444444,0.944444444,0.944444444,0.944444444,0.944444444,0.944444444,0.944444444,0.944444444,0.944444444
256,Gombe,0.69887207,0.69887207,0.69887207,0.69887207,0.69887207,0.69887207,0.69887207,0.69887207,0.69887207,0.69887207,0.69887207
257,Kaltungo,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
258,Kwami,0.478426222,0.478426222,0.478426222,0.478426222,0.478426222,0.478426222,0.478426222,0.478426222,0.478426222,0.478426222,0.478426222
259,Dala,0.95186583,0.95186583,0.95186583,0.95186583,0.95186583,0.95186583,0.95186583,0.95186583,0.95186583,0.95186583,0.95186583
260,Nafada,0.616012198,0.616012198,0.616012198,0.616012198,0.616012198,0.616012198,0.616012198,0.616012198,0.616012198,0.616012198,0.616012198
261,Shomgom,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
262,Yamaltu-Deba,0.479826885,0.479826885,0.479826885,0.479826885,0.479826885,0.479826885,0.479826885,0.479826885,0.479826885,0.479826885,0.479826885
263,Aboh-Mbaise,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857
264,Fagge,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
265,Ehime-Mbano,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
266,Ezinihitte,0.974962481,0.974962481,0.974962481,0.974962481,0.974962481,0.974962481,0.974962481,0.974962481,0.974962481,0.974962481,0.974962481
267,Ideato North,0.893570126,0.893570126,0.893570126,0.893570126,0.893570126,0.893570126,0.893570126,0.893570126,0.893570126,0.893570126,0.893570126
268,Ideato South,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
269,Ihitte-Uboma,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
270,Ikeduru,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
271,Isiala Mbano,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
272,Isu,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
273,Mbaitoli,0.753214525,0.753214525,0.753214525,0.753214525,0.753214525,0.753214525,0.753214525,0.753214525,0.753214525,0.753214525,0.753214525
274,Obowo,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
275,Ngor-Okpala,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
276,Njaba,0.925193424,0.925193424,0.925193424,0.925193424,0.925193424,0.925193424,0.925193424,0.925193424,0.925193424,0.925193424,0.925193424
277,Nkwerre,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
278,Nwangele,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
279,Oyo East,0.272727273,0.272727273,0.272727273,0.272727273,0.272727273,0.272727273,0.272727273,0.272727273,0.272727273,0.272727273,0.272727273
280,Oguta,0.888888889,0.888888889,0.888888889,0.888888889,0.888888889,0.888888889,0.888888889,0.888888889,0.888888889,0.888888889,0.888888889
281,Ohaji-Egbema,0.794993044,0.794993044,0.794993044,0.794993044,0.794993044,0.794993044,0.794993044,0.794993044,0.794993044,0.794993044,0.794993044
282,Okigwe,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
283,Orlu,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
284,Orsu,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
285,Oru East,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
286,Oru West,0.950487048,0.950487048,0.950487048,0.950487048,0.950487048,0.950487048,0.950487048,0.950487048,0.950487048,0.950487048,0.950487048
287,Owerri-Municipal,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
288,Tofa,0.681818182,0.681818182,0.681818182,0.681818182,0.681818182,0.681818182,0.681818182,0.681818182,0.681818182,0.681818182,0.681818182
289,Owerri North,0.888888889,0.888888889,0.888888889,0.888888889,0.888888889,0.888888889,0.888888889,0.888888889,0.888888889,0.888888889,0.888888889
290,Owerri West,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
291,Unuimo,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
292,Auyo,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
293,Babura,0.699095999,0.699095999,0.699095999,0.699095999,0.699095999,0.699095999,0.699095999,0.699095999,0.699095999,0.699095999,0.699095999
294,Biriniwa,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
295,Malam Madori,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
296,Birni Kudu,0.72954304,0.72954304,0.72954304,0.72954304,0.72954304,0.72954304,0.72954304,0.72954304,0.72954304,0.72954304,0.72954304
297,Buji,0.321367344,0.321367344,0.321367344,0.321367344,0.321367344,0.321367344,0.321367344,0.321367344,0.321367344,0.321367344,0.321367344
298,Jahun,0.822700216,0.822700216,0.822700216,0.822700216,0.822700216,0.822700216,0.822700216,0.822700216,0.822700216,0.822700216,0.822700216
299,Dutse,0.796568378,0.796568378,0.796568378,0.796568378,0.796568378,0.796568378,0.796568378,0.796568378,0.796568378,0.796568378,0.796568378
300,Gagarawa,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333
301,Kafin Hausa,0.507309333,0.507309333,0.507309333,0.507309333,0.507309333,0.507309333,0.507309333,0.507309333,0.507309333,0.507309333,0.507309333
302,Garki,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
303,Gumel,0.785714286,0.785714286,0.785714286,0.785714286,0.785714286,0.785714286,0.785714286,0.785714286,0.785714286,0.785714286,0.785714286
304,Guri,0.642857143,0.642857143,0.642857143,0.642857143,0.642857143,0.642857143,0.642857143,0.642857143,0.642857143,0.642857143,0.642857143
305,Gwaram,0.416935934,0.416935934,0.416935934,0.416935934,0.416935934,0.416935934,0.416935934,0.416935934,0.416935934,0.416935934,0.416935934
306,Gwiwa,0.774193548,0.774193548,0.774193548,0.774193548,0.774193548,0.774193548,0.774193548,0.774193548,0.774193548,0.774193548,0.774193548
307,Hadejia,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
308,Kaugama,0.548387097,0.548387097,0.548387097,0.548387097,0.548387097,0.548387097,0.548387097,0.548387097,0.548387097,0.548387097,0.548387097
309,Kazaure,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
310,Kiri Kasamma,0.684370275,0.684370275,0.684370275,0.684370275,0.684370275,0.684370275,0.684370275,0.684370275,0.684370275,0.684370275,0.684370275
311,Tsanyawa,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92
312,Miga,0.551724138,0.551724138,0.551724138,0.551724138,0.551724138,0.551724138,0.551724138,0.551724138,0.551724138,0.551724138,0.551724138
313,Ringim,0.583333333,0.583333333,0.583333333,0.583333333,0.583333333,0.583333333,0.583333333,0.583333333,0.583333333,0.583333333,0.583333333
314,Roni,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667
315,Taura,0.851851852,0.851851852,0.851851852,0.851851852,0.851851852,0.851851852,0.851851852,0.851851852,0.851851852,0.851851852,0.851851852
316,Yankwashi,0.666018297,0.666018297,0.666018297,0.666018297,0.666018297,0.666018297,0.666018297,0.666018297,0.666018297,0.666018297,0.666018297
317,Kiyawa,0.575757576,0.575757576,0.575757576,0.575757576,0.575757576,0.575757576,0.575757576,0.575757576,0.575757576,0.575757576,0.575757576
318,Dutsi,0.565217391,0.565217391,0.565217391,0.565217391,0.565217391,0.565217391,0.565217391,0.565217391,0.565217391,0.565217391,0.565217391
319,Birnin-Gwari,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
320,Kajuru,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
321,Chikun,1,1,1,1,1,1,1,1,1,1,1
322,Giwa,0.408423488,0.408423488,0.408423488,0.408423488,0.408423488,0.408423488,0.408423488,0.408423488,0.408423488,0.408423488,0.408423488
323,Koko-Besse,0.408386476,0.408386476,0.408386476,0.408386476,0.408386476,0.408386476,0.408386476,0.408386476,0.408386476,0.408386476,0.408386476
324,Igabi,0.453871526,0.453871526,0.453871526,0.453871526,0.453871526,0.453871526,0.453871526,0.453871526,0.453871526,0.453871526,0.453871526
325,Ikara,0.655855866,0.655855866,0.655855866,0.655855866,0.655855866,0.655855866,0.655855866,0.655855866,0.655855866,0.655855866,0.655855866
326,Jaba,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
327,Ogori-Mangongo,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
328,Jema'a,0.767818578,0.767818578,0.767818578,0.767818578,0.767818578,0.767818578,0.767818578,0.767818578,0.767818578,0.767818578,0.767818578
329,Kachia,0.447075003,0.447075003,0.447075003,0.447075003,0.447075003,0.447075003,0.447075003,0.447075003,0.447075003,0.447075003,0.447075003
330,Kaduna North,0.853808339,0.853808339,0.853808339,0.853808339,0.853808339,0.853808339,0.853808339,0.853808339,0.853808339,0.853808339,0.853808339
331,Kudan,0.66396684,0.66396684,0.66396684,0.66396684,0.66396684,0.66396684,0.66396684,0.66396684,0.66396684,0.66396684,0.66396684
332,Kagarko,0.705882353,0.705882353,0.705882353,0.705882353,0.705882353,0.705882353,0.705882353,0.705882353,0.705882353,0.705882353,0.705882353
333,Kaura,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
334,Kauru,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
335,Kubau,0.656210721,0.656210721,0.656210721,0.656210721,0.656210721,0.656210721,0.656210721,0.656210721,0.656210721,0.656210721,0.656210721
336,Lere,0.511583013,0.511583013,0.511583013,0.511583013,0.511583013,0.511583013,0.511583013,0.511583013,0.511583013,0.511583013,0.511583013
337,Markafi,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
338,Sabon-Gari,0.89944552,0.89944552,0.89944552,0.89944552,0.89944552,0.89944552,0.89944552,0.89944552,0.89944552,0.89944552,0.89944552
339,Sanga,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
340,Soba,0.280125198,0.280125198,0.280125198,0.280125198,0.280125198,0.280125198,0.280125198,0.280125198,0.280125198,0.280125198,0.280125198
341,Zango-Kataf,0.72206506,0.72206506,0.72206506,0.72206506,0.72206506,0.72206506,0.72206506,0.72206506,0.72206506,0.72206506,0.72206506
342,Zaria,0.700717599,0.700717599,0.700717599,0.700717599,0.700717599,0.700717599,0.700717599,0.700717599,0.700717599,0.700717599,0.700717599
343,Kaduna South,0.894833391,0.894833391,0.894833391,0.894833391,0.894833391,0.894833391,0.894833391,0.894833391,0.894833391,0.894833391,0.894833391
344,Bichi,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
345,Ajingi,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842
346,Albasu,0.869565217,0.869565217,0.869565217,0.869565217,0.869565217,0.869565217,0.869565217,0.869565217,0.869565217,0.869565217,0.869565217
347,Bagwai,0.413793103,0.413793103,0.413793103,0.413793103,0.413793103,0.413793103,0.413793103,0.413793103,0.413793103,0.413793103,0.413793103
348,Bebeji,0.636363636,0.636363636,0.636363636,0.636363636,0.636363636,0.636363636,0.636363636,0.636363636,0.636363636,0.636363636,0.636363636
349,Dambatta,0.633333333,0.633333333,0.633333333,0.633333333,0.633333333,0.633333333,0.633333333,0.633333333,0.633333333,0.633333333,0.633333333
350,Dawakin Kudu,0.761904762,0.761904762,0.761904762,0.761904762,0.761904762,0.761904762,0.761904762,0.761904762,0.761904762,0.761904762,0.761904762
351,Dawakin Tofa,0.954545455,0.954545455,0.954545455,0.954545455,0.954545455,0.954545455,0.954545455,0.954545455,0.954545455,0.954545455,0.954545455
352,Doguwa,0.441860465,0.441860465,0.441860465,0.441860465,0.441860465,0.441860465,0.441860465,0.441860465,0.441860465,0.441860465,0.441860465
353,Gabasawa,0.772727273,0.772727273,0.772727273,0.772727273,0.772727273,0.772727273,0.772727273,0.772727273,0.772727273,0.772727273,0.772727273
354,Garko,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88
355,Garum Mallam,0.782608696,0.782608696,0.782608696,0.782608696,0.782608696,0.782608696,0.782608696,0.782608696,0.782608696,0.782608696,0.782608696
356,Gaya,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76
357,Gezawa,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857
358,Gwale,0.9044864,0.9044864,0.9044864,0.9044864,0.9044864,0.9044864,0.9044864,0.9044864,0.9044864,0.9044864,0.9044864
359,Gwarzo,0.828571429,0.828571429,0.828571429,0.828571429,0.828571429,0.828571429,0.828571429,0.828571429,0.828571429,0.828571429,0.828571429
360,Kabo,0.780834533,0.780834533,0.780834533,0.780834533,0.780834533,0.780834533,0.780834533,0.780834533,0.780834533,0.780834533,0.780834533
361,Kano Municipal,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
362,Karaye,0.714285714,0.714285714,0.714285714,0.714285714,0.714285714,0.714285714,0.714285714,0.714285714,0.714285714,0.714285714,0.714285714
363,Kibiya,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
364,Kiru,0.57335944,0.57335944,0.57335944,0.57335944,0.57335944,0.57335944,0.57335944,0.57335944,0.57335944,0.57335944,0.57335944
365,Kumbotso,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
366,Yagba West,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
367,Kunchi,0.143814422,0.143814422,0.143814422,0.143814422,0.143814422,0.143814422,0.143814422,0.143814422,0.143814422,0.143814422,0.143814422
368,Kura,0.681818182,0.681818182,0.681818182,0.681818182,0.681818182,0.681818182,0.681818182,0.681818182,0.681818182,0.681818182,0.681818182
369,Madobi,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
370,Makoda,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
371,Ekiti,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
372,Minjibir,0.835032791,0.835032791,0.835032791,0.835032791,0.835032791,0.835032791,0.835032791,0.835032791,0.835032791,0.835032791,0.835032791
373,Nasarawa1,1,1,1,1,1,1,1,1,1,1,1
374,Rano,0.681818182,0.681818182,0.681818182,0.681818182,0.681818182,0.681818182,0.681818182,0.681818182,0.681818182,0.681818182,0.681818182
