DS,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Ukanafun,0.897316075,0.897316075,0.897316075,0.897316075,0.897316075,0.897316075,0.897316075,0.897316075,0.897316075,0.897316075,0.897316075
Uruan,0.781925353,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Urue-Offong-Oruko,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ayamelum,0.736641222,0.781763249,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Uyo,0.871721383,0.871721383,0.871721383,0.871721383,0.871721383,0.871721383,0.871721383,0.871721383,0.871721383,0.871721383,0.871721383
Aguata,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Anambra East,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Anambra West,0.744289278,0.789411304,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Anaocha,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Dunukofia,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ekwusigo,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Idemili North,0.752618989,0.797741015,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Idemili South,0.803251016,0.803251016,0.803251016,0.803251016,0.803251016,0.803251016,0.803251016,0.803251016,0.803251016,0.803251016,0.803251016
Ihiala,0.808791231,0.808791231,0.808791231,0.808791231,0.808791231,0.808791231,0.808791231,0.808791231,0.808791231,0.808791231,0.808791231
Njikoka,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Nnewi North,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Nnewi South,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ogbaru,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Onitsha North,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Onitsha South,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Orumba North,0.883149272,0.883149272,0.883149272,0.883149272,0.883149272,0.883149272,0.883149272,0.883149272,0.883149272,0.883149272,0.883149272
Orumba South,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Oyi,0.895586654,0.895586654,0.895586654,0.895586654,0.895586654,0.895586654,0.895586654,0.895586654,0.895586654,0.895586654,0.895586654
Alkaleri,0.750800759,0.795922785,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Bauchi,0.600089949,0.600089949,0.600089949,0.600089949,0.600089949,0.600089949,0.600089949,0.600089949,0.600089949,0.600089949,0.600089949
Bogoro,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Damban,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857
Darazo,0.789497907,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Dass,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Gamawa,0.571428571,0.650793651,0.73015873,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Jama'are,0.879047369,0.879047369,0.879047369,0.879047369,0.879047369,0.879047369,0.879047369,0.879047369,0.879047369,0.879047369,0.879047369
Ganjuwa,0.376021791,0.376021791,0.376021791,0.376021791,0.376021791,0.376021791,0.376021791,0.376021791,0.376021791,0.376021791,0.376021791
Giade,0.583333333,0.628455359,0.673577386,0.718699412,0.763821438,0.8,0.8,0.8,0.8,0.8,0.8
Itas-Gadau,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Katagum,0.566783828,0.611905854,0.65702788,0.702149906,0.747271932,0.792393958,0.8,0.8,0.8,0.8,0.8
Kirfi,0.47826087,0.523382896,0.568504922,0.613626948,0.658748974,0.703871,0.748993026,0.794115053,0.8,0.8,0.8
Misau,0.660517459,0.705639485,0.750761511,0.795883537,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ningi,0.417164323,0.462286349,0.507408375,0.552530402,0.597652428,0.642774454,0.68789648,0.733018506,0.778140532,0.8,0.8
Ukum,0.587517952,0.632639978,0.677762004,0.72288403,0.768006057,0.8,0.8,0.8,0.8,0.8,0.8
Shira,0.694989088,0.72968242,0.764375752,0.799069084,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Tafawa-Balewa,0.567162993,0.612285019,0.657407045,0.702529071,0.747651097,0.792773123,0.8,0.8,0.8,0.8,0.8
Toro,0.505529259,0.537675375,0.569821492,0.601967609,0.634113725,0.666259842,0.698405958,0.730552075,0.762698191,0.794844308,0.8
Warji,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Zaki,0.692954757,0.738076783,0.783198809,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Kolokuma-Opokuma,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Nembe,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ogbia,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Sagbama,0.435916705,0.481038731,0.526160757,0.571282783,0.616404809,0.661526835,0.706648862,0.751770888,0.796892914,0.8,0.8
Yenegoa,0.574451802,0.619573828,0.664695854,0.70981788,0.754939906,0.8,0.8,0.8,0.8,0.8,0.8
Ado,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Agatu,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Apa,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Buruku,0.519999975,0.565122001,0.610244027,0.655366053,0.700488079,0.745610106,0.790732132,0.8,0.8,0.8,0.8
Gboko,0.62660415,0.671726176,0.716848202,0.761970228,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Guma,0.402123468,0.447245494,0.492367521,0.537489547,0.582611573,0.627733599,0.672855625,0.717977651,0.763099677,0.8,0.8
Gwer East,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Gwer West,0.6875,0.732622026,0.777744052,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Katsina-Ala,0.617159248,0.662281275,0.707403301,0.752525327,0.797647353,0.8,0.8,0.8,0.8,0.8,0.8
Konshisha,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Logo,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Makurdi,0.666949427,0.712071453,0.757193479,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Obi1,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ogbadibo,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ohimini,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Oju,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Okpokwu,0.722222222,0.783475783,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Oturkpo,0.651422002,0.696544028,0.741666054,0.78678808,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Tarka,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ushongo,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Vandeikya,0.763853358,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Askira-Uba,0.741947576,0.787069602,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Enugu East,0.764234173,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Bayo,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Biu,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Chibok,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Damboa,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Biase,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Dikwa,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Gubio,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Jere,0.514339626,0.559461652,0.604583678,0.649705704,0.69482773,0.739949756,0.785071783,0.8,0.8,0.8,0.8
Guzamala,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Hawul,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Kwaya Kusar,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Enugu North,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Kaga,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Mafa,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
