State,LGA,repDS,peak,year,round,duration,coverage_high_access,coverage_low_access,max_age,simday,scenario
Federal Capital Territory,Abaji,Keana,august,2020,1,-1,1,0.6,5,223,scenario 2 - 5
Federal Capital Territory,Abaji,Keana,august,2020,2,-1,1,0.6,5,253,scenario 2 - 5
Federal Capital Territory,Abaji,Keana,august,2020,3,-1,1,0.6,5,283,scenario 2 - 5
Federal Capital Territory,Abaji,Keana,august,2020,4,-1,1,0.6,5,313,scenario 2 - 5
Federal Capital Territory,Abaji,Keana,august,2021,1,-1,1,0.6,5,588,scenario 2 - 5
Federal Capital Territory,Abaji,Keana,august,2021,2,-1,1,0.6,5,618,scenario 2 - 5
Federal Capital Territory,Abaji,Keana,august,2021,3,-1,1,0.6,5,648,scenario 2 - 5
Federal Capital Territory,Abaji,Keana,august,2021,4,-1,1,0.6,5,678,scenario 2 - 5
Federal Capital Territory,Abaji,Keana,august,2022,1,-1,1,0.6,5,953,scenario 2 - 5
Federal Capital Territory,Abaji,Keana,august,2022,2,-1,1,0.6,5,983,scenario 2 - 5
Federal Capital Territory,Abaji,Keana,august,2022,3,-1,1,0.6,5,1013,scenario 2 - 5
Federal Capital Territory,Abaji,Keana,august,2022,4,-1,1,0.6,5,1043,scenario 2 - 5
Federal Capital Territory,Abaji,Keana,august,2023,1,-1,1,0.6,5,1318,scenario 2 - 5
Federal Capital Territory,Abaji,Keana,august,2023,2,-1,1,0.6,5,1348,scenario 2 - 5
Federal Capital Territory,Abaji,Keana,august,2023,3,-1,1,0.6,5,1378,scenario 2 - 5
Federal Capital Territory,Abaji,Keana,august,2023,4,-1,1,0.6,5,1408,scenario 2 - 5
Federal Capital Territory,Abaji,Keana,august,2024,1,-1,1,0.6,5,1683,scenario 2 - 5
Federal Capital Territory,Abaji,Keana,august,2024,2,-1,1,0.6,5,1713,scenario 2 - 5
Federal Capital Territory,Abaji,Keana,august,2024,3,-1,1,0.6,5,1743,scenario 2 - 5
Federal Capital Territory,Abaji,Keana,august,2024,4,-1,1,0.6,5,1773,scenario 2 - 5
Federal Capital Territory,Abaji,Keana,august,2025,1,-1,1,0.6,5,2048,scenario 2 - 5
Federal Capital Territory,Abaji,Keana,august,2025,2,-1,1,0.6,5,2078,scenario 2 - 5
Federal Capital Territory,Abaji,Keana,august,2025,3,-1,1,0.6,5,2108,scenario 2 - 5
Federal Capital Territory,Abaji,Keana,august,2025,4,-1,1,0.6,5,2138,scenario 2 - 5
Federal Capital Territory,Abaji,Keana,august,2026,1,-1,1,0.6,5,2413,scenario 2 - 5
Federal Capital Territory,Abaji,Keana,august,2026,2,-1,1,0.6,5,2443,scenario 2 - 5
Federal Capital Territory,Abaji,Keana,august,2026,3,-1,1,0.6,5,2473,scenario 2 - 5
Federal Capital Territory,Abaji,Keana,august,2026,4,-1,1,0.6,5,2503,scenario 2 - 5
Federal Capital Territory,Abaji,Keana,august,2027,1,-1,1,0.6,5,2778,scenario 2 - 5
Federal Capital Territory,Abaji,Keana,august,2027,2,-1,1,0.6,5,2808,scenario 2 - 5
Federal Capital Territory,Abaji,Keana,august,2027,3,-1,1,0.6,5,2838,scenario 2 - 5
Federal Capital Territory,Abaji,Keana,august,2027,4,-1,1,0.6,5,2868,scenario 2 - 5
Federal Capital Territory,Abaji,Keana,august,2028,1,-1,1,0.6,5,3143,scenario 2 - 5
Federal Capital Territory,Abaji,Keana,august,2028,2,-1,1,0.6,5,3173,scenario 2 - 5
Federal Capital Territory,Abaji,Keana,august,2028,3,-1,1,0.6,5,3203,scenario 2 - 5
Federal Capital Territory,Abaji,Keana,august,2028,4,-1,1,0.6,5,3233,scenario 2 - 5
Federal Capital Territory,Abaji,Keana,august,2029,1,-1,1,0.6,5,3508,scenario 2 - 5
Federal Capital Territory,Abaji,Keana,august,2029,2,-1,1,0.6,5,3538,scenario 2 - 5
Federal Capital Territory,Abaji,Keana,august,2029,3,-1,1,0.6,5,3568,scenario 2 - 5
Federal Capital Territory,Abaji,Keana,august,2029,4,-1,1,0.6,5,3598,scenario 2 - 5
Federal Capital Territory,Abaji,Keana,august,2030,1,-1,1,0.6,5,3873,scenario 2 - 5
Federal Capital Territory,Abaji,Keana,august,2030,2,-1,1,0.6,5,3903,scenario 2 - 5
Federal Capital Territory,Abaji,Keana,august,2030,3,-1,1,0.6,5,3933,scenario 2 - 5
Federal Capital Territory,Abaji,Keana,august,2030,4,-1,1,0.6,5,3963,scenario 2 - 5
Federal Capital Territory,Abuja Municipal,Keana,august,2020,1,-1,1,0.6,5,223,scenario 2 - 5
Federal Capital Territory,Abuja Municipal,Keana,august,2020,2,-1,1,0.6,5,253,scenario 2 - 5
Federal Capital Territory,Abuja Municipal,Keana,august,2020,3,-1,1,0.6,5,283,scenario 2 - 5
Federal Capital Territory,Abuja Municipal,Keana,august,2020,4,-1,1,0.6,5,313,scenario 2 - 5
Federal Capital Territory,Abuja Municipal,Keana,august,2021,1,-1,1,0.6,5,588,scenario 2 - 5
Federal Capital Territory,Abuja Municipal,Keana,august,2021,2,-1,1,0.6,5,618,scenario 2 - 5
Federal Capital Territory,Abuja Municipal,Keana,august,2021,3,-1,1,0.6,5,648,scenario 2 - 5
Federal Capital Territory,Abuja Municipal,Keana,august,2021,4,-1,1,0.6,5,678,scenario 2 - 5
Federal Capital Territory,Abuja Municipal,Keana,august,2022,1,-1,1,0.6,5,953,scenario 2 - 5
Federal Capital Territory,Abuja Municipal,Keana,august,2022,2,-1,1,0.6,5,983,scenario 2 - 5
Federal Capital Territory,Abuja Municipal,Keana,august,2022,3,-1,1,0.6,5,1013,scenario 2 - 5
Federal Capital Territory,Abuja Municipal,Keana,august,2022,4,-1,1,0.6,5,1043,scenario 2 - 5
Federal Capital Territory,Abuja Municipal,Keana,august,2023,1,-1,1,0.6,5,1318,scenario 2 - 5
Federal Capital Territory,Abuja Municipal,Keana,august,2023,2,-1,1,0.6,5,1348,scenario 2 - 5
Federal Capital Territory,Abuja Municipal,Keana,august,2023,3,-1,1,0.6,5,1378,scenario 2 - 5
Federal Capital Territory,Abuja Municipal,Keana,august,2023,4,-1,1,0.6,5,1408,scenario 2 - 5
Federal Capital Territory,Abuja Municipal,Keana,august,2024,1,-1,1,0.6,5,1683,scenario 2 - 5
Federal Capital Territory,Abuja Municipal,Keana,august,2024,2,-1,1,0.6,5,1713,scenario 2 - 5
Federal Capital Territory,Abuja Municipal,Keana,august,2024,3,-1,1,0.6,5,1743,scenario 2 - 5
Federal Capital Territory,Abuja Municipal,Keana,august,2024,4,-1,1,0.6,5,1773,scenario 2 - 5
Federal Capital Territory,Abuja Municipal,Keana,august,2025,1,-1,1,0.6,5,2048,scenario 2 - 5
Federal Capital Territory,Abuja Municipal,Keana,august,2025,2,-1,1,0.6,5,2078,scenario 2 - 5
Federal Capital Territory,Abuja Municipal,Keana,august,2025,3,-1,1,0.6,5,2108,scenario 2 - 5
Federal Capital Territory,Abuja Municipal,Keana,august,2025,4,-1,1,0.6,5,2138,scenario 2 - 5
Federal Capital Territory,Abuja Municipal,Keana,august,2026,1,-1,1,0.6,5,2413,scenario 2 - 5
Federal Capital Territory,Abuja Municipal,Keana,august,2026,2,-1,1,0.6,5,2443,scenario 2 - 5
Federal Capital Territory,Abuja Municipal,Keana,august,2026,3,-1,1,0.6,5,2473,scenario 2 - 5
Federal Capital Territory,Abuja Municipal,Keana,august,2026,4,-1,1,0.6,5,2503,scenario 2 - 5
Federal Capital Territory,Abuja Municipal,Keana,august,2027,1,-1,1,0.6,5,2778,scenario 2 - 5
Federal Capital Territory,Abuja Municipal,Keana,august,2027,2,-1,1,0.6,5,2808,scenario 2 - 5
Federal Capital Territory,Abuja Municipal,Keana,august,2027,3,-1,1,0.6,5,2838,scenario 2 - 5
Federal Capital Territory,Abuja Municipal,Keana,august,2027,4,-1,1,0.6,5,2868,scenario 2 - 5
Federal Capital Territory,Abuja Municipal,Keana,august,2028,1,-1,1,0.6,5,3143,scenario 2 - 5
Federal Capital Territory,Abuja Municipal,Keana,august,2028,2,-1,1,0.6,5,3173,scenario 2 - 5
Federal Capital Territory,Abuja Municipal,Keana,august,2028,3,-1,1,0.6,5,3203,scenario 2 - 5
Federal Capital Territory,Abuja Municipal,Keana,august,2028,4,-1,1,0.6,5,3233,scenario 2 - 5
Federal Capital Territory,Abuja Municipal,Keana,august,2029,1,-1,1,0.6,5,3508,scenario 2 - 5
Federal Capital Territory,Abuja Municipal,Keana,august,2029,2,-1,1,0.6,5,3538,scenario 2 - 5
Federal Capital Territory,Abuja Municipal,Keana,august,2029,3,-1,1,0.6,5,3568,scenario 2 - 5
Federal Capital Territory,Abuja Municipal,Keana,august,2029,4,-1,1,0.6,5,3598,scenario 2 - 5
Federal Capital Territory,Abuja Municipal,Keana,august,2030,1,-1,1,0.6,5,3873,scenario 2 - 5
Federal Capital Territory,Abuja Municipal,Keana,august,2030,2,-1,1,0.6,5,3903,scenario 2 - 5
Federal Capital Territory,Abuja Municipal,Keana,august,2030,3,-1,1,0.6,5,3933,scenario 2 - 5
Federal Capital Territory,Abuja Municipal,Keana,august,2030,4,-1,1,0.6,5,3963,scenario 2 - 5
Kogi,Adavi,Owan East,march,2020,1,-1,1,0.6,5,131,scenario 2 - 5
Kogi,Adavi,Owan East,march,2020,2,-1,1,0.6,5,161,scenario 2 - 5
Kogi,Adavi,Owan East,march,2020,3,-1,1,0.6,5,191,scenario 2 - 5
Kogi,Adavi,Owan East,march,2020,4,-1,1,0.6,5,221,scenario 2 - 5
Kogi,Adavi,Owan East,march,2021,1,-1,1,0.6,5,496,scenario 2 - 5
Kogi,Adavi,Owan East,march,2021,2,-1,1,0.6,5,526,scenario 2 - 5
Kogi,Adavi,Owan East,march,2021,3,-1,1,0.6,5,556,scenario 2 - 5
Kogi,Adavi,Owan East,march,2021,4,-1,1,0.6,5,586,scenario 2 - 5
Kogi,Adavi,Owan East,march,2022,1,-1,1,0.6,5,861,scenario 2 - 5
Kogi,Adavi,Owan East,march,2022,2,-1,1,0.6,5,891,scenario 2 - 5
Kogi,Adavi,Owan East,march,2022,3,-1,1,0.6,5,921,scenario 2 - 5
Kogi,Adavi,Owan East,march,2022,4,-1,1,0.6,5,951,scenario 2 - 5
Kogi,Adavi,Owan East,march,2023,1,-1,1,0.6,5,1226,scenario 2 - 5
Kogi,Adavi,Owan East,march,2023,2,-1,1,0.6,5,1256,scenario 2 - 5
Kogi,Adavi,Owan East,march,2023,3,-1,1,0.6,5,1286,scenario 2 - 5
Kogi,Adavi,Owan East,march,2023,4,-1,1,0.6,5,1316,scenario 2 - 5
Kogi,Adavi,Owan East,march,2024,1,-1,1,0.6,5,1591,scenario 2 - 5
Kogi,Adavi,Owan East,march,2024,2,-1,1,0.6,5,1621,scenario 2 - 5
Kogi,Adavi,Owan East,march,2024,3,-1,1,0.6,5,1651,scenario 2 - 5
Kogi,Adavi,Owan East,march,2024,4,-1,1,0.6,5,1681,scenario 2 - 5
Kogi,Adavi,Owan East,march,2025,1,-1,1,0.6,5,1956,scenario 2 - 5
Kogi,Adavi,Owan East,march,2025,2,-1,1,0.6,5,1986,scenario 2 - 5
Kogi,Adavi,Owan East,march,2025,3,-1,1,0.6,5,2016,scenario 2 - 5
Kogi,Adavi,Owan East,march,2025,4,-1,1,0.6,5,2046,scenario 2 - 5
Kogi,Adavi,Owan East,march,2026,1,-1,1,0.6,5,2321,scenario 2 - 5
Kogi,Adavi,Owan East,march,2026,2,-1,1,0.6,5,2351,scenario 2 - 5
Kogi,Adavi,Owan East,march,2026,3,-1,1,0.6,5,2381,scenario 2 - 5
Kogi,Adavi,Owan East,march,2026,4,-1,1,0.6,5,2411,scenario 2 - 5
Kogi,Adavi,Owan East,march,2027,1,-1,1,0.6,5,2686,scenario 2 - 5
Kogi,Adavi,Owan East,march,2027,2,-1,1,0.6,5,2716,scenario 2 - 5
Kogi,Adavi,Owan East,march,2027,3,-1,1,0.6,5,2746,scenario 2 - 5
Kogi,Adavi,Owan East,march,2027,4,-1,1,0.6,5,2776,scenario 2 - 5
Kogi,Adavi,Owan East,march,2028,1,-1,1,0.6,5,3051,scenario 2 - 5
