hf time,inp time 0.5,inp time 1.0,inp time 2.0,inp time 4.0,inp time 7.0,inp time 10.0,inp time 15.0,inp time 20.0,inp time 50.0
0.5,0.10223201662302017,0.2211107537150383,0.28186318278312683,0.06046360731124878,0.0,0,0,0,0
1.0,0.0,0.07358101010322571,0.219264417886734,0.03196066617965698,0.0,0,0,0,0
2.0,0.0,0.0,0.00495678186416626,0.0037009716033935547,0.0003095269203186035,0,0,0,0
4.0,0.0,0.0,0.0,0.0,0.0005570650100708008,0,0,0,0
7.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
50.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
