,LGA,repDS,year,LGA_old,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,mortality_rate,kill_rate,block_initial,round,peak,simday
1,Aba North,Ngor-Okpala,2020,Aba North,36.8493072,45.9164498,34.2350367,31.7512273,0.319067389,0.393201897,0.53,1,june,162
12,Aba North,Ngor-Okpala,2023,Aba North,36.8493072,45.9164498,34.2350367,31.7512273,0.319067389,0.393201897,0.53,2,june,1257
14,Aba North,Ngor-Okpala,2026,Aba North,36.8493072,45.9164498,34.2350367,31.7512273,0.319067389,0.393201897,0.53,3,june,2352
16,Aba North,Ngor-Okpala,2029,Aba North,36.8493072,45.9164498,34.2350367,31.7512273,0.319067389,0.393201897,0.53,4,june,3447
3,Aba South,Ngor-Okpala,2020,Aba South,43.2585871,42.691277,24.2141206,28.9843907,0.311454386,0.38693958,0.53,1,june,162
32,Aba South,Ngor-Okpala,2023,Aba South,43.2585871,42.691277,24.2141206,28.9843907,0.311454386,0.38693958,0.53,2,june,1257
34,Aba South,Ngor-Okpala,2026,Aba South,43.2585871,42.691277,24.2141206,28.9843907,0.311454386,0.38693958,0.53,3,june,2352
36,Aba South,Ngor-Okpala,2029,Aba South,43.2585871,42.691277,24.2141206,28.9843907,0.311454386,0.38693958,0.53,4,june,3447
1491,Abadam,Babura,2020,Abadam,71.7584416,65.1199027,63.9332017,71.5626442,0.658846787,0.643492642,0.53,1,may,131
14911,Abadam,Babura,2023,Abadam,71.7584416,65.1199027,63.9332017,71.5626442,0.658846787,0.643492642,0.53,2,may,1226
14912,Abadam,Babura,2026,Abadam,71.7584416,65.1199027,63.9332017,71.5626442,0.658846787,0.643492642,0.53,3,may,2321
14913,Abadam,Babura,2029,Abadam,71.7584416,65.1199027,63.9332017,71.5626442,0.658846787,0.643492642,0.53,4,may,3416
487,Abaji,Keana,2020,Abaji,42.6753569,24.2500786,18.1989309,34.1084875,0.476373849,0.520406247,0.53,1,august,223
4871,Abaji,Keana,2023,Abaji,42.6753569,24.2500786,18.1989309,34.1084875,0.476373849,0.520406247,0.53,2,august,1318
4872,Abaji,Keana,2026,Abaji,42.6753569,24.2500786,18.1989309,34.1084875,0.476373849,0.520406247,0.53,3,august,2413
4873,Abaji,Keana,2029,Abaji,42.6753569,24.2500786,18.1989309,34.1084875,0.476373849,0.520406247,0.53,4,august,3508
53,Abak,Nsit Ubium,2021,Abak,11.7647059,6.6666667,17.3913043,16.3934426,0.358412263,0.425644469,0.53,1,june,527
532,Abak,Nsit Ubium,2024,Abak,11.7647059,6.6666667,17.3913043,16.3934426,0.358412263,0.425644469,0.53,2,june,1622
534,Abak,Nsit Ubium,2027,Abak,11.7647059,6.6666667,17.3913043,16.3934426,0.358412263,0.425644469,0.53,3,june,2717
536,Abak,Nsit Ubium,2030,Abak,11.7647059,6.6666667,17.3913043,16.3934426,0.358412263,0.425644469,0.53,4,june,3812
365,Abakaliki,Owan East,2020,Abakaliki,76.3663577,62.4739896,55.5434439,62.0208008,0.416945424,0.473491294,0.53,1,march,70
3651,Abakaliki,Owan East,2023,Abakaliki,76.3663577,62.4739896,55.5434439,62.0208008,0.416945424,0.473491294,0.53,2,march,1165
3652,Abakaliki,Owan East,2026,Abakaliki,76.3663577,62.4739896,55.5434439,62.0208008,0.416945424,0.473491294,0.53,3,march,2260
3653,Abakaliki,Owan East,2029,Abakaliki,76.3663577,62.4739896,55.5434439,62.0208008,0.416945424,0.473491294,0.53,4,march,3355
61,Abeokuta North,Owan East,2021,Abeokuta North,55.85438,50.745042,39.6366979,51.2361736,0.429058332,0.483229857,0.53,1,march,435
612,Abeokuta North,Owan East,2024,Abeokuta North,55.85438,50.745042,39.6366979,51.2361736,0.429058332,0.483229857,0.53,2,march,1530
614,Abeokuta North,Owan East,2027,Abeokuta North,55.85438,50.745042,39.6366979,51.2361736,0.429058332,0.483229857,0.53,3,march,2625
616,Abeokuta North,Owan East,2030,Abeokuta North,55.85438,50.745042,39.6366979,51.2361736,0.429058332,0.483229857,0.53,4,march,3720
65,Abeokuta South,Uzo-Uwani,2021,Abeokuta South,37.8117902,63.6654445,17.5224834,25.73025,0.443245868,0.494533241,0.53,1,june,527
652,Abeokuta South,Uzo-Uwani,2024,Abeokuta South,37.8117902,63.6654445,17.5224834,25.73025,0.443245868,0.494533241,0.53,2,june,1622
654,Abeokuta South,Uzo-Uwani,2027,Abeokuta South,37.8117902,63.6654445,17.5224834,25.73025,0.443245868,0.494533241,0.53,3,june,2717
656,Abeokuta South,Uzo-Uwani,2030,Abeokuta South,37.8117902,63.6654445,17.5224834,25.73025,0.443245868,0.494533241,0.53,4,june,3812
67,Abi,Obubra,2021,Abi,64.610383,45.0892796,42.6174519,56.6548821,0.400313882,0.46000802,0.53,1,june,527
672,Abi,Obubra,2024,Abi,64.610383,45.0892796,42.6174519,56.6548821,0.400313882,0.46000802,0.53,2,june,1622
674,Abi,Obubra,2027,Abi,64.610383,45.0892796,42.6174519,56.6548821,0.400313882,0.46000802,0.53,3,june,2717
676,Abi,Obubra,2030,Abi,64.610383,45.0892796,42.6174519,56.6548821,0.400313882,0.46000802,0.53,4,june,3812
525,Aboh-Mbaise,Ngor-Okpala,2020,Aboh-Mbaise,19.4444444,26.6473717,7.6923077,8.6021505,0.366998982,0.432717137,0.53,1,june,162
5251,Aboh-Mbaise,Ngor-Okpala,2023,Aboh-Mbaise,19.4444444,26.6473717,7.6923077,8.6021505,0.366998982,0.432717137,0.53,2,june,1257
5252,Aboh-Mbaise,Ngor-Okpala,2026,Aboh-Mbaise,19.4444444,26.6473717,7.6923077,8.6021505,0.366998982,0.432717137,0.53,3,june,2352
5253,Aboh-Mbaise,Ngor-Okpala,2029,Aboh-Mbaise,19.4444444,26.6473717,7.6923077,8.6021505,0.366998982,0.432717137,0.53,4,june,3447
1225,Abua-Odual,Ahoada West,2020,Abua/Odual,14.5590149,30.0011628,9.5100445,9.7399364,0.255950957,0.341818833,0.53,1,may,131
12251,Abua-Odual,Ahoada West,2023,Abua/Odual,14.5590149,30.0011628,9.5100445,9.7399364,0.255950957,0.341818833,0.53,2,may,1226
12252,Abua-Odual,Ahoada West,2026,Abua/Odual,14.5590149,30.0011628,9.5100445,9.7399364,0.255950957,0.341818833,0.53,3,may,2321
12253,Abua-Odual,Ahoada West,2029,Abua/Odual,14.5590149,30.0011628,9.5100445,9.7399364,0.255950957,0.341818833,0.53,4,may,3416
499,Abuja Municipal,Keana,2020,Abuja Municipal,41.8523067,32.0238662,15.5117782,26.4070273,0.500846708,0.538963989,0.53,1,august,223
4991,Abuja Municipal,Keana,2023,Abuja Municipal,41.8523067,32.0238662,15.5117782,26.4070273,0.500846708,0.538963989,0.53,2,august,1318
4992,Abuja Municipal,Keana,2026,Abuja Municipal,41.8523067,32.0238662,15.5117782,26.4070273,0.500846708,0.538963989,0.53,3,august,2413
4993,Abuja Municipal,Keana,2029,Abuja Municipal,41.8523067,32.0238662,15.5117782,26.4070273,0.500846708,0.538963989,0.53,4,august,3508
861,Adavi,Owan East,2020,Adavi,83.0655145,59.5557959,51.9685549,59.2855281,0.308698703,0.384675567,0.53,1,march,70
8611,Adavi,Owan East,2023,Adavi,83.0655145,59.5557959,51.9685549,59.2855281,0.308698703,0.384675567,0.53,2,march,1165
8612,Adavi,Owan East,2026,Adavi,83.0655145,59.5557959,51.9685549,59.2855281,0.308698703,0.384675567,0.53,3,march,2260
8613,Adavi,Owan East,2029,Adavi,83.0655145,59.5557959,51.9685549,59.2855281,0.308698703,0.384675567,0.53,4,march,3355
205,Ado,Akinyele,2020,Ado,39.4663802,22.521866,20.1283786,28.0297908,0.357778894,0.425122422,0.53,1,may,131
2051,Ado,Akinyele,2023,Ado,39.4663802,22.521866,20.1283786,28.0297908,0.357778894,0.425122422,0.53,2,may,1226
2052,Ado,Akinyele,2026,Ado,39.4663802,22.521866,20.1283786,28.0297908,0.357778894,0.425122422,0.53,3,may,2321
2053,Ado,Akinyele,2029,Ado,39.4663802,22.521866,20.1283786,28.0297908,0.357778894,0.425122422,0.53,4,may,3416
69,Ado-Odo-Ota,Uzo-Uwani,2021,Ado-Odo/Ota,43.7146656,44.7816926,28.9844266,30.835722,0.405185074,0.46396913,0.53,1,june,527
692,Ado-Odo-Ota,Uzo-Uwani,2024,Ado-Odo/Ota,43.7146656,44.7816926,28.9844266,30.835722,0.405185074,0.46396913,0.53,2,june,1622
694,Ado-Odo-Ota,Uzo-Uwani,2027,Ado-Odo/Ota,43.7146656,44.7816926,28.9844266,30.835722,0.405185074,0.46396913,0.53,3,june,2717
696,Ado-Odo-Ota,Uzo-Uwani,2030,Ado-Odo/Ota,43.7146656,44.7816926,28.9844266,30.835722,0.405185074,0.46396913,0.53,4,june,3812
427,Ado Ekiti,Owan East,2020,Ado Ekiti,30.7654798,26.6792702,30.162414,25.1320966,0.357399296,0.424809523,0.53,1,march,70
4271,Ado Ekiti,Owan East,2023,Ado Ekiti,30.7654798,26.6792702,30.162414,25.1320966,0.357399296,0.424809523,0.53,2,march,1165
4272,Ado Ekiti,Owan East,2026,Ado Ekiti,30.7654798,26.6792702,30.162414,25.1320966,0.357399296,0.424809523,0.53,3,march,2260
4273,Ado Ekiti,Owan East,2029,Ado Ekiti,30.7654798,26.6792702,30.162414,25.1320966,0.357399296,0.424809523,0.53,4,march,3355
1157,Afijio,Akinyele,2020,Afijio,53.8461538,25,11.1111111,34.7826087,0.464150913,0.510953009,0.53,1,may,131
11571,Afijio,Akinyele,2023,Afijio,53.8461538,25,11.1111111,34.7826087,0.464150913,0.510953009,0.53,2,may,1226
11572,Afijio,Akinyele,2026,Afijio,53.8461538,25,11.1111111,34.7826087,0.464150913,0.510953009,0.53,3,may,2321
11573,Afijio,Akinyele,2029,Afijio,53.8461538,25,11.1111111,34.7826087,0.464150913,0.510953009,0.53,4,may,3416
367,Afikpo North,Oru West,2020,Afikpo North,90.5685179,78.33935,67.8846153,73.8112654,0.428193447,0.482537052,0.53,1,june,162
3671,Afikpo North,Oru West,2023,Afikpo North,90.5685179,78.33935,67.8846153,73.8112654,0.428193447,0.482537052,0.53,2,june,1257
3672,Afikpo North,Oru West,2026,Afikpo North,90.5685179,78.33935,67.8846153,73.8112654,0.428193447,0.482537052,0.53,3,june,2352
3673,Afikpo North,Oru West,2029,Afikpo North,90.5685179,78.33935,67.8846153,73.8112654,0.428193447,0.482537052,0.53,4,june,3447
369,Afikpo South,Ngor-Okpala,2020,Afikpo South,66.709147,56.3956235,52.8864595,58.3653742,0.44733042,0.497764649,0.53,1,june,162
3691,Afikpo South,Ngor-Okpala,2023,Afikpo South,66.709147,56.3956235,52.8864595,58.3653742,0.44733042,0.497764649,0.53,2,june,1257
3692,Afikpo South,Ngor-Okpala,2026,Afikpo South,66.709147,56.3956235,52.8864595,58.3653742,0.44733042,0.497764649,0.53,3,june,2352
3693,Afikpo South,Ngor-Okpala,2029,Afikpo South,66.709147,56.3956235,52.8864595,58.3653742,0.44733042,0.497764649,0.53,4,june,3447
979,Agaie,Oke-Ero,2022,Agaie,39.1788901,29.9429972,26.0379648,35.5121446,0.469310553,0.514957552,0.53,1,july,916
9791,Agaie,Oke-Ero,2025,Agaie,39.1788901,29.9429972,26.0379648,35.5121446,0.469310553,0.514957552,0.53,2,july,2011
9792,Agaie,Oke-Ero,2028,Agaie,39.1788901,29.9429972,26.0379648,35.5121446,0.469310553,0.514957552,0.53,3,july,3106
