,seasonality,month,cases,population,incidence
0,Ahoada West,1,1432.6,1000,35.815
1,Ahoada West,2,1410.6,1000,35.265
2,Ahoada West,3,1367.4,1000,34.185
3,Ahoada West,4,1466,1000,36.65
4,Ahoada West,5,1753.4,1000,43.835
5,Ahoada West,6,1746.6,1000,43.665
6,Ahoada West,7,1536.8,1000,38.42
7,Ahoada West,8,1584,1000,39.6
8,Ahoada West,9,1230.8,1000,30.77
9,Ahoada West,10,1445.4,1000,36.135
10,Ahoada West,11,1669.4,1000,41.735
11,Ahoada West,12,1139.4,1000,28.485
12,Akinyele,1,4807.1,500,120.1775
13,Akinyele,2,5679.9,500,141.9975
14,Akinyele,3,5767.1,500,144.1775
15,Akinyele,4,5703,500,142.575
16,Akinyele,5,6233.8,500,155.845
17,Akinyele,6,5686,500,142.15
18,Akinyele,7,4973.8,500,124.345
19,Akinyele,8,5585.2,500,139.63
20,Akinyele,9,5731.7,500,143.2925
21,Akinyele,10,6309.4,500,157.735
22,Akinyele,11,6511,500,162.775
23,Akinyele,12,4624.6,500,115.615
24,Alkaleri,1,7101.8,333,177.545
25,Alkaleri,2,7237.4,333,180.935
26,Alkaleri,3,7570.4,333,189.26
27,Alkaleri,4,8281.8,333,207.045
28,Alkaleri,5,7683.6,333,192.09
29,Alkaleri,6,9244,333,231.1
30,Alkaleri,7,9504.6,333,237.615
31,Alkaleri,8,10524.4,333,263.11
32,Alkaleri,9,9728.4,333,243.21
33,Alkaleri,10,10608.2,333,265.205
34,Alkaleri,11,9822.8,333,245.57
35,Alkaleri,12,7775.8,333,194.395
36,Babura,1,2107.4,1000,52.685
37,Babura,2,1654,1000,41.35
38,Babura,3,1957.6,1000,48.94
39,Babura,4,2098,1000,52.45
40,Babura,5,3017.2,1000,75.43
41,Babura,6,1633,1000,40.825
42,Babura,7,2050.4,1000,51.26
43,Babura,8,1754.6,1000,43.865
44,Babura,9,1595.4,1000,39.885
45,Babura,10,1672.2,1000,41.805
46,Babura,11,1355.2,1000,33.88
47,Babura,12,1149.8,1000,28.745
48,Birnin Kebbi,1,6219.8,1000,155.495
49,Birnin Kebbi,2,5798.2,1000,144.955
50,Birnin Kebbi,3,5808,1000,145.2
51,Birnin Kebbi,4,5952.4,1000,148.81
52,Birnin Kebbi,5,6068.2,1000,151.705
53,Birnin Kebbi,6,6189.8,1000,154.745
54,Birnin Kebbi,7,6479,1000,161.975
55,Birnin Kebbi,8,7083.2,1000,177.08
56,Birnin Kebbi,9,7036.6,1000,175.915
57,Birnin Kebbi,10,7313.2,1000,182.83
58,Birnin Kebbi,11,6920,1000,173
59,Birnin Kebbi,12,5799.4,1000,144.985
60,Darazo,1,3588.2,1000,89.705
