"","seasonality","month","cases","sum_est","sum_l_ci","sum_u_ci","X","repDS_pop","incidence","incidence_low","incidence_high","population"
"16","Akinyele",4,5766.4,5766.4,4578.2,7381.4,2,7563973,144.16,114.455,184.535,1000
"17","Akinyele",5,6313,6313,4951.30688002155,8140.63374007553,2,7563973,157.825,123.782672000539,203.515843501888,1000
"18","Akinyele",6,5767.8,5767.8,4660.00813848276,7148.228222513,2,7563973,144.195,116.500203462069,178.705705562825,1000
"19","Akinyele",7,5049,5049,3942.6574931183,6564.94132926073,2,7563973,126.225,98.5664373279575,164.123533231518,1000
"20","Akinyele",8,5669.4,5669.4,4484.92484558674,7169.54073453336,2,7563973,141.735,112.123121139668,179.238518363334,1000
"21","Akinyele",9,5812.6,5812.6,4563.99144133961,7342.06382463891,2,7563973,145.315,114.09978603349,183.551595615973,1000
"22","Akinyele",10,6406.4,6406.4,5023.9589105822,8119.91540815944,2,7563973,160.16,125.598972764555,202.997885203986,1000
"23","Akinyele",11,6583.6,6583.6,5174.4605733645,8485.79319463724,2,7563973,164.59,129.361514334112,212.144829865931,1000
"24","Akinyele",12,4678,4678,3428.74044309249,6391.62504681062,2,7563973,116.95,85.7185110773121,159.790626170265,1000
"25","Alkaleri",1,7101.8,7101.8,5278.10335353683,10269.7615427066,3,12882802,177.545,131.952583838421,256.744038567666,1000
"26","Alkaleri",2,7237.4,7237.4,5363.3219762634,10507.6840400779,3,12882802,180.935,134.083049406585,262.692101001948,1000
"27","Alkaleri",3,7570.4,7570.4,5531.90996647026,10872.590222192,3,12882802,189.26,138.297749161756,271.814755554799,1000
"28","Alkaleri",4,8281.8,8281.8,5999,11729.5816757048,3,12882802,207.045,149.975,293.23954189262,1000
"29","Alkaleri",5,7683.6,7683.6,5630.3417155308,11033.9299392004,3,12882802,192.09,140.75854288827,275.848248480011,1000
"30","Alkaleri",6,9244,9244,6735.46735851489,12867.4915137725,3,12882802,231.1,168.386683962872,321.687287844313,1000
"31","Alkaleri",7,9504.6,9504.6,7287.99140908295,12588.1423519836,3,12882802,237.615,182.199785227074,314.703558799591,1000
"32","Alkaleri",8,10524.4,10524.4,8118.64381090668,13944.9322754176,3,12882802,263.11,202.966095272667,348.62330688544,1000
"33","Alkaleri",9,9728.4,9728.4,7652.99357541459,12784.5103244395,3,12882802,243.21,191.324839385365,319.612758110988,1000
"34","Alkaleri",10,10608.2,10608.2,8468.77976843524,13142.3373813546,3,12882802,265.205,211.719494210881,328.558434533866,1000
"35","Alkaleri",11,9822.8,9822.8,7686.08572064406,12379.8,3,12882802,245.57,192.152143016102,309.495,1000
"36","Alkaleri",12,7775.8,7775.8,5984.13524762737,10407.7115758631,3,12882802,194.395,149.603381190684,260.192789396577,1000
"37","Babura",1,2107.4,2107.4,1465.6,2947,4,1582961,52.685,36.64,73.675,1000
"38","Babura",2,1654,1654,989.8,2705.6,4,1582961,41.35,24.745,67.64,1000
"39","Babura",3,1957.6,1957.6,1062.4,2504,4,1582961,48.94,26.56,62.6,1000
"40","Babura",4,2098,2098,1626.4,2763.4,4,1582961,52.45,40.66,69.085,1000
"41","Babura",5,3017.2,3017.2,2170.8,3606.6,4,1582961,75.43,54.27,90.165,1000
"42","Babura",6,1633,1633,626.4,2614.2,4,1582961,40.825,15.66,65.355,1000
"43","Babura",7,2050.4,2050.4,491.8,3267.6,4,1582961,51.26,12.295,81.69,1000
"44","Babura",8,1754.6,1754.6,718.188680594711,3286,4,1582961,43.865,17.9547170148678,82.15,1000
"45","Babura",9,1595.4,1595.4,583,2907.6,4,1582961,39.885,14.575,72.69,1000
"46","Babura",10,1672.2,1672.2,707.6,2767.94319979848,4,1582961,41.805,17.69,69.1985799949621,1000
"47","Babura",11,1355.2,1355.2,485.6,2483,4,1582961,33.88,12.14,62.075,1000
"48","Babura",12,1149.8,1149.8,556.4,1828.4,4,1582961,28.745,13.91,45.71,1000
"49","Birnin Kebbi",1,6219.8,6219.8,4390.98184256503,8146.99303954525,5,3835653,155.495,109.774546064126,203.674825988631,1000
"50","Birnin Kebbi",2,5798.2,5798.2,4140.3177399538,8472.83475555665,5,3835653,144.955,103.507943498845,211.820868888916,1000
"51","Birnin Kebbi",3,5808,5808,4182.32705017436,7416.81207275384,5,3835653,145.2,104.558176254359,185.420301818846,1000
"52","Birnin Kebbi",4,5952.4,5952.4,4166.9625592915,8429.6331437794,5,3835653,148.81,104.174063982287,210.740828594485,1000
"53","Birnin Kebbi",5,6068.2,6068.2,4207.27239525125,8564.17646999292,5,3835653,151.705,105.181809881281,214.104411749823,1000
"54","Birnin Kebbi",6,6189.8,6189.8,4523.13492904338,8121.93269437778,5,3835653,154.745,113.078373226085,203.048317359445,1000
"55","Birnin Kebbi",7,6479,6479,4757.83826276371,8933.11073736955,5,3835653,161.975,118.945956569093,223.327768434239,1000
"56","Birnin Kebbi",8,7083.2,7083.2,5281.95944274378,9479.36090342629,5,3835653,177.08,132.048986068594,236.984022585657,1000
"57","Birnin Kebbi",9,7036.6,7036.6,5260.28261820012,9912.33939495547,5,3835653,175.915,131.507065455003,247.808484873887,1000
"58","Birnin Kebbi",10,7313.2,7313.2,5753.36871900089,9610.80125611604,5,3835653,182.83,143.834217975022,240.270031402901,1000
"59","Birnin Kebbi",11,6920,6920,5241.90530374565,8824.01082760326,5,3835653,173,131.047632593641,220.600270690082,1000
"60","Birnin Kebbi",12,5799.4,5799.4,4286.15789771514,7636.71854632605,5,3835653,144.985,107.153947442878,190.917963658151,1000
"61","Darazo",1,3588.2,3588.2,2294.6,6898.13619559077,6,7328580,89.705,57.365,172.453404889769,1000
"62","Darazo",2,3506.4,3506.4,2282.69575260064,6386.00667570621,6,7328580,87.66,57.067393815016,159.650166892655,1000
"63","Darazo",3,3958.2,3958.2,2603.84869602693,6572.27837761282,6,7328580,98.955,65.0962174006733,164.306959440321,1000
"64","Darazo",4,3661,3661,2415.6,5931.92011498051,6,7328580,91.525,60.39,148.298002874513,1000
"65","Darazo",5,3659.6,3659.6,2496.46229998347,5952.07957075638,6,7328580,91.49,62.4115574995868,148.801989268909,1000
"66","Darazo",6,4019.8,4019.8,2736.97064033039,7078.24049802709,6,7328580,100.495,68.4242660082599,176.956012450677,1000
"67","Darazo",7,4736,4736,3167.2,8839.56496781362,6,7328580,118.4,79.18,220.989124195341,1000
"68","Darazo",8,4921.8,4921.8,3398.99294678098,7826.8455610375,6,7328580,123.045,84.9748236695246,195.671139025938,1000
"69","Darazo",9,5077.6,5077.6,3574.25057162315,7737.21107816164,6,7328580,126.94,89.3562642905787,193.430276954041,1000
"70","Darazo",10,4809.4,4809.4,3025.739408483,8549.0241934976,6,7328580,120.235,75.643485212075,213.72560483744,1000
"71","Darazo",11,4936,4936,3272.40594318954,8945.79167488276,6,7328580,123.4,81.8101485797384,223.644791872069,1000
"72","Darazo",12,4527,4527,3025.57302524824,7751.66007926219,6,7328580,113.175,75.6393256312059,193.791501981555,1000
"73","Gawabawa",1,3539.2,3539.2,2536.65930834299,5231.6,7,4220548,88.48,63.4164827085749,130.79,1000
"74","Gawabawa",2,3898,3898,2813.8,5968.33264101272,7,4220548,97.45,70.345,149.208316025318,1000
"75","Gawabawa",3,4209,4209,3004.30815387279,5821.75034618851,7,4220548,105.225,75.1077038468199,145.543758654713,1000
"76","Gawabawa",4,4151.4,4151.4,3149.83933462151,5857.40807544647,7,4220548,103.785,78.7459833655377,146.435201886162,1000
"77","Gawabawa",5,4199.4,4199.4,3017.32755550973,5955.48117007437,7,4220548,104.985,75.4331888877432,148.887029251859,1000
"78","Gawabawa",6,4288,4288,3125.19553595157,6100.40921171576,7,4220548,107.2,78.1298883987892,152.510230292894,1000
"79","Gawabawa",7,4131.2,4131.2,2988.12458783595,6213.07449663294,7,4220548,103.28,74.7031146958987,155.326862415823,1000
"80","Gawabawa",8,4787.8,4787.8,3629.70418734087,6617.76017560549,7,4220548,119.695,90.7426046835217,165.444004390137,1000
"81","Gawabawa",9,5748.8,5748.8,4456.58459749491,8130.34970120183,7,4220548,143.72,111.414614937373,203.258742530046,1000
"82","Gawabawa",10,5315.8,5315.8,4128.6,6693.76858456631,7,4220548,132.895,103.215,167.344214614158,1000
